r_salt,Dsolv,Dsolv_err
1.000000000000000021e-02,9.099826814416840659e-02,4.761980297582167073e-05
1.499999999999999944e-02,9.095720285615485623e-02,5.407797301744900653e-05
2.000000000000000042e-02,9.091918140068287746e-02,2.836185608854762145e-05
5.000000000000000278e-02,9.089503705500368014e-02,3.201053612052813280e-05
8.000000000000000167e-02,9.066905315187792636e-02,5.048813910980454894e-05
1.000000000000000056e-01,9.067304338578534295e-02,5.371749360423620057e-05
1.499999999999999944e-01,9.048878976652623141e-02,2.429226744500643224e-05
2.000000000000000111e-01,9.026870996942502889e-02,7.534364847069935237e-05
2.999999999999999889e-01,8.995135575435608821e-02,3.994120327558305496e-05
4.000000000000000222e-01,8.983598278790239089e-02,6.375646101421268957e-05
8.000000000000000444e-01,8.936140015187819807e-02,5.257048158014974754e-05
