r,gSS_mean,gSS_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,1.944240339626989800e-04,6.203500632795188336e-06
9.499999999999999556e-01,4.158548791412673973e-01,2.741994100233643094e-04
1.050000000000000044e+00,2.231676481154852620e+00,3.089936610746294734e-04
1.150000000000000133e+00,2.158566426562230411e+00,2.550604832467122732e-04
1.250000000000000000e+00,1.421469632250539572e+00,3.136739438784085822e-04
1.350000000000000089e+00,9.825441683367758250e-01,3.089112742786267042e-04
1.450000000000000178e+00,7.750079907634477294e-01,2.324678166318670098e-04
1.550000000000000044e+00,7.003296973591477403e-01,2.763772150308175472e-04
1.650000000000000133e+00,7.146199175341435561e-01,2.525300276136402660e-04
1.750000000000000000e+00,8.033919789517252052e-01,1.683122240583766129e-04
1.850000000000000089e+00,9.425824606858690391e-01,2.531579420709188354e-04
1.950000000000000178e+00,1.085511098583441525e+00,2.136054390521545626e-04
2.049999999999999822e+00,1.182797085833778405e+00,1.681642078442358793e-04
2.150000000000000355e+00,1.179856727948534800e+00,1.711541711256978082e-04
2.250000000000000000e+00,1.095454143897625965e+00,1.609845199781152010e-04
2.350000000000000533e+00,9.971423483749488614e-01,1.630685351766496510e-04
2.450000000000000178e+00,9.290662236610034430e-01,1.256174673847273429e-04
2.549999999999999822e+00,9.043156981532449734e-01,9.548978079589687067e-05
2.650000000000000355e+00,9.189455725387487561e-01,1.640393081910260502e-04
2.750000000000000000e+00,9.592283063998715553e-01,1.425997237876449795e-04
2.850000000000000533e+00,1.006572529467656629e+00,1.511611225230501620e-04
2.950000000000000178e+00,1.041201725775627640e+00,1.688144494337315640e-04
3.049999999999999822e+00,1.053580486953858752e+00,1.112254821557461892e-04
3.150000000000000355e+00,1.042996306898688053e+00,1.475422892032036395e-04
3.250000000000000000e+00,1.018002345645047990e+00,8.536417982236375055e-05
3.350000000000000533e+00,9.918941822105823425e-01,1.111123216408125923e-04
3.450000000000000178e+00,9.740824981278850547e-01,9.801744290013730788e-05
3.549999999999999822e+00,9.696836797720858048e-01,1.429823824018787925e-04
3.650000000000000355e+00,9.775101902503703366e-01,1.029357264556245540e-04
3.750000000000000000e+00,9.922911452914716657e-01,9.528083531030296467e-05
3.850000000000000533e+00,1.007122147119274391e+00,1.236916159883209713e-04
3.950000000000000178e+00,1.016051346421358970e+00,1.400830639331331138e-04
4.050000000000000711e+00,1.017096103429502740e+00,1.233711305043460943e-04
4.150000000000000355e+00,1.011596544453834179e+00,1.078437367516532061e-04
4.250000000000000000e+00,1.002751698740300457e+00,8.569721659189782166e-05
4.349999999999999645e+00,9.945216700939549792e-01,1.012896234798755146e-04
4.450000000000000178e+00,9.900365466689129423e-01,7.097423674736994686e-05
4.550000000000000711e+00,9.902404263233668402e-01,9.442333907260346405e-05
4.650000000000000355e+00,9.939649917735053908e-01,7.986723099254609457e-05
4.750000000000000000e+00,9.993604673293626783e-01,1.046418851812830797e-04
4.850000000000000533e+00,1.003807135052028343e+00,5.004418895499888198e-05
4.950000000000000178e+00,1.005820207117029463e+00,8.449540136126877470e-05
5.050000000000000711e+00,1.005624052451770112e+00,8.597552856384781724e-05
5.150000000000000355e+00,1.002872583393415340e+00,5.482824635197913765e-05
5.250000000000000000e+00,9.997975554242387597e-01,7.304222509429558893e-05
5.350000000000000533e+00,9.972993506501781624e-01,9.515215105344286561e-05
5.450000000000000178e+00,9.962103949478912090e-01,6.016144372888141307e-05
5.550000000000000711e+00,9.967575438050685355e-01,6.629421276935916452e-05
5.650000000000000355e+00,9.984361995416104474e-01,2.889153587685555280e-05
5.750000000000000000e+00,1.000419134811507904e+00,5.171390413410026121e-05
5.850000000000000533e+00,1.001670344066422746e+00,8.357106388451917872e-05
5.950000000000000178e+00,1.002292907938500122e+00,5.748867381986408440e-05
6.050000000000000711e+00,1.001633607607665066e+00,5.283974653628443048e-05
6.150000000000000355e+00,1.000670840326721933e+00,6.635553440360936119e-05
6.250000000000000000e+00,9.994710853392294592e-01,3.990358324393646495e-05
6.350000000000000533e+00,9.987676734327873840e-01,5.348014229124935633e-05
6.450000000000000178e+00,9.985690603174115498e-01,8.059960003973621961e-05
6.550000000000000711e+00,9.989246089847959587e-01,4.152628943049899217e-05
6.650000000000000355e+00,9.995866319322729288e-01,8.021658248373215202e-05
6.750000000000000000e+00,1.000255638229420097e+00,4.645501744898762993e-05
6.850000000000000533e+00,1.000830461299273111e+00,9.562180904986372285e-05
6.950000000000000178e+00,1.000786884593895198e+00,4.574548598120174297e-05
7.050000000000000711e+00,1.000442384298274590e+00,5.778659075695201581e-05
7.150000000000000355e+00,1.000076785278728231e+00,5.020587978575662797e-05
7.250000000000000000e+00,9.996694293450036906e-01,4.277934950196959310e-05
7.350000000000000533e+00,9.994920283576484987e-01,5.907409015539165354e-05
7.450000000000000178e+00,9.994569151571180976e-01,7.092383007115985003e-05
7.550000000000000711e+00,9.996589760670342439e-01,4.939702753143911871e-05
7.650000000000000355e+00,9.998094811790965153e-01,6.359171791517391828e-05
7.750000000000000000e+00,1.000112943479291250e+00,5.708729841930070182e-05
7.850000000000000533e+00,1.000260459783004041e+00,2.053708374582802814e-05
7.950000000000000178e+00,1.000250369563011388e+00,5.508027725067564558e-05
8.050000000000000711e+00,1.000073581798060385e+00,6.325133105065724602e-05
8.150000000000000355e+00,1.000044641254609568e+00,4.680259309829333422e-05
8.250000000000000000e+00,9.997849377045981978e-01,3.065178342718279510e-05
8.350000000000001421e+00,9.997214992301873826e-01,5.702148592140558601e-05
8.449999999999999289e+00,9.997571467395239830e-01,6.396969890417137717e-05
8.550000000000000711e+00,9.998211999741923872e-01,4.585840843822842943e-05
8.650000000000000355e+00,1.000028768814243074e+00,3.348761226360935243e-05
8.750000000000000000e+00,9.999574844032965704e-01,5.398701337561596648e-05
8.850000000000001421e+00,1.000046980833741994e+00,2.267581468548883163e-05
8.949999999999999289e+00,1.000109463049403402e+00,2.973733340213485581e-05
9.050000000000000711e+00,1.000016100856348622e+00,5.093487970886343709e-05
9.150000000000000355e+00,9.999434409397250922e-01,6.083369544766236038e-05
9.250000000000000000e+00,9.999099427882773838e-01,3.899005206041265305e-05
9.350000000000001421e+00,9.998744034160067518e-01,5.999246559554427386e-05
9.449999999999999289e+00,9.998657675570393755e-01,3.839114836286728531e-05
9.550000000000000711e+00,9.998965247052697958e-01,5.271358242074034722e-05
9.650000000000002132e+00,9.999449936471783706e-01,3.686858153018162781e-05
9.750000000000000000e+00,1.000001366608747944e+00,3.106638586023434558e-05
9.850000000000001421e+00,9.974219548923131118e-01,5.764277296727707343e-05
9.949999999999999289e+00,9.728993574238214981e-01,4.688886167653702355e-05
