r,gSS_mean,gSS_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,1.948188108696515659e-04,8.079038576707603942e-06
9.499999999999999556e-01,4.148494913099525228e-01,4.593092587818247211e-04
1.050000000000000044e+00,2.226499437491670896e+00,6.594003468575767137e-04
1.150000000000000133e+00,2.155713021838071786e+00,1.082559667470234330e-03
1.250000000000000000e+00,1.419602953465995743e+00,3.922668110547148724e-04
1.350000000000000089e+00,9.809385353702172461e-01,2.694565311081199973e-04
1.450000000000000178e+00,7.744893652739811563e-01,2.712989312840281418e-04
1.550000000000000044e+00,6.996689881567209612e-01,2.218021970964890880e-04
1.650000000000000133e+00,7.131957111468537613e-01,2.966546622858863796e-04
1.750000000000000000e+00,8.029096176242574989e-01,2.932405778201344635e-04
1.850000000000000089e+00,9.419451200066879526e-01,3.095282075280831463e-04
1.950000000000000178e+00,1.085621733401078037e+00,2.198077749927817323e-04
2.049999999999999822e+00,1.181812808247227675e+00,3.711839097063036408e-04
2.150000000000000355e+00,1.178763946155593434e+00,2.306982018186684862e-04
2.250000000000000000e+00,1.095346773734516388e+00,2.248743925862834304e-04
2.350000000000000533e+00,9.974041963885935669e-01,1.495415762490331338e-04
2.450000000000000178e+00,9.287559682219395096e-01,2.877382446494234432e-04
2.549999999999999822e+00,9.042615251707004642e-01,2.347760680132736323e-04
2.650000000000000355e+00,9.189851044431828209e-01,1.850400986888043112e-04
2.750000000000000000e+00,9.589810774082995204e-01,2.582496431736937747e-04
2.850000000000000533e+00,1.005741878993896998e+00,1.365172746526037277e-04
2.950000000000000178e+00,1.041451353937080437e+00,2.369645812082967309e-04
3.049999999999999822e+00,1.053157097539381137e+00,2.106822607843746042e-04
3.150000000000000355e+00,1.042959020834253403e+00,1.834154855512610410e-04
3.250000000000000000e+00,1.017885869783860642e+00,1.500534037987015696e-04
3.350000000000000533e+00,9.922053686367677816e-01,1.267671995437200225e-04
3.450000000000000178e+00,9.736140364817067461e-01,1.132895365690415505e-04
3.549999999999999822e+00,9.695502838189188344e-01,1.208887992529375272e-04
3.650000000000000355e+00,9.774678124851327032e-01,2.328525007565608368e-04
3.750000000000000000e+00,9.924422634342258132e-01,1.503244240787619812e-04
3.850000000000000533e+00,1.006928632763099740e+00,1.944945089171279742e-04
3.950000000000000178e+00,1.015760104227834137e+00,1.580625890443048071e-04
4.050000000000000711e+00,1.017140259093306742e+00,1.180860567837969103e-04
4.150000000000000355e+00,1.011327733863402134e+00,1.431893710181143711e-04
4.250000000000000000e+00,1.002749937713596884e+00,1.265673364168602537e-04
4.349999999999999645e+00,9.945222541103765357e-01,9.572247507135743213e-05
4.450000000000000178e+00,9.900236277757601400e-01,1.139043559458575452e-04
4.550000000000000711e+00,9.902401276317356338e-01,1.379120496894123513e-04
4.650000000000000355e+00,9.940460178261595336e-01,5.518446493094498594e-05
4.750000000000000000e+00,9.992370872114214597e-01,9.452412285805415239e-05
4.850000000000000533e+00,1.004092976093987843e+00,9.733605782609095250e-05
4.950000000000000178e+00,1.005547223861903205e+00,1.345440949412905383e-04
5.050000000000000711e+00,1.005615584000546292e+00,6.353765622518206188e-05
5.150000000000000355e+00,1.002832212279098689e+00,1.326256755477874265e-04
5.250000000000000000e+00,9.996690501833340736e-01,5.456181639393124625e-05
5.350000000000000533e+00,9.972273089487775355e-01,6.937519403385366027e-05
5.450000000000000178e+00,9.961307328965274266e-01,9.318804447710495823e-05
5.550000000000000711e+00,9.968281532641419806e-01,1.212050218285727789e-04
5.650000000000000355e+00,9.982138218865168611e-01,7.796207883106630505e-05
5.750000000000000000e+00,1.000120184577782068e+00,7.455675894789482784e-05
5.850000000000000533e+00,1.001721497460268395e+00,7.550226783816186974e-05
5.950000000000000178e+00,1.002086103309789200e+00,1.234714340833468474e-04
6.050000000000000711e+00,1.001722907427059939e+00,1.143408779860591334e-04
6.150000000000000355e+00,1.000426024797842484e+00,8.219555405296948697e-05
6.250000000000000000e+00,9.994171090540909796e-01,1.023777127734658320e-04
6.350000000000000533e+00,9.987541816204219547e-01,1.048944148130347809e-04
6.450000000000000178e+00,9.985790134239864724e-01,6.379874310035516308e-05
6.550000000000000711e+00,9.987983636704654833e-01,7.710262564612095149e-05
6.650000000000000355e+00,9.995222566695588506e-01,5.435686589737430966e-05
6.750000000000000000e+00,1.000045433110467563e+00,9.415438151806721314e-05
6.850000000000000533e+00,1.000736031127026804e+00,8.324495994515422766e-05
6.950000000000000178e+00,1.000497100150632201e+00,1.131824260396342236e-04
7.050000000000000711e+00,1.000434692045125695e+00,4.786799579062152478e-05
7.150000000000000355e+00,9.999639945140369468e-01,8.179112089314602907e-05
7.250000000000000000e+00,9.995186911365188109e-01,6.112609733127901995e-05
7.350000000000000533e+00,9.995195653826470794e-01,5.725790223626837342e-05
7.450000000000000178e+00,9.992042438043344799e-01,6.636371782785171277e-05
7.550000000000000711e+00,9.995617615652442334e-01,1.137977872133376155e-04
7.650000000000000355e+00,1.000007821591612167e+00,1.112646356632696044e-04
7.750000000000000000e+00,1.000097606207705159e+00,6.842599803855681066e-05
7.850000000000000533e+00,1.000088130215706084e+00,3.635440400341935990e-05
7.950000000000000178e+00,9.999953736692470674e-01,6.853697283187919036e-05
8.050000000000000711e+00,1.000222478359833245e+00,2.989714263593067003e-05
8.150000000000000355e+00,9.998451592752747308e-01,5.188163943305250077e-05
8.250000000000000000e+00,9.997688479362334402e-01,6.604324065774581107e-05
8.350000000000001421e+00,9.993793646165036737e-01,6.363404052539161683e-05
8.449999999999999289e+00,9.995410156398701895e-01,6.209706664993859136e-05
8.550000000000000711e+00,9.999587234827951310e-01,6.928233118387824613e-05
8.650000000000000355e+00,9.997480671040126499e-01,6.662184410456688146e-05
8.750000000000000000e+00,1.000059584777512223e+00,5.697469220269793191e-05
8.850000000000001421e+00,9.998913546190610901e-01,7.039221347630270184e-05
8.949999999999999289e+00,9.999918530507810877e-01,8.231343098568176368e-05
9.050000000000000711e+00,9.998120254551989827e-01,6.011373237622539189e-05
9.150000000000000355e+00,9.998392822305799399e-01,6.487237505950011135e-05
9.250000000000000000e+00,9.996096307746377141e-01,8.387455023074942171e-05
9.350000000000001421e+00,9.998621769898472511e-01,4.953451593948920149e-05
9.449999999999999289e+00,9.997670289913426211e-01,5.496676885213376215e-05
9.550000000000000711e+00,9.998791460859036695e-01,6.558269882318628567e-05
9.650000000000002132e+00,9.998578337330779053e-01,3.246977344433168983e-05
9.750000000000000000e+00,1.000059608803166800e+00,5.378610380047250646e-05
9.850000000000001421e+00,9.998191034112220432e-01,8.759909168810217834e-05
9.949999999999999289e+00,9.999603282732643095e-01,9.011316501467771288e-05
