r,gSS_mean,gSS_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,1.938344308454791542e-04,7.160247942315286967e-06
9.499999999999999556e-01,4.090400665182250539e-01,3.490716081813164035e-04
1.050000000000000044e+00,2.205318800259341572e+00,4.753073900495047473e-04
1.150000000000000133e+00,2.142593031931617098e+00,4.295342523463589485e-04
1.250000000000000000e+00,1.415372287108314531e+00,3.362212017660583339e-04
1.350000000000000089e+00,9.818821783164940475e-01,2.952721917232768094e-04
1.450000000000000178e+00,7.753543956929676018e-01,1.964730838022794206e-04
1.550000000000000044e+00,7.020404186358486509e-01,1.328426604512552493e-04
1.650000000000000133e+00,7.153256006580327453e-01,2.018296620940898624e-04
1.750000000000000000e+00,8.023375866914115306e-01,2.466680195337010088e-04
1.850000000000000089e+00,9.405203791756411302e-01,2.979673659906803638e-04
1.950000000000000178e+00,1.083153257357918342e+00,2.560924351549861283e-04
2.049999999999999822e+00,1.180318373087264394e+00,1.915122386741432124e-04
2.150000000000000355e+00,1.178652519421887090e+00,2.080767728500143370e-04
2.250000000000000000e+00,1.095448230522736655e+00,9.147987097923441005e-05
2.350000000000000533e+00,9.982696351299431559e-01,2.076432863148801474e-04
2.450000000000000178e+00,9.307889035181670101e-01,1.357443751662575505e-04
2.549999999999999822e+00,9.059272022138369351e-01,1.067972567438046704e-04
2.650000000000000355e+00,9.196931631151038511e-01,1.343523319750304906e-04
2.750000000000000000e+00,9.589399218802997504e-01,1.602267585198452352e-04
2.850000000000000533e+00,1.005047440258692859e+00,1.239319902271007593e-04
2.950000000000000178e+00,1.040075909900444628e+00,1.470704288312357799e-04
3.049999999999999822e+00,1.052287941583275099e+00,1.165129381704774740e-04
3.150000000000000355e+00,1.042746818692299460e+00,8.283548724081495778e-05
3.250000000000000000e+00,1.018559938736797177e+00,8.987893922602388204e-05
3.350000000000000533e+00,9.928692171417061729e-01,1.277840590098797819e-04
3.450000000000000178e+00,9.749300764212538439e-01,1.189871903800866049e-04
3.549999999999999822e+00,9.702469170159797596e-01,1.585348702818241418e-04
3.650000000000000355e+00,9.776489742063064758e-01,6.839263577058804977e-05
3.750000000000000000e+00,9.919774592802965696e-01,8.818294294042806772e-05
3.850000000000000533e+00,1.006416355773589677e+00,9.497286668218314469e-05
3.950000000000000178e+00,1.015514917153993446e+00,1.287527542112997675e-04
4.050000000000000711e+00,1.016839708986818414e+00,8.516821700153709581e-05
4.150000000000000355e+00,1.011267012344317706e+00,6.322589243562427971e-05
4.250000000000000000e+00,1.002886655484248601e+00,5.605732924269285120e-05
4.349999999999999645e+00,9.953689153858112926e-01,7.598126937116674647e-05
4.450000000000000178e+00,9.905098515387500413e-01,1.421744489675407278e-04
4.550000000000000711e+00,9.904358335946161773e-01,7.538612711576314618e-05
4.650000000000000355e+00,9.939810305719063432e-01,5.406321534113198450e-05
4.750000000000000000e+00,9.989922440253333757e-01,8.029547976265155194e-05
4.850000000000000533e+00,1.003415648861583742e+00,9.723462064234312629e-05
4.950000000000000178e+00,1.005901019188305101e+00,9.488228093480076300e-05
5.050000000000000711e+00,1.005263864462712764e+00,9.968522170421353250e-05
5.150000000000000355e+00,1.003089546793612508e+00,8.176255021165895645e-05
5.250000000000000000e+00,9.998648641273852888e-01,4.796689645856635700e-05
5.350000000000000533e+00,9.973664535377559925e-01,6.931190784192255562e-05
5.450000000000000178e+00,9.964643932243589797e-01,6.340004114114369696e-05
5.550000000000000711e+00,9.968882399627755353e-01,8.031500129831566841e-05
5.650000000000000355e+00,9.985005317335083896e-01,5.050760263407122859e-05
5.750000000000000000e+00,1.000241981221413168e+00,6.616914559907780729e-05
5.850000000000000533e+00,1.001660899844119879e+00,3.419556294822921800e-05
5.950000000000000178e+00,1.002108841948541551e+00,5.848252440998675557e-05
6.050000000000000711e+00,1.001668600079475002e+00,4.212414829030810491e-05
6.150000000000000355e+00,1.000600095851774674e+00,6.262960523048732235e-05
6.250000000000000000e+00,9.994835381855772249e-01,4.987613196924061781e-05
6.350000000000000533e+00,9.988558604088311199e-01,3.320406232764487890e-05
6.450000000000000178e+00,9.987177041512783626e-01,7.502285773371721023e-05
6.550000000000000711e+00,9.989981021918048487e-01,7.404608157818379915e-05
6.650000000000000355e+00,9.996251114744791888e-01,4.507903610690249517e-05
6.750000000000000000e+00,1.000305017652340478e+00,5.189940934211392174e-05
6.850000000000000533e+00,1.000646645359915654e+00,5.807320357346075973e-05
6.950000000000000178e+00,1.000733837479626853e+00,5.886503374406421707e-05
7.050000000000000711e+00,1.000549692759975740e+00,4.480670482844746898e-05
7.150000000000000355e+00,1.000004470508983889e+00,7.092749455613380492e-05
7.250000000000000000e+00,9.996753036731274022e-01,5.357166137571551845e-05
7.350000000000000533e+00,9.994462583398050493e-01,4.461982767338216349e-05
7.450000000000000178e+00,9.995400087514443310e-01,6.610294985454161752e-05
7.550000000000000711e+00,9.996682664980907074e-01,4.321674135011070234e-05
7.650000000000000355e+00,9.999898671179698884e-01,4.606559545573594121e-05
7.750000000000000000e+00,1.000069359088527010e+00,4.344113692332734442e-05
7.850000000000000533e+00,1.000317311338847492e+00,5.097949262339720804e-05
7.950000000000000178e+00,1.000243566435430997e+00,2.943542782167929276e-05
8.050000000000000711e+00,1.000160054255238684e+00,4.258743182574037162e-05
8.150000000000000355e+00,9.998694996250199196e-01,3.864872394398464101e-05
8.250000000000000000e+00,9.997940934404123681e-01,5.303097585520456472e-05
8.350000000000001421e+00,9.998063479548626731e-01,6.453433536314185455e-05
8.449999999999999289e+00,9.997363638333094382e-01,2.607506350670045134e-05
8.550000000000000711e+00,9.998320019710700279e-01,5.223975358295603207e-05
8.650000000000000355e+00,1.000077491982624078e+00,5.605886519811722910e-05
8.750000000000000000e+00,9.999635254347026825e-01,7.131005010773178621e-05
8.850000000000001421e+00,1.000093141331759083e+00,6.022021950560302794e-05
8.949999999999999289e+00,1.000067914082103826e+00,6.150385544912872658e-05
9.050000000000000711e+00,1.000037576643331594e+00,5.388293549453858822e-05
9.150000000000000355e+00,9.998384061888975216e-01,1.827951831863827641e-05
9.250000000000000000e+00,9.999012987472143399e-01,5.419732766698621875e-05
9.350000000000001421e+00,9.998724148467769135e-01,6.157202144559475684e-05
9.449999999999999289e+00,9.998447839110401469e-01,5.003171679940764008e-05
9.550000000000000711e+00,9.999423670202194359e-01,4.046429575169633750e-05
9.650000000000002132e+00,9.999290196224341898e-01,4.228182355507293017e-05
9.750000000000000000e+00,9.999720187893256229e-01,3.657644621464395287e-05
9.850000000000001421e+00,1.000065768346222184e+00,4.093555050733687349e-05
9.949999999999999289e+00,9.997907477034576607e-01,2.243969770393637321e-05
