r,gSS_mean,gSS_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,8.120547861321104053e-05,6.304354689522762905e-06
9.499999999999999556e-01,2.049948521223817488e-01,2.229428049992583682e-04
1.050000000000000044e+00,1.299683281940515744e+00,5.759571146625602506e-04
1.150000000000000133e+00,1.501039506021177417e+00,5.292618621575663138e-04
1.250000000000000000e+00,1.321993811451721568e+00,4.252787438861544062e-04
1.350000000000000089e+00,1.183573053122078944e+00,4.936723533976353868e-04
1.450000000000000178e+00,1.081917362182672315e+00,3.075000376389263115e-04
1.550000000000000044e+00,1.009070554905634909e+00,4.736942889391735126e-04
1.650000000000000133e+00,9.613205419835709753e-01,2.591653868067508035e-04
1.750000000000000000e+00,9.379161365333572586e-01,3.663693547911779516e-04
1.850000000000000089e+00,9.361233467015980247e-01,2.615187862917591594e-04
1.950000000000000178e+00,9.522217116765512301e-01,2.963415598659711165e-04
2.049999999999999822e+00,9.817306823329712273e-01,3.208874963687336651e-04
2.150000000000000355e+00,1.005525081139162502e+00,2.418786391117143744e-04
2.250000000000000000e+00,1.016074885686502283e+00,2.760706134124505588e-04
2.350000000000000533e+00,1.017574732984974473e+00,1.437579490255795568e-04
2.450000000000000178e+00,1.013459666474255894e+00,2.412670426638242752e-04
2.549999999999999822e+00,1.007760533323179830e+00,1.830366049190216128e-04
2.650000000000000355e+00,1.002360688826582136e+00,1.776331866429191493e-04
2.750000000000000000e+00,9.977741156856232418e-01,2.198074879813742533e-04
2.850000000000000533e+00,9.959432262497334154e-01,1.193428182179684193e-04
2.950000000000000178e+00,9.955574432334181045e-01,1.103776367098444115e-04
3.049999999999999822e+00,9.966403402289758517e-01,1.355509037075397244e-04
3.150000000000000355e+00,9.986333006691763270e-01,1.335368557159762851e-04
3.250000000000000000e+00,1.000375377044126157e+00,1.098793421456584673e-04
3.350000000000000533e+00,1.000875167443027181e+00,1.899272716196330349e-04
3.450000000000000178e+00,1.001012627715115455e+00,1.225292218685643383e-04
3.549999999999999822e+00,1.000915759190436516e+00,1.066963942951160713e-04
3.650000000000000355e+00,1.000715132245746819e+00,1.105809711542962920e-04
3.750000000000000000e+00,9.998924038369889633e-01,1.590427099167628262e-04
3.850000000000000533e+00,9.998179380887821655e-01,1.088867704366902080e-04
3.950000000000000178e+00,9.997680723622209831e-01,1.486257671824760696e-04
4.050000000000000711e+00,9.997394241029121664e-01,1.393654743493495315e-04
4.150000000000000355e+00,9.999173810051745770e-01,2.183338040476056751e-04
4.250000000000000000e+00,9.998824143946144494e-01,8.515253103285542525e-05
4.349999999999999645e+00,9.997442202020400126e-01,1.497108469996412969e-04
4.450000000000000178e+00,9.999297803146210972e-01,1.188776280095053275e-04
4.550000000000000711e+00,9.999934397284905296e-01,1.064751827344650103e-04
4.650000000000000355e+00,1.000044884280709478e+00,1.114958825051151435e-04
4.750000000000000000e+00,1.000060377485009644e+00,1.042525864794033758e-04
4.850000000000000533e+00,1.000165342072107055e+00,1.031390440834917022e-04
4.950000000000000178e+00,9.998357068264539516e-01,9.471138011815923388e-05
5.050000000000000711e+00,9.999077167175098868e-01,8.369626190318332402e-05
5.150000000000000355e+00,9.999129209767160242e-01,1.037146768321266981e-04
5.250000000000000000e+00,9.999627277673222014e-01,1.180856982881995531e-04
5.350000000000000533e+00,9.998248391159506587e-01,7.433429896887116790e-05
5.450000000000000178e+00,1.000051452646648631e+00,1.009400439491204041e-04
5.550000000000000711e+00,9.999360749248922264e-01,8.725756784201597037e-05
5.650000000000000355e+00,9.999582372164848021e-01,1.345703934186098989e-04
5.750000000000000000e+00,1.000020679335535956e+00,1.156310876399453680e-04
5.850000000000000533e+00,9.999657371249963678e-01,9.280641864681726458e-05
5.950000000000000178e+00,1.000055641786174343e+00,1.174148897979473028e-04
6.050000000000000711e+00,1.000007594375685649e+00,8.623971087167082604e-05
6.150000000000000355e+00,9.998847714097655048e-01,8.343418659197837390e-05
6.250000000000000000e+00,9.999003491902038743e-01,9.284574435666161812e-05
6.350000000000000533e+00,9.999201830415408443e-01,8.753446547365974445e-05
6.450000000000000178e+00,9.998024708866374288e-01,8.019728947530130531e-05
6.550000000000000711e+00,1.000258462776515866e+00,8.766411623814994393e-05
6.650000000000000355e+00,9.998698707163343746e-01,1.042601128710377332e-04
6.750000000000000000e+00,1.000100944438049089e+00,7.652651944619584708e-05
6.850000000000000533e+00,9.999054151106896438e-01,5.379908769526416795e-05
6.950000000000000178e+00,9.999546407647308399e-01,7.498628914763450935e-05
7.050000000000000711e+00,1.000019841058306547e+00,6.294297917742587675e-05
7.150000000000000355e+00,9.999604948463611809e-01,6.569258392524743632e-05
7.250000000000000000e+00,9.999445197989567102e-01,6.941342098614388875e-05
7.350000000000000533e+00,1.000025601051479640e+00,4.588091140640568967e-05
7.450000000000000178e+00,9.998689190545334560e-01,5.660714404385472007e-05
7.550000000000000711e+00,1.000024290971236240e+00,6.221254167596534641e-05
7.650000000000000355e+00,9.999216902578055288e-01,4.650559041498438873e-05
7.750000000000000000e+00,9.998244711333279522e-01,1.080210807478988608e-04
7.850000000000000533e+00,1.000083203933376463e+00,7.416170653861446302e-05
7.950000000000000178e+00,1.000015210775080154e+00,7.545356661510531002e-05
8.050000000000000711e+00,9.999035633023583003e-01,5.700663296112620310e-05
8.150000000000000355e+00,9.999613929034728566e-01,4.470243789340520456e-05
8.250000000000000000e+00,1.000087221258049608e+00,6.902643735396128731e-05
8.350000000000001421e+00,9.999229768631916482e-01,7.281138462637795248e-05
8.449999999999999289e+00,9.998911591774619634e-01,7.006954595101780217e-05
8.550000000000000711e+00,9.998905563418855058e-01,3.046754750771466346e-05
8.650000000000000355e+00,9.999513067137518751e-01,4.594878664047972582e-05
8.750000000000000000e+00,1.000008261279705657e+00,5.486840271865563444e-05
8.850000000000001421e+00,9.999176920103947097e-01,5.945568945017697511e-05
8.949999999999999289e+00,1.000041432878223224e+00,2.474915441821309630e-05
9.050000000000000711e+00,9.999153151713345844e-01,4.479523421409020050e-05
9.150000000000000355e+00,9.998525189879252650e-01,7.732529753470394234e-05
9.250000000000000000e+00,9.999792248453648336e-01,5.694097162365067722e-05
9.350000000000001421e+00,1.000007769691765525e+00,3.720767056359967434e-05
9.449999999999999289e+00,9.999119587919675922e-01,6.196611153911156099e-05
9.550000000000000711e+00,9.999593474659755898e-01,5.834145904772213936e-05
9.650000000000002132e+00,9.999707765518948133e-01,4.818134067593173801e-05
9.750000000000000000e+00,1.000023774359511730e+00,4.450131318412547677e-05
9.850000000000001421e+00,1.000035307186035949e+00,4.616400275653917873e-05
9.949999999999999289e+00,9.999040576928232005e-01,5.798636791983778795e-05
