r,gSS_mean,gSS_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,7.752133229554614656e-05,7.516575649614169433e-06
9.499999999999999556e-01,2.074922780733387262e-01,4.595565563703755138e-04
1.050000000000000044e+00,1.311486692515015928e+00,1.255481151574336764e-03
1.150000000000000133e+00,1.512866428109149508e+00,1.103372825895175633e-03
1.250000000000000000e+00,1.329064668582018438e+00,9.072017138434676845e-04
1.350000000000000089e+00,1.188869757906614755e+00,6.777497375107937065e-04
1.450000000000000178e+00,1.086422062446797288e+00,4.070288842386658832e-04
1.550000000000000044e+00,1.010141566470796892e+00,4.565238491185486598e-04
1.650000000000000133e+00,9.633422909441067272e-01,3.722979813234243793e-04
1.750000000000000000e+00,9.377582280426391970e-01,3.895946882389618579e-04
1.850000000000000089e+00,9.352390471440011899e-01,3.229505813595328506e-04
1.950000000000000178e+00,9.529483779526204401e-01,4.808396896906028009e-04
2.049999999999999822e+00,9.817945671901100457e-01,2.400373198492530868e-04
2.150000000000000355e+00,1.006014650613131334e+00,2.739558199370675036e-04
2.250000000000000000e+00,1.016475094407913726e+00,3.551796948800440851e-04
2.350000000000000533e+00,1.017900668647564455e+00,3.800793498722966797e-04
2.450000000000000178e+00,1.013183799714050703e+00,3.382570658042996828e-04
2.549999999999999822e+00,1.007499778795165390e+00,4.291140323570528806e-04
2.650000000000000355e+00,1.002142261398647705e+00,4.189330554403449913e-04
2.750000000000000000e+00,9.979278330348206882e-01,2.807827226917114158e-04
2.850000000000000533e+00,9.955933331030413225e-01,2.774339006939968147e-04
2.950000000000000178e+00,9.956376369144646077e-01,4.134050704725678754e-04
3.049999999999999822e+00,9.961445900151550958e-01,2.668168041127510094e-04
3.150000000000000355e+00,9.983835327774503998e-01,2.478731165039353137e-04
3.250000000000000000e+00,1.000168779875996616e+00,2.798926124069788164e-04
3.350000000000000533e+00,1.000738334489982728e+00,1.936255089550647558e-04
3.450000000000000178e+00,1.001423122379779374e+00,3.400417443748479131e-04
3.549999999999999822e+00,1.001286692028560799e+00,2.431910128758462731e-04
3.650000000000000355e+00,1.000429255161430442e+00,2.023942668564015059e-04
3.750000000000000000e+00,1.000026842065329769e+00,2.176779964295511439e-04
3.850000000000000533e+00,9.996606629298117053e-01,1.511813610453737887e-04
3.950000000000000178e+00,9.995253834036542662e-01,1.968442880076010592e-04
4.050000000000000711e+00,9.995839857939146089e-01,1.963994144371673789e-04
4.150000000000000355e+00,9.998082124611114008e-01,1.378912501927599134e-04
4.250000000000000000e+00,9.994676510877837927e-01,2.774223628643102558e-04
4.349999999999999645e+00,9.995925947834678471e-01,1.671620480097178339e-04
4.450000000000000178e+00,1.000121433888661482e+00,1.500807163748859251e-04
4.550000000000000711e+00,1.000048520800446372e+00,1.136305555198395014e-04
4.650000000000000355e+00,1.000032479086982118e+00,2.159104275713051146e-04
4.750000000000000000e+00,1.000073569092761572e+00,2.546165049640410571e-04
4.850000000000000533e+00,9.995118055324793138e-01,1.687260139975763290e-04
4.950000000000000178e+00,9.999569107072421303e-01,1.635474092695847459e-04
5.050000000000000711e+00,9.996745737862763326e-01,1.641193888019201080e-04
5.150000000000000355e+00,9.995940366160859236e-01,1.596969656507943498e-04
5.250000000000000000e+00,9.998806079214033193e-01,1.202239802864001132e-04
5.350000000000000533e+00,9.997563207143912445e-01,1.470984782788172060e-04
5.450000000000000178e+00,9.999593842952473333e-01,1.254573298709054817e-04
5.550000000000000711e+00,9.999557562847354308e-01,1.446326450650576374e-04
5.650000000000000355e+00,9.997223171619531445e-01,1.515468599794222982e-04
5.750000000000000000e+00,1.000000000342236239e+00,1.024687582261918161e-04
5.850000000000000533e+00,9.999135993587640048e-01,1.351606216022903113e-04
5.950000000000000178e+00,9.996780460591253581e-01,1.205788483918597857e-04
6.050000000000000711e+00,9.998866717410557214e-01,1.463964871601472094e-04
6.150000000000000355e+00,9.999238068106173216e-01,1.433418899500533842e-04
6.250000000000000000e+00,9.997557011136862792e-01,2.001344607808361537e-04
6.350000000000000533e+00,9.997311794958443354e-01,1.194346200472751429e-04
6.450000000000000178e+00,9.999561320446417323e-01,1.586304205388662535e-04
6.550000000000000711e+00,9.998417892797597517e-01,1.410072325196120311e-04
6.650000000000000355e+00,9.999626995926954587e-01,1.020843748337778474e-04
6.750000000000000000e+00,9.999938598385768040e-01,1.079444687512309820e-04
6.850000000000000533e+00,9.998882939244969625e-01,1.607964459859380910e-04
6.950000000000000178e+00,1.000018815934452743e+00,1.254007884676517498e-04
7.050000000000000711e+00,9.996898651776431333e-01,1.565099642934228235e-04
7.150000000000000355e+00,9.997612409023901581e-01,7.664333654751184159e-05
7.250000000000000000e+00,9.996840734154300856e-01,1.020168381700131796e-04
7.350000000000000533e+00,9.999900587593101298e-01,9.021964130270780809e-05
7.450000000000000178e+00,9.998558341941373717e-01,1.209939422598644654e-04
7.550000000000000711e+00,9.998883100468575202e-01,1.374474283377293134e-04
7.650000000000000355e+00,9.996082278706388546e-01,1.179145097938623534e-04
7.750000000000000000e+00,9.999340706310327898e-01,9.911840173848337685e-05
7.850000000000000533e+00,9.999162402672897576e-01,8.981964164838449202e-05
7.950000000000000178e+00,9.998984324788541267e-01,1.367881260898959491e-04
8.050000000000000711e+00,9.999370561577217709e-01,1.282382516202662634e-04
8.150000000000000355e+00,9.998744167959863205e-01,1.253528046833371772e-04
8.250000000000000000e+00,9.996533999243977231e-01,1.101202098890380983e-04
8.350000000000001421e+00,9.999170705893837274e-01,1.128640537244921221e-04
8.449999999999999289e+00,9.997854864934871966e-01,1.114093792787724954e-04
8.550000000000000711e+00,9.999296233461544281e-01,1.247255111395414280e-04
8.650000000000000355e+00,9.997901169307066294e-01,1.221603653573200910e-04
8.750000000000000000e+00,1.000022236605321746e+00,4.676172842598396850e-05
8.850000000000001421e+00,9.998136614116001075e-01,9.785472396753974159e-05
8.949999999999999289e+00,9.998091825515977860e-01,7.375654072250690716e-05
9.050000000000000711e+00,9.998611863539906830e-01,1.104995530337350045e-04
9.150000000000000355e+00,9.999040059341564035e-01,1.111182613770994777e-04
9.250000000000000000e+00,9.997423264528728648e-01,1.025045653785511252e-04
9.350000000000001421e+00,9.998413339288149126e-01,7.280569197499736753e-05
9.449999999999999289e+00,9.999452031179426603e-01,7.499372672370059069e-05
9.550000000000000711e+00,9.998850160874868109e-01,1.138060495237584811e-04
9.650000000000002132e+00,9.999171456685761461e-01,9.878543807440149890e-05
9.750000000000000000e+00,9.999057223832265029e-01,9.253423167272918322e-05
9.850000000000001421e+00,9.998276471079489136e-01,5.422440075981986216e-05
9.949999999999999289e+00,9.998491907919934141e-01,8.512564209300560523e-05
