r,gSS_mean,gSS_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,7.182707267632066554e-05,5.430955259940861098e-06
9.499999999999999556e-01,2.048671291492954738e-01,3.982984631074497415e-04
1.050000000000000044e+00,1.298455510271875557e+00,7.769649849405982616e-04
1.150000000000000133e+00,1.500801513527629805e+00,9.126752479936961612e-04
1.250000000000000000e+00,1.320990398547301714e+00,4.448468494906355391e-04
1.350000000000000089e+00,1.183837922048550650e+00,5.621034231773686845e-04
1.450000000000000178e+00,1.081363884943091991e+00,4.431540757861521132e-04
1.550000000000000044e+00,1.008734442641025186e+00,3.470902112044117467e-04
1.650000000000000133e+00,9.616587511979080016e-01,3.714207487831172345e-04
1.750000000000000000e+00,9.376145345096652539e-01,3.966851902152678812e-04
1.850000000000000089e+00,9.352956659041490317e-01,3.349579887632499718e-04
1.950000000000000178e+00,9.520657873256750392e-01,3.331244416460348110e-04
2.049999999999999822e+00,9.818241041508688483e-01,3.310238701832182934e-04
2.150000000000000355e+00,1.005734521177183982e+00,2.904606488306090122e-04
2.250000000000000000e+00,1.016062118285063764e+00,3.270593358379073837e-04
2.350000000000000533e+00,1.017677257483120545e+00,3.027867831192539985e-04
2.450000000000000178e+00,1.013787390252441467e+00,2.736395728124703082e-04
2.549999999999999822e+00,1.007500342758969492e+00,2.455198476364785633e-04
2.650000000000000355e+00,1.002255115456190504e+00,2.385326192656430635e-04
2.750000000000000000e+00,9.977863889828844091e-01,2.561372107355212413e-04
2.850000000000000533e+00,9.957578904984633050e-01,2.085293984947856130e-04
2.950000000000000178e+00,9.957835709897274734e-01,1.538720020403414946e-04
3.049999999999999822e+00,9.963028330372493135e-01,2.212265386860590697e-04
3.150000000000000355e+00,9.985086472000965774e-01,2.053321726923278774e-04
3.250000000000000000e+00,1.000227796324600460e+00,2.084150963725683891e-04
3.350000000000000533e+00,1.000718942604203576e+00,2.287470498909037291e-04
3.450000000000000178e+00,1.001461613729555555e+00,1.816396203800158730e-04
3.549999999999999822e+00,1.000966299431631512e+00,1.520913959421167443e-04
3.650000000000000355e+00,1.000413560600537322e+00,1.605592966682485936e-04
3.750000000000000000e+00,1.000069118330534579e+00,1.682780934243672047e-04
3.850000000000000533e+00,9.999678281213372211e-01,1.084331319344726481e-04
3.950000000000000178e+00,9.997736064602280592e-01,1.703877815657475390e-04
4.050000000000000711e+00,9.995541853594227533e-01,1.723137818453639245e-04
4.150000000000000355e+00,9.994209493192730553e-01,2.484834929335485521e-04
4.250000000000000000e+00,9.998082947092562511e-01,1.040528283491121619e-04
4.349999999999999645e+00,9.999304866147962212e-01,1.962902460293011319e-04
4.450000000000000178e+00,1.000046785324154586e+00,1.661359854497326740e-04
4.550000000000000711e+00,9.999233077420563998e-01,1.203038008288411648e-04
4.650000000000000355e+00,1.000058107135794128e+00,7.614950299128073923e-05
4.750000000000000000e+00,9.998894073616920730e-01,1.229374660467205758e-04
4.850000000000000533e+00,9.998926659161524455e-01,1.525314925325894954e-04
4.950000000000000178e+00,1.000028375031100980e+00,1.122455317555566410e-04
5.050000000000000711e+00,9.998985326079818936e-01,9.840794615924251527e-05
5.150000000000000355e+00,1.000087705501790714e+00,1.213181419246602357e-04
5.250000000000000000e+00,9.999732867073234388e-01,1.157092318429392690e-04
5.350000000000000533e+00,9.999425827812448153e-01,1.491653268200474102e-04
5.450000000000000178e+00,9.999135663318362566e-01,8.288277396863062360e-05
5.550000000000000711e+00,9.998604956880017269e-01,1.082788561792730366e-04
5.650000000000000355e+00,9.997374653389392574e-01,1.186728770308813412e-04
5.750000000000000000e+00,9.997693104611509174e-01,8.251110509169949940e-05
5.850000000000000533e+00,1.000028469437157730e+00,1.299016128185581621e-04
5.950000000000000178e+00,1.000010661934570111e+00,1.143739730910911420e-04
6.050000000000000711e+00,9.999820139712911615e-01,8.178041231628372884e-05
6.150000000000000355e+00,9.998696378884673885e-01,5.570312730551251824e-05
6.250000000000000000e+00,9.998942174779529291e-01,8.740714794360066021e-05
6.350000000000000533e+00,9.999808410951371851e-01,8.137243407097899612e-05
6.450000000000000178e+00,9.998712889566518935e-01,1.054803961088191254e-04
6.550000000000000711e+00,9.999683770045884046e-01,8.130009455007978559e-05
6.650000000000000355e+00,9.999555925955032620e-01,6.924425611612141035e-05
6.750000000000000000e+00,9.996255114195109481e-01,8.918448184158729217e-05
6.850000000000000533e+00,9.999596734322061531e-01,1.040855782310730527e-04
6.950000000000000178e+00,9.998289355256624322e-01,1.169633401511375608e-04
7.050000000000000711e+00,1.000032548538713373e+00,1.036896580714755431e-04
7.150000000000000355e+00,1.000073084593461559e+00,9.900046504524616169e-05
7.250000000000000000e+00,9.999494977436451659e-01,6.780254239850738707e-05
7.350000000000000533e+00,9.999727895183754267e-01,9.300686066154909253e-05
7.450000000000000178e+00,9.999327728217789479e-01,9.340653546937254361e-05
7.550000000000000711e+00,9.997826152079565265e-01,8.766391898016395680e-05
7.650000000000000355e+00,9.998965451856310915e-01,1.180715611221328908e-04
7.750000000000000000e+00,9.999064888619944025e-01,1.100646947828997464e-04
7.850000000000000533e+00,9.998710549117916235e-01,1.007623046909637794e-04
7.950000000000000178e+00,1.000101623751518343e+00,9.010289155527445733e-05
8.050000000000000711e+00,9.998363041294998643e-01,7.742916942574149615e-05
8.150000000000000355e+00,9.998656153732730090e-01,6.129903391901975738e-05
8.250000000000000000e+00,9.999393362099994187e-01,8.465108095914639617e-05
8.350000000000001421e+00,9.999013638416911487e-01,3.942859052221865803e-05
8.449999999999999289e+00,9.999026606530208028e-01,5.997829832478756949e-05
8.550000000000000711e+00,9.999324251155838894e-01,4.575847534416420859e-05
8.650000000000000355e+00,9.997408404271344029e-01,6.307569251656258344e-05
8.750000000000000000e+00,9.999592325929839154e-01,1.043770043233555912e-04
8.850000000000001421e+00,1.000081277557433923e+00,5.738934758713418053e-05
8.949999999999999289e+00,1.000006948869793799e+00,5.338209516400574953e-05
9.050000000000000711e+00,1.000010381207428578e+00,4.016077457439847859e-05
9.150000000000000355e+00,9.998684637537526010e-01,6.740931349901585490e-05
9.250000000000000000e+00,9.997968871431712756e-01,4.021972838833353081e-05
9.350000000000001421e+00,9.998831757354255112e-01,5.272332840987437828e-05
9.449999999999999289e+00,9.997790473512508935e-01,6.855394963775151109e-05
9.550000000000000711e+00,9.998784655801843391e-01,6.071820356032121119e-05
9.650000000000002132e+00,9.999120275438386773e-01,4.829644047309025935e-05
9.750000000000000000e+00,9.998336197166196593e-01,5.464664668906328674e-05
9.850000000000001421e+00,1.000053124720937214e+00,4.939609303704207261e-05
9.949999999999999289e+00,9.999335553270704002e-01,2.454235274086852720e-05
