t,D_cat_mean,D_cat_err,D_ani_mean,D_ani_err
0.000000000000000000e+00,nan,nan,nan,nan
4.000000000000000222e-01,1.509798874999999652e-01,1.658852243749102656e-03,1.515182999999999947e-01,1.211182523948989547e-03
8.000000000000000444e-01,1.068318833333333079e-01,9.487721270191743286e-04,1.071343437499999718e-01,6.759094728743758693e-04
1.199999999999999956e+00,9.159467361111112149e-02,7.171804628686674274e-04,9.181269027777778924e-02,5.203566920242025124e-04
1.600000000000000089e+00,8.378874687500000029e-02,6.107215493545251365e-04,8.396839583333332024e-02,4.558480869735801020e-04
2.000000000000000000e+00,7.901173166666666803e-02,5.486291968816347153e-04,7.916673333333332230e-02,4.207876791572642762e-04
2.399999999999999911e+00,7.577451388888889472e-02,5.094878023582958887e-04,7.591616666666667346e-02,4.008413523298893642e-04
2.799999999999999822e+00,7.342680952380954695e-02,4.827212942261252635e-04,7.356156547619048525e-02,3.892738825655736134e-04
3.200000000000000178e+00,7.164708854166665364e-02,4.619387205175919955e-04,7.176942187499998904e-02,3.819608377518879708e-04
3.600000000000000089e+00,7.023734259259259427e-02,4.455395949882074162e-04,7.035760185185183091e-02,3.758303420010181747e-04
4.000000000000000000e+00,6.909701249999999906e-02,4.335333282720127608e-04,6.921439999999999537e-02,3.698741585193964648e-04
4.400000000000000355e+00,6.815148106060606170e-02,4.243984746535973355e-04,6.826824242424242573e-02,3.662757118999901288e-04
4.799999999999999822e+00,6.735567708333334291e-02,4.167600649323869016e-04,6.746788194444444664e-02,3.638776042125702482e-04
5.200000000000000178e+00,6.667410897435896433e-02,4.105003151673159681e-04,6.678473397435895353e-02,3.617491612857288812e-04
5.599999999999999645e+00,6.608236607142858876e-02,4.052213238315968886e-04,6.619261607142859494e-02,3.601633376457794326e-04
6.000000000000000000e+00,6.556370000000000253e-02,3.997922913817696208e-04,6.567216944444445592e-02,3.581828147947636355e-04
6.400000000000000355e+00,6.510501041666666433e-02,3.948357919843340814e-04,6.521263802083332450e-02,3.562159268949408497e-04
6.799999999999999822e+00,6.469716421568627585e-02,3.911214948907377358e-04,6.480280637254900999e-02,3.550454957961031335e-04
7.200000000000000178e+00,6.433188888888888290e-02,3.877398791118124351e-04,6.443667592592591808e-02,3.542097220628437847e-04
7.599999999999999645e+00,6.400082456140351872e-02,3.848472048405417287e-04,6.410665570175438921e-02,3.526887088808153574e-04
8.000000000000000000e+00,6.370156458333332827e-02,3.823717070873361673e-04,6.380667083333334266e-02,3.518488795153442718e-04
8.400000000000000355e+00,6.342837896825395672e-02,3.798235442104486766e-04,6.353343849206349869e-02,3.507019548605939973e-04
8.800000000000000711e+00,6.317783712121212425e-02,3.778110252141813610e-04,6.328014583333332888e-02,3.502677103715830351e-04
9.199999999999999289e+00,6.294701811594204111e-02,3.759357681938639735e-04,6.304719384057970444e-02,3.492650315944907744e-04
9.599999999999999645e+00,6.273299652777777902e-02,3.742392161512603623e-04,6.283115104166667186e-02,3.480531595428003810e-04
1.000000000000000000e+01,6.253521833333333668e-02,3.726470665309690867e-04,6.263297166666667581e-02,3.471973151160096644e-04
1.040000000000000036e+01,6.235128685897435574e-02,3.707718469718346180e-04,6.244876282051281535e-02,3.465076172198314187e-04
1.080000000000000071e+01,6.217882098765431520e-02,3.694606990532686708e-04,6.227628395061727412e-02,3.458885256021972695e-04
1.119999999999999929e+01,6.201897619047620769e-02,3.677816707794811894e-04,6.211467261904764225e-02,3.455991118798387631e-04
1.159999999999999964e+01,6.186888649425288655e-02,3.664702243477094431e-04,6.196266522988506248e-02,3.454611122548301378e-04
1.200000000000000000e+01,6.172894305555556155e-02,3.650707878444795417e-04,6.182071944444444966e-02,3.449321957585033170e-04
1.240000000000000036e+01,6.159727284946235615e-02,3.638577558607490820e-04,6.168639381720429637e-02,3.443946768628034188e-04
1.280000000000000071e+01,6.147272395833332237e-02,3.630398874456401996e-04,6.155922916666665273e-02,3.436072861312148641e-04
1.319999999999999929e+01,6.135388762626263481e-02,3.623572322457759964e-04,6.143931691919191085e-02,3.431136229369838764e-04
1.359999999999999964e+01,6.124215686274510351e-02,3.616329841052590035e-04,6.132738112745098752e-02,3.424937690042116839e-04
1.400000000000000000e+01,6.113593452380951948e-02,3.606768354022384755e-04,6.122069761904762319e-02,3.419601837570160449e-04
1.440000000000000036e+01,6.103496527777778347e-02,3.595909488652765168e-04,6.112021180555556044e-02,3.415883572954686934e-04
1.480000000000000071e+01,6.093906644144142515e-02,3.585498382115856974e-04,6.102309234234233604e-02,3.412344228327984438e-04
1.519999999999999929e+01,6.084732236842105291e-02,3.578287028442151503e-04,6.093114692982456310e-02,3.409121153444761763e-04
1.559999999999999964e+01,6.075955769230769604e-02,3.573453908306115415e-04,6.084418055555555066e-02,3.404149599440338598e-04
1.600000000000000000e+01,6.067693229166666591e-02,3.568210605197573958e-04,6.076164791666667508e-02,3.399256217217984832e-04
1.639999999999999858e+01,6.059748170731708156e-02,3.561817606364466884e-04,6.068348069105691106e-02,3.395275640232981763e-04
1.680000000000000071e+01,6.052055158730157425e-02,3.553003579308114173e-04,6.060726488095238146e-02,3.392906735421524571e-04
