t,D_cat_mean,D_cat_err,D_ani_mean,D_ani_err
0.000000000000000000e+00,nan,nan,nan,nan
4.000000000000000222e-01,6.270315416666665254e-01,1.290018494924510123e-02,6.333369166666665828e-01,1.125183127005483646e-02
8.000000000000000444e-01,4.469523541666665656e-01,6.391162407378372934e-03,4.500218541666666239e-01,5.623115933223006395e-03
1.199999999999999956e+00,3.980826944444444959e-01,4.240075049653899315e-03,4.000756527777777904e-01,3.750757177161386218e-03
1.600000000000000089e+00,3.749001666666665900e-01,3.185842681897242158e-03,3.762852395833333752e-01,2.816646804605910884e-03
2.000000000000000000e+00,3.603967083333333155e-01,2.539671230887052822e-03,3.614622333333333271e-01,2.251801510163101323e-03
2.399999999999999911e+00,3.501542708333333365e-01,2.105329292855149820e-03,3.509602430555555652e-01,1.872062666848031296e-03
2.799999999999999822e+00,3.424263630952381621e-01,1.801240664362528925e-03,3.430114880952381817e-01,1.609866289415728090e-03
3.200000000000000178e+00,3.363289166666666441e-01,1.576642129622223606e-03,3.367453749999999024e-01,1.415780051371980401e-03
3.600000000000000089e+00,3.313684583333332823e-01,1.414207098228711847e-03,3.316431388888888554e-01,1.265410099342046757e-03
4.000000000000000000e+00,3.272626124999999941e-01,1.297481967066609586e-03,3.274373125000000218e-01,1.143018992719710891e-03
4.400000000000000355e+00,3.237956174242423435e-01,1.204124890396486135e-03,3.238953636363636202e-01,1.040293306925865009e-03
4.799999999999999822e+00,3.208349131944444599e-01,1.120385212865244095e-03,3.208831250000000468e-01,9.658184024293564552e-04
5.200000000000000178e+00,3.182832339743589811e-01,1.050997669439917691e-03,3.182765737179487076e-01,9.050209425602143186e-04
5.599999999999999645e+00,3.160840773809524551e-01,9.881232378439468340e-04,3.159843750000000395e-01,8.586719157170405849e-04
6.000000000000000000e+00,3.141381666666666073e-01,9.323508811803976138e-04,3.139814722222221688e-01,8.269681744419072906e-04
6.400000000000000355e+00,3.124040364583333118e-01,8.888001726171406618e-04,3.122152083333333272e-01,8.084346981923253711e-04
6.799999999999999822e+00,3.108543627450980340e-01,8.525825840124853479e-04,3.106471568627451330e-01,7.931977808005211779e-04
7.200000000000000178e+00,3.094478472222221832e-01,8.149157558609217448e-04,3.092437499999999284e-01,7.801721676391323770e-04
7.599999999999999645e+00,3.081779385964912299e-01,7.859022498777934766e-04,3.079641228070175707e-01,7.679256584523484492e-04
8.000000000000000000e+00,3.070386875000000737e-01,7.602990548632841423e-04,3.067996250000000202e-01,7.548665841056800352e-04
8.400000000000000355e+00,3.060061706349205823e-01,7.362616050103101785e-04,3.057211507936507533e-01,7.413566778527927578e-04
8.800000000000000711e+00,3.050498106060605119e-01,7.131654460339065119e-04,3.047365340909090614e-01,7.292450176814708725e-04
9.199999999999999289e+00,3.041521920289854686e-01,6.953659814180092325e-04,3.038342934782608529e-01,7.183024329281325606e-04
