t,D_cat_mean,D_cat_err,D_ani_mean,D_ani_err
0.000000000000000000e+00,nan,nan,nan,nan
4.000000000000000222e-01,7.516308333333332481e-01,7.865561661984956515e-03,7.478192916666666079e-01,9.002270682359222662e-03
8.000000000000000444e-01,5.261785208333332742e-01,3.956535465298588461e-03,5.241035208333333362e-01,4.498466389096299027e-03
1.199999999999999956e+00,4.690496388888889534e-01,2.655121063830689302e-03,4.674995972222222851e-01,3.001469517733306412e-03
1.600000000000000089e+00,4.450523645833331932e-01,1.986939660549082512e-03,4.438055104166666598e-01,2.255368124869451801e-03
2.000000000000000000e+00,4.318519500000000955e-01,1.576130974407798611e-03,4.307694583333333549e-01,1.816210432443095615e-03
2.399999999999999911e+00,4.233563333333333345e-01,1.308158652585849529e-03,4.223594305555556372e-01,1.532472419833297251e-03
2.799999999999999822e+00,4.173649523809525030e-01,1.116087191980389684e-03,4.164145238095239288e-01,1.330311666747560195e-03
3.200000000000000178e+00,4.128654635416665886e-01,9.703183707169812716e-04,4.119573385416666622e-01,1.181286961682743997e-03
3.600000000000000089e+00,4.093616342592592550e-01,8.499392988618837763e-04,4.084787638888888739e-01,1.070943769337168172e-03
4.000000000000000000e+00,4.065328333333333433e-01,7.526591670086115078e-04,4.056843916666666994e-01,9.775276967951109300e-04
4.400000000000000355e+00,4.042220833333333152e-01,6.717437386758533767e-04,4.033959848484848232e-01,8.919586037913747410e-04
4.799999999999999822e+00,4.022839583333334135e-01,6.047645792625389082e-04,4.014791319444444007e-01,8.223676061491988227e-04
5.200000000000000178e+00,4.006279487179486010e-01,5.439803747989524051e-04,3.998665705128204850e-01,7.611616729085559155e-04
5.599999999999999645e+00,3.992132142857143795e-01,4.942165202617105702e-04,3.984698214285714579e-01,7.049333656542299117e-04
6.000000000000000000e+00,3.980009722222222490e-01,4.548911468737523289e-04,3.972519444444445047e-01,6.568542586805496469e-04
6.400000000000000355e+00,3.969446354166665802e-01,4.236845411795276957e-04,3.961834895833332704e-01,6.176781863310478989e-04
6.799999999999999822e+00,3.960094852941176691e-01,3.974177149150060536e-04,3.952325980392156768e-01,5.897374836917399898e-04
7.200000000000000178e+00,3.951852546296295565e-01,3.731772274745171229e-04,3.943800231481481289e-01,5.686987730593533706e-04
7.599999999999999645e+00,3.944477412280702477e-01,3.551582132226398518e-04,3.936234429824562175e-01,5.517197076379006361e-04
8.000000000000000000e+00,3.937794791666666128e-01,3.383227686186947368e-04,3.929459791666666257e-01,5.374040863767174173e-04
8.400000000000000355e+00,3.931709325396824939e-01,3.231787143458652038e-04,3.923336309523808851e-01,5.284208698934916978e-04
8.800000000000000711e+00,3.926119128787878276e-01,3.065920525995988926e-04,3.917813446969696800e-01,5.154835370808567418e-04
9.199999999999999289e+00,3.921015579710145360e-01,2.936430376271054318e-04,3.912668478260870053e-01,5.026990733776562793e-04
9.599999999999999645e+00,3.916324305555555774e-01,2.829546733275866408e-04,3.907960416666667602e-01,4.946321101303463065e-04
1.000000000000000000e+01,3.912037666666666746e-01,2.727738596686229890e-04,3.903621666666666767e-01,4.860540582392709687e-04
1.040000000000000036e+01,3.908134294871793979e-01,2.659488310748062590e-04,3.899554166666666655e-01,4.784757885119422793e-04
1.080000000000000071e+01,3.904456635802467934e-01,2.630747267857589853e-04,3.895731944444443817e-01,4.717246963571920413e-04
1.119999999999999929e+01,3.901017113095238686e-01,2.611710541995848536e-04,3.892178125000000377e-01,4.703884023485629105e-04
1.159999999999999964e+01,3.897801293103449471e-01,2.610942787633764952e-04,3.888782183908046086e-01,4.723282966670121858e-04
1.200000000000000000e+01,3.894811249999999836e-01,2.637955881602607744e-04,3.885613888888888590e-01,4.725317372543570574e-04
1.240000000000000036e+01,3.892097580645161314e-01,2.682685583966396914e-04,3.882651612903225691e-01,4.757465161138390393e-04
1.280000000000000071e+01,3.889558593749999904e-01,2.724353245088092178e-04,3.879831901041666531e-01,4.782406146504196475e-04
1.319999999999999929e+01,3.887195833333333961e-01,2.769002165974851818e-04,3.877206186868687454e-01,4.821906412973796371e-04
1.359999999999999964e+01,3.884961519607842972e-01,2.826724919024647042e-04,3.874745955882353265e-01,4.860569229045227251e-04
1.400000000000000000e+01,3.882859285714285180e-01,2.890518802585089549e-04,3.872430952380952474e-01,4.895805056929279468e-04
1.440000000000000036e+01,3.880867592592592841e-01,2.962661053130642578e-04,3.870217476851851579e-01,4.958935902795039499e-04
1.480000000000000071e+01,3.878990090090089771e-01,3.037446368011604658e-04,3.868069481981981084e-01,5.022789259341511750e-04
1.519999999999999929e+01,3.877222368421053833e-01,3.127970770817209097e-04,3.866088706140352049e-01,5.088193814335830508e-04
1.559999999999999964e+01,3.875554594017094345e-01,3.232130414753197440e-04,3.864190277777778126e-01,5.159552097756121532e-04
1.600000000000000000e+01,3.873934583333333292e-01,3.325393088449605876e-04,3.862294687500000268e-01,5.226713373000010238e-04
1.639999999999999858e+01,3.872392479674797716e-01,3.407400436926617598e-04,3.860466361788618128e-01,5.285161321133742020e-04
1.680000000000000071e+01,3.870909523809523134e-01,3.483416384163696327e-04,3.858802380952380817e-01,5.342513614192002502e-04
1.719999999999999929e+01,3.869501356589147845e-01,3.555399995798941564e-04,3.857205717054263405e-01,5.384549656831604490e-04
1.760000000000000142e+01,3.868142140151515362e-01,3.629006202580427744e-04,3.855684469696969430e-01,5.428684353004376842e-04
1.800000000000000000e+01,3.866874722222222727e-01,3.698090674789468782e-04,3.854226759259258839e-01,5.472183265739107407e-04
1.839999999999999858e+01,3.865644927536232567e-01,3.766246417708087957e-04,3.852851902173913268e-01,5.527512936193922349e-04
1.880000000000000071e+01,3.864457801418439975e-01,3.833868165999299743e-04,3.851479078014183877e-01,5.586647418330237778e-04
1.919999999999999929e+01,3.863280642361111572e-01,3.899806744588543293e-04,3.850146788194445113e-01,5.641690910828903605e-04
1.960000000000000142e+01,3.862143792517006569e-01,3.958249241117719921e-04,3.848891836734693594e-01,5.688593403439647176e-04
2.000000000000000000e+01,3.861040916666667044e-01,4.018927259689210937e-04,3.847680416666666714e-01,5.752922558736611605e-04
2.039999999999999858e+01,3.860014052287581987e-01,4.069855025048204765e-04,3.846508088235294776e-01,5.818060561911716491e-04
2.080000000000000071e+01,3.859052724358973951e-01,4.126228074037247917e-04,3.845396554487178764e-01,5.881975729182189897e-04
2.119999999999999929e+01,3.858127515723270839e-01,4.183173258626085166e-04,3.844355424528302367e-01,5.941529189324230202e-04
2.160000000000000142e+01,3.857267438271603788e-01,4.245990954796875837e-04,3.843324305555554932e-01,5.992987956044908788e-04
2.200000000000000000e+01,3.856451818181818592e-01,4.307414509086208271e-04,3.842326212121211504e-01,6.049293152774072981e-04
2.239999999999999858e+01,3.855662574404762344e-01,4.370263782430392385e-04,3.841355803571429028e-01,6.109043708947587033e-04
2.280000000000000071e+01,3.854948684210526277e-01,4.427972567421513926e-04,3.840402339181285818e-01,6.170453000399355901e-04
2.319999999999999929e+01,3.854304597701149193e-01,4.480833229408575941e-04,3.839458117816091920e-01,6.237537187314652967e-04
2.360000000000000142e+01,3.853685381355931860e-01,4.536091654377160981e-04,3.838545338983049837e-01,6.312290726270301192e-04
2.400000000000000000e+01,3.853107777777777243e-01,4.594670253232514953e-04,3.837666458333333086e-01,6.377223688642833736e-04
2.439999999999999858e+01,3.852539480874317412e-01,4.650782925815060689e-04,3.836810519125683494e-01,6.434242521905804554e-04
2.480000000000000071e+01,3.852018481182795662e-01,4.710438232283956452e-04,3.835981854838709237e-01,6.480412569408530591e-04
2.519999999999999929e+01,3.851505952380952502e-01,4.766312102623601870e-04,3.835160515873016207e-01,6.520487024768896077e-04
2.560000000000000142e+01,3.850992708333332848e-01,4.822441453535525986e-04,3.834430273437498538e-01,6.562864033895247570e-04
2.600000000000000000e+01,3.850485769230768685e-01,4.874052900951856117e-04,3.833719166666666456e-01,6.604779088295853993e-04
