t,D_cat_mean,D_cat_err,D_ani_mean,D_ani_err
0.000000000000000000e+00,nan,nan,nan,nan
4.000000000000000222e-01,8.809383749999999402e-02,4.640352980222207913e-04,8.830606666666665494e-02,4.629896465541723650e-04
8.000000000000000444e-01,5.969610208333332724e-02,2.657262296295497873e-04,5.980543541666664964e-02,2.556774339966506816e-04
1.199999999999999956e+00,4.918818888888889379e-02,2.044845396388274685e-04,4.926738194444445218e-02,1.929699516916375803e-04
1.600000000000000089e+00,4.356868958333333375e-02,1.752946131667646422e-04,4.363221041666666411e-02,1.644769247979531305e-04
2.000000000000000000e+00,4.002591250000001044e-02,1.587405900936716681e-04,4.008046750000000824e-02,1.486389399979664097e-04
2.399999999999999911e+00,3.756933611111112209e-02,1.479405272342119060e-04,3.761965208333332977e-02,1.388947754749831124e-04
2.799999999999999822e+00,3.575875178571429058e-02,1.405460743327183312e-04,3.580454464285715011e-02,1.323062389717533322e-04
3.200000000000000178e+00,3.436395833333332622e-02,1.351061078623144751e-04,3.440724739583332636e-02,1.279117390776047831e-04
3.600000000000000089e+00,3.325545185185184438e-02,1.314023507591001233e-04,3.329569537037036647e-02,1.247510204577229032e-04
4.000000000000000000e+00,3.235243208333334064e-02,1.284053275887835749e-04,3.238933791666666340e-02,1.223378938173969727e-04
4.400000000000000355e+00,3.160002916666666134e-02,1.260793242561521720e-04,3.163503863636363961e-02,1.202891824870942018e-04
4.799999999999999822e+00,3.096405104166667296e-02,1.239875397735156425e-04,3.099819236111111057e-02,1.185866985831795638e-04
5.200000000000000178e+00,3.041949519230768839e-02,1.224552036575683137e-04,3.045201923076922695e-02,1.174181790318991754e-04
5.599999999999999645e+00,2.994763839285715171e-02,1.212426419353693517e-04,2.997853303571428735e-02,1.163387068809362823e-04
6.000000000000000000e+00,2.953444444444443956e-02,1.200529104318381229e-04,2.956285555555555541e-02,1.154359029890729822e-04
6.400000000000000355e+00,2.916932812499999778e-02,1.190053867007798805e-04,2.919649218749999567e-02,1.149890871334169026e-04
6.799999999999999822e+00,2.884444852941176612e-02,1.178290193835214260e-04,2.887035539215685939e-02,1.145198167395467274e-04
7.200000000000000178e+00,2.855359953703703185e-02,1.169010414653349204e-04,2.857867361111111199e-02,1.141407759602224291e-04
7.599999999999999645e+00,2.829100657894737664e-02,1.161392781884708017e-04,2.831539692982456419e-02,1.136822283571939807e-04
8.000000000000000000e+00,2.805301250000000191e-02,1.154765258015164796e-04,2.807667083333333785e-02,1.132017245784305289e-04
