t,D_cat_mean,D_cat_err,D_ani_mean,D_ani_err
0.000000000000000000e+00,nan,nan,nan,nan
4.000000000000000222e-01,2.480477666666666414e-01,2.225414499556802039e-02,2.728353416666666198e-01,1.998167518617752214e-02
8.000000000000000444e-01,1.679178458333333013e-01,1.114855340434754011e-02,1.803310666666666506e-01,9.993696686541693117e-03
1.199999999999999956e+00,1.411835013888889101e-01,7.427451243459550108e-03,1.495032472222222464e-01,6.677865526963987046e-03
1.600000000000000089e+00,1.278427708333333135e-01,5.571742434188942800e-03,1.340701458333333485e-01,5.027115793043044831e-03
2.000000000000000000e+00,1.198152333333333264e-01,4.457684673455825780e-03,1.248371916666666664e-01,4.042286332337221948e-03
2.399999999999999911e+00,1.144599930555555839e-01,3.713939019461527744e-03,1.186394583333333363e-01,3.379389403876699883e-03
2.799999999999999822e+00,1.106335892857142900e-01,3.176937163397755733e-03,1.142397797619047611e-01,2.903704286181591886e-03
3.200000000000000178e+00,1.077592864583333254e-01,2.776781008412123729e-03,1.109291979166666386e-01,2.546205740692732145e-03
3.600000000000000089e+00,1.055176481481481521e-01,2.463746286474625003e-03,1.083470787037036781e-01,2.264801717077014401e-03
4.000000000000000000e+00,1.037304833333333176e-01,2.217977749732892405e-03,1.062879625000000133e-01,2.039178513020597789e-03
4.400000000000000355e+00,1.022624696969696989e-01,2.018466909386448099e-03,1.045931628787878792e-01,1.857779481813146829e-03
4.799999999999999822e+00,1.010428472222222318e-01,1.852439004306639459e-03,1.031880729166666927e-01,1.708350373298488014e-03
5.200000000000000178e+00,1.000062852564102267e-01,1.712106854162167777e-03,1.020098461538461454e-01,1.587117075816531090e-03
5.599999999999999645e+00,9.912827678571431433e-02,1.595077379022659912e-03,1.009906428571429038e-01,1.481315854477395283e-03
6.000000000000000000e+00,9.834598333333331721e-02,1.490430522813235249e-03,1.001090500000000050e-01,1.394174755521512951e-03
6.400000000000000355e+00,9.765765624999997452e-02,1.396413135269580471e-03,9.932933072916665107e-02,1.313615056321834097e-03
6.799999999999999822e+00,9.704567647058824631e-02,1.313566085187677177e-03,9.863922303921569823e-02,1.245002491166259618e-03
7.200000000000000178e+00,9.649769212962960863e-02,1.241159995184113428e-03,9.803427777777778962e-02,1.185882321075369932e-03
7.599999999999999645e+00,9.600543201754388467e-02,1.171042347783263085e-03,9.749393421052632291e-02,1.132819507844640443e-03
8.000000000000000000e+00,9.556309166666668298e-02,1.109359065835835781e-03,9.700930624999999641e-02,1.082868911117870672e-03
8.400000000000000355e+00,9.516651190476191347e-02,1.051800534314405742e-03,9.657762500000000028e-02,1.039358696623615338e-03
8.800000000000000711e+00,9.480670833333332270e-02,1.002282704709570602e-03,9.617569507575755849e-02,9.974601090979723361e-04
9.199999999999999289e+00,9.447761050724638732e-02,9.601330632506523870e-04,9.580521376811595990e-02,9.586122516116098733e-04
9.599999999999999645e+00,9.417638368055557263e-02,9.237370111713544187e-04,9.546779340277777859e-02,9.225087582337258580e-04
1.000000000000000000e+01,9.389970500000002773e-02,8.893172314469446546e-04,9.515772833333333014e-02,8.903857543605524791e-04
1.040000000000000036e+01,9.364170673076924190e-02,8.590117179218026465e-04,9.486581891025638869e-02,8.581385557558608625e-04
1.080000000000000071e+01,9.340244907407405095e-02,8.274287271582375473e-04,9.459465895061726359e-02,8.287803387325579432e-04
1.119999999999999929e+01,9.317387500000000322e-02,7.984762335951034419e-04,9.434535267857144247e-02,8.026354187407807672e-04
1.159999999999999964e+01,9.296493678160919205e-02,7.740831482334409926e-04,9.411204166666667370e-02,7.781649759394588303e-04
1.200000000000000000e+01,9.276575972222221578e-02,7.478367837712954647e-04,9.389659722222221117e-02,7.560907077133446940e-04
1.240000000000000036e+01,9.258115322580644235e-02,7.239320060494054904e-04,9.368963440860214598e-02,7.341283408490838908e-04
1.280000000000000071e+01,9.240489973958333769e-02,7.016146622334475851e-04,9.349792057291665681e-02,7.158790030763817003e-04
1.319999999999999929e+01,9.223673484848486648e-02,6.798882281420658060e-04,9.331262752525253112e-02,6.963614307818785350e-04
1.359999999999999964e+01,9.208583700980393916e-02,6.607510070865057561e-04,9.314252083333332544e-02,6.784203944525372563e-04
1.400000000000000000e+01,9.194178333333333231e-02,6.418397103541324551e-04,9.298778095238095787e-02,6.626934999561267430e-04
1.440000000000000036e+01,9.181143518518516955e-02,6.259338930529045886e-04,9.284442824074071177e-02,6.490475171104271050e-04
1.480000000000000071e+01,9.168867454954954255e-02,6.106874794056478322e-04,9.270351689189187949e-02,6.359743053802130669e-04
1.519999999999999929e+01,9.157217872807019154e-02,5.960606827676959325e-04,9.257592214912283013e-02,6.235330862336780841e-04
1.559999999999999964e+01,9.146249465811964741e-02,5.824716670166132622e-04,9.245321260683761477e-02,6.110132490843518714e-04
1.600000000000000000e+01,9.135888749999999947e-02,5.702140385807413434e-04,9.233081770833333202e-02,5.982395339871805122e-04
1.639999999999999858e+01,9.125978658536586241e-02,5.572781723860325588e-04,9.221523678861789919e-02,5.863582223046935734e-04
1.680000000000000071e+01,9.116420833333332974e-02,5.445984700998831533e-04,9.210559821428571103e-02,5.749393517800925829e-04
1.719999999999999929e+01,9.107461724806202585e-02,5.326365640863847672e-04,9.200123352713179825e-02,5.644064875414404230e-04
1.760000000000000142e+01,9.098226704545453458e-02,5.204462106209240598e-04,9.190300473484847021e-02,5.535736060363645591e-04
1.800000000000000000e+01,9.089157685185184077e-02,5.083404745127372915e-04,9.180783981481480116e-02,5.451265567826549729e-04
1.839999999999999858e+01,9.080579710144928707e-02,4.980247085965608909e-04,9.171352173913042971e-02,5.363680058951036988e-04
1.880000000000000071e+01,9.072038120567374464e-02,4.874537839927302156e-04,9.162767730496453045e-02,5.302437278393651787e-04
1.919999999999999929e+01,9.063878472222222649e-02,4.785251575591608578e-04,9.154024305555556740e-02,5.229980730728938688e-04
1.960000000000000142e+01,9.056307823129250423e-02,4.705582072223631193e-04,9.146068877551019605e-02,5.162234817929722787e-04
2.000000000000000000e+01,9.049149999999998861e-02,4.629328581693456361e-04,9.138169166666666732e-02,5.089727541960260577e-04
2.039999999999999858e+01,9.042205065359477933e-02,4.526729249319216808e-04,9.130750816993464525e-02,5.028467707500456447e-04
2.080000000000000071e+01,9.035806891025639775e-02,4.445517678158238399e-04,9.123458333333331338e-02,4.959246541576233782e-04
2.119999999999999929e+01,9.029351415094340194e-02,4.367334745175915824e-04,9.116169025157233596e-02,4.894131497326682789e-04
2.160000000000000142e+01,9.022662037037035287e-02,4.290561014967574300e-04,9.109155864197529540e-02,4.840654157437024796e-04
2.200000000000000000e+01,9.016359090909091545e-02,4.222154105100320905e-04,9.102440151515149569e-02,4.789472317246501226e-04
2.239999999999999858e+01,9.010348958333333491e-02,4.147506879324988063e-04,9.096216517857143302e-02,4.741274602684929381e-04
2.280000000000000071e+01,9.004497076023390556e-02,4.068258427612005969e-04,9.089891081871344369e-02,4.703535433254501293e-04
2.319999999999999929e+01,8.998654454022989024e-02,4.004163456303031421e-04,9.084022270114941455e-02,4.667963832115273513e-04
