t,D_cat_mean,D_cat_err,D_ani_mean,D_ani_err
0.000000000000000000e+00,nan,nan,nan,nan
4.000000000000000222e-01,9.392511666666665260e-01,5.398058717868733924e-02,8.547748333333331505e-01,3.526655915682125331e-02
8.000000000000000444e-01,6.212479166666666774e-01,2.705647334329132347e-02,5.792778749999998311e-01,1.767044787787964283e-02
1.199999999999999956e+00,5.339941388888889140e-01,1.813062875763802456e-02,5.062293472222223478e-01,1.175725751878466986e-02
1.600000000000000089e+00,4.954451770833332991e-01,1.367729246005645709e-02,4.747468229166665887e-01,8.797249970480857176e-03
2.000000000000000000e+00,4.737249500000000890e-01,1.100644809708926225e-02,4.572445666666666853e-01,7.026389744073218042e-03
2.399999999999999911e+00,4.595141527777778512e-01,9.211674580987573580e-03,4.459415972222222635e-01,5.856993171916982828e-03
2.799999999999999822e+00,4.494474166666666548e-01,7.906954479224400506e-03,4.379556309523809920e-01,5.034783006085502034e-03
3.200000000000000178e+00,4.419228124999999285e-01,6.923727801438676888e-03,4.319587187499999703e-01,4.428121927384476644e-03
3.600000000000000089e+00,4.360264999999999280e-01,6.163396202915658907e-03,4.273251944444443895e-01,3.948431106185522690e-03
4.000000000000000000e+00,4.313087624999999425e-01,5.569059109446414073e-03,4.235874583333332777e-01,3.552860551800492584e-03
4.400000000000000355e+00,4.274185606060605380e-01,5.084539037940810982e-03,4.204861742424242377e-01,3.229080374573989505e-03
4.799999999999999822e+00,4.241293055555555580e-01,4.682093606109620845e-03,4.179176388888888871e-01,2.958983622396480807e-03
5.200000000000000178e+00,4.213125320512819405e-01,4.347888810069052909e-03,4.157273717948718472e-01,2.728482917027021983e-03
5.599999999999999645e+00,4.188881250000000556e-01,4.056987049398288157e-03,4.138016071428571863e-01,2.521765231554722909e-03
6.000000000000000000e+00,4.167692777777777802e-01,3.799207237219930523e-03,4.120948888888888995e-01,2.341875184468555655e-03
6.400000000000000355e+00,4.149141406249999275e-01,3.563685864551518513e-03,4.106136458333332628e-01,2.191026369510516800e-03
6.799999999999999822e+00,4.132976470588235474e-01,3.362294574011387947e-03,4.093229656862745758e-01,2.066546828134023864e-03
7.200000000000000178e+00,4.118408333333333227e-01,3.186555002158081643e-03,4.081927777777777377e-01,1.959087614858806645e-03
