r_salt,Dpp,Dpp_err,Dmm,Dmm_err
1.000000000000000021e-02,7.734309949509059201e-02,3.212510928541719877e-04,7.707277268730847175e-02,3.913268097824469899e-04
1.499999999999999944e-02,7.691345562487884868e-02,2.390527653352553358e-04,7.637335925607489917e-02,2.292759765606264212e-04
2.000000000000000042e-02,7.718280302179507391e-02,1.543708032922554683e-04,7.716179562453998053e-02,3.133015485346127391e-04
5.000000000000000278e-02,7.509050423699364929e-02,1.327637150468628823e-04,7.511241922601927246e-02,2.264638341210539827e-04
8.000000000000000167e-02,7.469680412658284696e-02,1.470772928294527312e-04,7.455359314109839819e-02,1.326115521841376966e-04
1.000000000000000056e-01,7.408526281095563493e-02,1.196060506205341245e-04,7.408474418712053533e-02,1.274255503009120646e-04
1.499999999999999944e-01,7.289536364365474530e-02,7.231032636956463786e-05,7.262653664164046841e-02,6.960145251564263283e-05
2.000000000000000111e-01,7.189657871261694033e-02,9.156396293094971656e-05,7.184019281642670118e-02,1.176260504543536010e-04
2.999999999999999889e-01,7.020195874310121431e-02,7.006260712347830294e-05,7.027038246610835259e-02,5.628105165121384936e-05
4.000000000000000222e-01,6.880745412885598544e-02,7.251778760761673666e-05,6.879119094707783488e-02,4.296193849722548065e-05
8.000000000000000444e-01,6.570776614817708250e-02,4.329721611473555924e-05,6.569193440831168351e-02,4.458703759607255491e-05
