r_salt,Dpp,Dpp_err,Dmm,Dmm_err
1.000000000000000021e-02,3.856368153581434255e-01,9.887978182316074088e-03,3.824179355369605737e-01,5.230134444540588366e-03
1.499999999999999944e-02,3.881145486371617159e-01,4.370798522081473063e-03,3.951922327058657869e-01,6.415627879033183184e-03
2.000000000000000042e-02,3.834647112370048738e-01,4.709247508880225024e-03,3.834741305065078598e-01,7.193943820275913552e-03
5.000000000000000278e-02,3.627098532059519487e-01,3.154645209729364276e-03,3.708131119471341219e-01,2.259956181491754815e-03
8.000000000000000167e-02,3.429318109590477337e-01,1.500892946705880554e-03,3.454277283822175248e-01,3.088978352779845303e-03
1.000000000000000056e-01,3.382450015116048037e-01,2.334149228107603325e-03,3.347722827398451062e-01,1.663163650311601065e-03
1.499999999999999944e-01,3.220503228878077162e-01,1.618467725067362223e-03,3.188370427457176692e-01,2.437457459553922338e-03
2.000000000000000111e-01,3.055298765491772928e-01,7.737535638977425904e-04,3.020123375903312479e-01,1.334147295099021328e-03
2.999999999999999889e-01,2.784907522814568659e-01,8.624157810833706734e-04,2.793554223910349465e-01,6.327054603447148295e-04
4.000000000000000222e-01,2.632540360366762422e-01,1.164683700554979386e-03,2.635234184076459263e-01,9.743451269182968862e-04
8.000000000000000444e-01,2.260700487379848078e-01,4.023776315250204697e-04,2.255974673162544075e-01,6.654883080338190419e-04
