r_salt,Dpp,Dpp_err,Dmm,Dmm_err
1.000000000000000021e-02,5.847556801725027620e-02,1.239405072573632281e-03,5.539651546126719145e-02,1.119622731666600592e-03
1.499999999999999944e-02,5.557548336624425905e-02,8.873256529920829378e-04,5.612233789833130648e-02,5.064736476328888463e-04
2.000000000000000042e-02,5.575399465942724314e-02,6.247412022071356392e-04,5.498169468472376142e-02,5.824184380330424751e-04
5.000000000000000278e-02,NaN,NaN,NaN,NaN
8.000000000000000167e-02,NaN,NaN,NaN,NaN
1.000000000000000056e-01,NaN,NaN,NaN,NaN
1.499999999999999944e-01,NaN,NaN,NaN,NaN
2.000000000000000111e-01,NaN,NaN,NaN,NaN
2.999999999999999889e-01,NaN,NaN,NaN,NaN
4.000000000000000222e-01,NaN,NaN,NaN,NaN
8.000000000000000444e-01,NaN,NaN,NaN,NaN
