timestep,H(t)_mean,H(t)_err
2.000000000000000111e-01,9.183099999999999596e-01,1.139440696131219970e-03
4.000000000000000222e-01,8.700689999999999813e-01,9.492008744201714488e-04
5.999999999999999778e-01,8.327605999999999620e-01,1.972097375891974144e-03
8.000000000000000444e-01,7.991492000000000040e-01,1.521755873982415805e-03
1.000000000000000000e+00,7.723923999999999790e-01,2.099804505186137534e-03
1.199999999999999956e+00,7.487523999999999846e-01,1.132154256274294337e-03
1.399999999999999911e+00,7.231011999999999995e-01,5.969915744798961121e-04
1.600000000000000089e+00,6.995240000000000347e-01,6.413986279997955587e-04
1.800000000000000044e+00,6.798450000000000326e-01,2.085586656075457800e-03
2.000000000000000000e+00,6.614649999999999697e-01,2.124331330089533100e-03
2.200000000000000178e+00,6.414174000000000264e-01,1.909597041262903108e-03
2.399999999999999911e+00,6.230809999999999960e-01,2.748792243877304971e-03
2.600000000000000089e+00,6.068134000000000583e-01,1.970154425419480895e-03
2.799999999999999822e+00,5.895458000000000087e-01,1.613442543135639416e-03
3.000000000000000000e+00,5.741667999999998662e-01,1.110121903216042044e-03
3.200000000000000178e+00,5.580365999999999937e-01,1.449109781900594042e-03
3.399999999999999911e+00,5.482389999999999208e-01,2.022865294575989896e-03
3.600000000000000089e+00,5.339492000000000127e-01,1.548759419664652668e-03
3.799999999999999822e+00,5.214442000000000244e-01,2.168019704707510424e-03
4.000000000000000000e+00,5.102075999999999834e-01,1.811979155509231380e-03
4.200000000000000178e+00,4.967914000000000496e-01,1.134275962894388265e-03
4.400000000000000355e+00,4.865823999999999705e-01,7.273017668065977865e-04
4.599999999999999645e+00,4.744118000000000501e-01,1.224738641506838708e-03
4.799999999999999822e+00,4.639312000000000435e-01,1.695849179614740106e-03
5.000000000000000000e+00,4.540408000000000222e-01,4.828103561441092332e-04
5.200000000000000178e+00,4.457016000000000311e-01,9.008554046016448245e-04
5.400000000000000355e+00,4.352479999999999682e-01,8.564982194961089220e-04
5.599999999999999645e+00,4.266177999999999915e-01,7.040670706686970835e-04
5.799999999999999822e+00,4.181460000000000177e-01,1.077886311259217307e-03
6.000000000000000000e+00,4.076005999999999796e-01,8.656776882881997903e-04
6.200000000000000178e+00,3.993726000000000220e-01,1.439138791083059048e-03
6.400000000000000355e+00,3.914368000000000292e-01,1.479800371671806478e-03
6.599999999999999645e+00,3.821004000000000067e-01,8.443571874509030054e-04
6.799999999999999822e+00,3.752267999999999715e-01,1.385412083100187033e-03
7.000000000000000000e+00,3.666028000000000064e-01,1.426067018060515586e-03
7.200000000000000178e+00,3.616720000000000490e-01,1.496626573330842036e-03
7.400000000000000355e+00,3.542547999999999808e-01,1.373706751821507539e-03
7.599999999999999645e+00,3.475308000000000286e-01,1.242191023957262301e-03
7.799999999999999822e+00,3.393248000000000375e-01,9.248142191813402179e-04
8.000000000000000000e+00,3.341638000000000108e-01,1.286730173734960698e-03
8.199999999999999289e+00,3.276207999999999898e-01,1.348126270050401150e-03
8.400000000000000355e+00,3.209224000000000521e-01,1.615562149841349689e-03
8.599999999999999645e+00,3.170252000000000070e-01,1.609130522984385248e-03
8.800000000000000711e+00,3.095143999999999673e-01,2.166090639839431294e-03
9.000000000000000000e+00,3.041510000000000047e-01,2.034141563411949634e-03
9.199999999999999289e+00,2.975960000000000272e-01,1.980704723072071634e-03
9.400000000000000355e+00,2.921304000000000123e-01,2.046566285269055870e-03
9.599999999999999645e+00,2.869037999999999866e-01,1.817664529004185377e-03
9.800000000000000711e+00,2.813592000000000315e-01,1.600712510102926924e-03
1.000000000000000000e+01,2.755507999999999846e-01,1.805772421984565322e-03
1.019999999999999929e+01,2.720888000000000195e-01,1.549541267601472865e-03
1.040000000000000036e+01,2.682879999999999709e-01,1.474260662162567639e-03
1.059999999999999964e+01,2.636990000000000167e-01,1.898118779212730435e-03
1.080000000000000071e+01,2.587287999999999810e-01,1.656340436021535786e-03
1.100000000000000000e+01,2.559673999999999561e-01,1.366595243662145544e-03
1.119999999999999929e+01,2.529413999999999829e-01,1.202285556762615381e-03
1.140000000000000036e+01,2.474606000000000028e-01,1.495569476821456646e-03
1.159999999999999964e+01,2.430086000000000190e-01,1.570988083977721854e-03
1.180000000000000071e+01,2.393932000000000004e-01,1.384097518240676433e-03
1.200000000000000000e+01,2.357426000000000244e-01,1.252073663967100082e-03
1.219999999999999929e+01,2.328372000000000219e-01,1.865408786298597237e-03
1.240000000000000036e+01,2.295930000000000193e-01,1.965759217198278109e-03
1.259999999999999964e+01,2.256509999999999905e-01,1.336860089912179960e-03
1.280000000000000071e+01,2.216520000000000157e-01,1.879142197919038892e-03
1.300000000000000000e+01,2.188400000000000067e-01,1.419058525924845292e-03
1.319999999999999929e+01,2.145995999999999737e-01,1.307278264180966642e-03
1.340000000000000036e+01,2.118672000000000055e-01,1.474591482411314377e-03
1.359999999999999964e+01,2.078746000000000205e-01,1.075387399963380255e-03
1.380000000000000071e+01,2.052065999999999890e-01,1.553741793220481679e-03
1.400000000000000000e+01,2.022832000000000241e-01,1.370974594950614663e-03
1.419999999999999929e+01,1.987578000000000122e-01,1.584369193086002233e-03
1.440000000000000036e+01,1.951258000000000159e-01,1.327280769091456012e-03
1.459999999999999964e+01,1.923623999999999890e-01,1.491721911081285608e-03
1.480000000000000071e+01,1.902081999999999939e-01,1.522081417007644559e-03
1.500000000000000000e+01,1.870160000000000156e-01,1.683129406789626512e-03
1.519999999999999929e+01,1.839104000000000017e-01,1.651090597150862852e-03
1.540000000000000036e+01,1.826911999999999980e-01,1.825312285610328732e-03
1.559999999999999964e+01,1.794010000000000049e-01,2.045149187712230320e-03
1.580000000000000071e+01,1.767395999999999967e-01,1.782051980162194455e-03
1.600000000000000000e+01,1.750649999999999706e-01,1.800801932473421272e-03
1.619999999999999929e+01,1.728320000000000412e-01,1.417106523871792525e-03
1.639999999999999858e+01,1.708381999999999956e-01,1.684272614513459112e-03
1.660000000000000142e+01,1.669255999999999796e-01,1.861056866406828048e-03
1.680000000000000071e+01,1.636835999999999847e-01,2.075555578634308198e-03
1.700000000000000000e+01,1.611057999999999935e-01,1.931627717755156522e-03
1.719999999999999929e+01,1.591796000000000322e-01,1.947545881359409245e-03
1.739999999999999858e+01,1.570061999999999847e-01,2.097215997459487332e-03
1.760000000000000142e+01,1.552870000000000084e-01,1.472217103555039817e-03
1.780000000000000071e+01,1.531184000000000156e-01,1.487057853615653819e-03
1.800000000000000000e+01,1.510910000000000031e-01,2.056336378124938233e-03
1.819999999999999929e+01,1.495306000000000135e-01,2.028130336048449868e-03
1.839999999999999858e+01,1.465029999999999943e-01,2.314197852388596814e-03
1.860000000000000142e+01,1.453548000000000062e-01,1.748426847197217951e-03
1.880000000000000071e+01,1.446004000000000178e-01,2.035128806734357466e-03
1.900000000000000000e+01,1.432872000000000035e-01,1.713241413228148210e-03
1.919999999999999929e+01,1.413838000000000039e-01,1.712161598681622094e-03
1.939999999999999858e+01,1.393807999999999991e-01,1.808233154214356148e-03
1.960000000000000142e+01,1.360851999999999895e-01,1.679488892490808068e-03
1.980000000000000071e+01,1.347505999999999982e-01,1.427109477230109353e-03
2.000000000000000000e+01,1.341728000000000087e-01,1.157489585266318092e-03
2.019999999999999929e+01,1.317048000000000108e-01,1.215753568779462303e-03
2.039999999999999858e+01,1.295180000000000220e-01,9.929494951909695246e-04
2.060000000000000142e+01,1.285194000000000059e-01,9.123878890033579802e-04
