timestep,H(t)_mean,H(t)_err
2.000000000000000111e-01,8.841442000000000467e-01,1.124533254288206420e-03
4.000000000000000222e-01,8.173774000000000317e-01,1.369926589274034559e-03
5.999999999999999778e-01,7.657272000000000522e-01,1.295850701276969738e-03
8.000000000000000444e-01,7.218871999999999511e-01,1.524378935829282617e-03
1.000000000000000000e+00,6.833783999999999414e-01,2.019073515253954221e-03
1.199999999999999956e+00,6.465231999999999646e-01,1.776545338571463651e-03
1.399999999999999911e+00,6.157491999999999965e-01,1.515369341117872798e-03
1.600000000000000089e+00,5.891373999999999223e-01,1.730329812492392661e-03
1.800000000000000044e+00,5.626133999999999302e-01,1.007768554778335065e-03
2.000000000000000000e+00,5.386159999999999837e-01,1.156775864201871383e-03
2.200000000000000178e+00,5.144945999999999131e-01,1.362447488896357996e-03
2.399999999999999911e+00,4.937998000000000109e-01,1.762166802547365709e-03
2.600000000000000089e+00,4.758618000000000015e-01,2.166698811556421779e-03
2.799999999999999822e+00,4.578579999999999872e-01,2.619257776546632388e-03
3.000000000000000000e+00,4.400857999999999715e-01,2.065555867073075834e-03
3.200000000000000178e+00,4.231585999999999959e-01,2.347719757551996675e-03
3.399999999999999911e+00,4.078158000000000061e-01,2.290071470500434046e-03
3.600000000000000089e+00,3.930763999999999925e-01,1.675162726423913215e-03
3.799999999999999822e+00,3.778544000000000347e-01,1.046979541347393960e-03
4.000000000000000000e+00,3.657378000000000018e-01,1.694835844558398698e-03
4.200000000000000178e+00,3.548833999999999600e-01,1.362511416465927777e-03
4.400000000000000355e+00,3.439404000000000350e-01,1.651186137296456339e-03
4.599999999999999645e+00,3.324169999999999625e-01,1.564188639518902021e-03
4.799999999999999822e+00,3.223849999999999771e-01,9.667769649717575849e-04
5.000000000000000000e+00,3.112766000000000144e-01,1.252127733100740284e-03
5.200000000000000178e+00,3.017592000000000052e-01,9.115250078851302095e-04
5.400000000000000355e+00,2.920501999999999820e-01,7.993869776272366718e-04
5.599999999999999645e+00,2.837683999999999762e-01,2.849825608699607486e-04
5.799999999999999822e+00,2.763143999999999600e-01,7.360899129861795970e-04
6.000000000000000000e+00,2.690273999999999721e-01,7.952262948368872238e-04
6.200000000000000178e+00,2.604144000000000458e-01,3.036146570902044698e-04
6.400000000000000355e+00,2.536197999999999508e-01,4.170111988903846940e-04
6.599999999999999645e+00,2.463658000000000237e-01,5.119559942026239005e-04
6.799999999999999822e+00,2.397644000000000164e-01,6.733452754716561179e-04
7.000000000000000000e+00,2.331986000000000059e-01,1.020726339426979590e-03
7.200000000000000178e+00,2.277928000000000175e-01,9.013932216297190336e-04
7.400000000000000355e+00,2.231841999999999993e-01,1.233088131481283132e-03
7.599999999999999645e+00,2.177343999999999669e-01,8.929206347710858015e-04
7.799999999999999822e+00,2.112230000000000218e-01,1.167792447312445943e-03
8.000000000000000000e+00,2.070330000000000226e-01,9.616228470663541012e-04
8.199999999999999289e+00,2.011871999999999827e-01,1.164023642371579681e-03
8.400000000000000355e+00,1.962415999999999883e-01,1.033442141583166283e-03
8.599999999999999645e+00,1.918753999999999738e-01,1.065385357511544531e-03
8.800000000000000711e+00,1.878804000000000030e-01,9.478516023091394013e-04
9.000000000000000000e+00,1.836144000000000109e-01,5.364627293671029836e-04
9.199999999999999289e+00,1.797510000000000219e-01,9.588215683848589277e-04
9.400000000000000355e+00,1.751758000000000204e-01,1.271046041652308623e-03
9.599999999999999645e+00,1.718822000000000128e-01,1.065390979875463365e-03
9.800000000000000711e+00,1.678687999999999847e-01,1.262961654208074160e-03
1.000000000000000000e+01,1.632606000000000057e-01,1.374145428984865436e-03
1.019999999999999929e+01,1.597371999999999681e-01,1.480531809857526518e-03
1.040000000000000036e+01,1.569586000000000037e-01,1.169120635349492256e-03
1.059999999999999964e+01,1.533909999999999996e-01,8.541470013996409075e-04
1.080000000000000071e+01,1.507437999999999834e-01,9.146946703682072013e-04
1.100000000000000000e+01,1.470130000000000048e-01,1.253987998347674306e-03
1.119999999999999929e+01,1.445728000000000013e-01,1.178101752821037471e-03
1.140000000000000036e+01,1.430309999999999915e-01,1.382729329984721265e-03
1.159999999999999964e+01,1.391020000000000034e-01,1.459921059509726232e-03
1.180000000000000071e+01,1.369234000000000284e-01,1.655281776616898161e-03
1.200000000000000000e+01,1.347470000000000057e-01,1.602265614684409778e-03
1.219999999999999929e+01,1.326347999999999971e-01,1.453220471917460047e-03
1.240000000000000036e+01,1.298447999999999825e-01,1.568280185426061679e-03
1.259999999999999964e+01,1.268461999999999923e-01,1.330778170845915882e-03
1.280000000000000071e+01,1.241854000000000013e-01,1.019849479089926774e-03
1.300000000000000000e+01,1.226644000000000068e-01,7.324647158737410905e-04
1.319999999999999929e+01,1.204969999999999930e-01,7.014462916004317273e-04
1.340000000000000036e+01,1.179488000000000064e-01,1.023170288857137974e-03
1.359999999999999964e+01,1.163927999999999907e-01,6.026013939578960628e-04
1.380000000000000071e+01,1.137570000000000248e-01,9.534953067530006635e-04
