timestep,H(t)_mean,H(t)_err
2.000000000000000111e-01,8.771921999999999775e-01,3.114059559481812626e-03
4.000000000000000222e-01,8.076646000000000658e-01,3.684204888439301679e-03
5.999999999999999778e-01,7.461089999999999112e-01,3.563491840877426077e-03
8.000000000000000444e-01,6.960382000000000513e-01,2.921500854013224339e-03
1.000000000000000000e+00,6.545529999999999404e-01,5.239926440323387780e-03
1.199999999999999956e+00,6.137501999999999125e-01,4.959207329805835618e-03
1.399999999999999911e+00,5.828485999999999390e-01,4.804667341242261323e-03
1.600000000000000089e+00,5.528288000000000091e-01,6.116382218272496500e-03
1.800000000000000044e+00,5.247842000000000340e-01,5.607187275274472943e-03
2.000000000000000000e+00,4.989335999999999771e-01,7.112142297507832722e-03
2.200000000000000178e+00,4.773570000000000313e-01,7.756748145969411846e-03
2.399999999999999911e+00,4.531007999999999702e-01,6.681218791508029310e-03
2.600000000000000089e+00,4.325742000000000198e-01,6.642187421324385020e-03
2.799999999999999822e+00,4.133370000000000100e-01,5.080653550479506675e-03
3.000000000000000000e+00,3.960861999999999994e-01,4.617509246336161215e-03
3.200000000000000178e+00,3.802196000000000464e-01,5.216326605955577678e-03
3.399999999999999911e+00,3.617039999999999700e-01,5.412851780715963006e-03
3.600000000000000089e+00,3.474942000000000308e-01,5.842852277783515749e-03
3.799999999999999822e+00,3.353165999999999647e-01,4.843805049751692855e-03
4.000000000000000000e+00,3.218585999999999947e-01,6.548026211004347868e-03
4.200000000000000178e+00,3.103271999999999697e-01,4.562095871416997975e-03
4.400000000000000355e+00,2.981962000000000224e-01,4.037177521487001451e-03
4.599999999999999645e+00,2.878029999999999755e-01,5.324235212685475213e-03
4.799999999999999822e+00,2.784848000000000323e-01,5.296881171028850616e-03
5.000000000000000000e+00,2.675895999999999830e-01,4.492989601590465995e-03
5.200000000000000178e+00,2.598110000000000142e-01,3.967410477881008410e-03
5.400000000000000355e+00,2.514378000000000446e-01,3.877900867737598886e-03
5.599999999999999645e+00,2.423509999999999831e-01,2.448591901481340059e-03
5.799999999999999822e+00,2.361051999999999873e-01,2.071286324968133873e-03
6.000000000000000000e+00,2.276297999999999655e-01,2.293057051187344982e-03
6.200000000000000178e+00,2.234097999999999917e-01,3.547434487062443246e-03
6.400000000000000355e+00,2.158226000000000033e-01,2.709892296752767094e-03
6.599999999999999645e+00,2.102696000000000009e-01,2.296723744815649341e-03
6.799999999999999822e+00,2.082385999999999959e-01,2.645544265363934926e-03
7.000000000000000000e+00,2.036176000000000097e-01,2.117798493719361564e-03
7.200000000000000178e+00,1.965305999999999720e-01,2.207560069397888815e-03
7.400000000000000355e+00,1.905575999999999937e-01,2.281219971857163884e-03
7.599999999999999645e+00,1.844411999999999996e-01,3.303371783496370038e-03
7.799999999999999822e+00,1.783674000000000093e-01,3.226740454390466303e-03
8.000000000000000000e+00,1.737736000000000003e-01,2.430351098092618962e-03
8.199999999999999289e+00,1.679481999999999919e-01,2.861911256485778331e-03
8.400000000000000355e+00,1.642074000000000034e-01,2.935014916486796722e-03
8.599999999999999645e+00,1.632261999999999880e-01,3.513953149943804550e-03
8.800000000000000711e+00,1.573150000000000104e-01,3.467929238032405222e-03
9.000000000000000000e+00,1.521475999999999940e-01,3.998349341915986843e-03
9.199999999999999289e+00,1.492633999999999905e-01,2.233199646247507279e-03
9.400000000000000355e+00,1.433376000000000094e-01,3.284187168844066810e-03
9.599999999999999645e+00,1.394822000000000006e-01,2.655840383004969777e-03
9.800000000000000711e+00,1.355259999999999798e-01,3.805715570034100530e-03
1.000000000000000000e+01,1.331745999999999763e-01,2.330754096853631004e-03
1.019999999999999929e+01,1.306102000000000096e-01,2.202396499270737728e-03
1.040000000000000036e+01,1.284094000000000069e-01,2.395840240917575161e-03
1.059999999999999964e+01,1.276657999999999960e-01,2.716485181259046654e-03
1.080000000000000071e+01,1.237068000000000056e-01,2.881854409924276047e-03
1.100000000000000000e+01,1.189568000000000014e-01,2.869850351499183237e-03
