timestep,H(t)_mean,H(t)_err
2.000000000000000111e-01,8.583757999999999111e-01,1.818162687550264889e-02
4.000000000000000222e-01,7.733444000000000429e-01,1.334262808670017529e-02
5.999999999999999778e-01,7.218923999999999896e-01,1.937980395824477620e-02
8.000000000000000444e-01,6.856577999999998729e-01,1.910893398230261581e-02
1.000000000000000000e+00,6.586343999999999532e-01,2.116043750634659035e-02
1.199999999999999956e+00,6.399288000000000753e-01,2.880029690020572200e-02
1.399999999999999911e+00,6.258896000000000459e-01,2.488092029166123764e-02
1.600000000000000089e+00,6.007736000000000187e-01,1.487161185144367410e-02
1.800000000000000044e+00,5.843692000000000331e-01,3.024313184410636415e-02
2.000000000000000000e+00,5.612200000000000522e-01,2.090386375529652840e-02
2.200000000000000178e+00,5.245792000000000233e-01,3.269043572881829424e-02
2.399999999999999911e+00,5.083668000000000076e-01,4.201364487806312498e-02
2.600000000000000089e+00,4.803741999999999734e-01,3.677765274103283327e-02
2.799999999999999822e+00,4.759421999999999819e-01,1.701983857855296836e-02
3.000000000000000000e+00,4.391209999999999836e-01,1.286791551495423437e-02
3.200000000000000178e+00,4.282786000000000648e-01,2.992096450083117989e-02
3.399999999999999911e+00,4.123775999999999553e-01,3.318768234993216965e-02
3.600000000000000089e+00,3.924269999999999703e-01,4.182134724874366632e-02
3.799999999999999822e+00,3.785731999999999431e-01,4.165512881434890041e-02
4.000000000000000000e+00,3.707884000000000180e-01,3.543459694084299255e-02
4.200000000000000178e+00,3.756149999999999767e-01,4.223450469343757036e-02
4.400000000000000355e+00,3.682371999999999868e-01,2.927709006954072254e-02
4.599999999999999645e+00,3.701561999999999908e-01,3.046646984703019201e-02
4.799999999999999822e+00,3.562219999999999831e-01,3.137699954903272470e-02
5.000000000000000000e+00,3.398391999999999524e-01,2.882591373642820129e-02
5.200000000000000178e+00,3.165091999999999905e-01,2.579872476189471950e-02
5.400000000000000355e+00,3.028906000000000098e-01,1.903234761557280608e-02
5.599999999999999645e+00,2.979847999999999941e-01,2.471370564565338046e-02
5.799999999999999822e+00,3.075750000000000428e-01,2.091653101496516662e-02
6.000000000000000000e+00,2.940634000000000303e-01,2.181757758001561659e-02
6.200000000000000178e+00,2.895271999999999846e-01,2.891966584073888541e-02
6.400000000000000355e+00,2.728148000000000239e-01,1.809204208871955863e-02
6.599999999999999645e+00,2.662322000000000299e-01,2.338987576367177260e-02
6.799999999999999822e+00,2.549211999999999589e-01,2.290533805338833620e-02
7.000000000000000000e+00,2.614697999999999745e-01,2.259118670278301155e-02
7.200000000000000178e+00,2.514979999999999993e-01,1.416975214673848495e-02
7.400000000000000355e+00,2.441265999999999714e-01,1.627937675281212679e-02
7.599999999999999645e+00,2.278294000000000152e-01,2.039454237927392291e-02
7.799999999999999822e+00,2.324537999999999882e-01,2.104964043255845921e-02
8.000000000000000000e+00,2.164833999999999925e-01,1.710293520013450586e-02
8.199999999999999289e+00,2.170663999999999927e-01,1.515835511063123170e-02
8.400000000000000355e+00,2.189445999999999892e-01,1.882143192905364262e-02
8.599999999999999645e+00,2.116083999999999743e-01,1.995746526641095989e-02
8.800000000000000711e+00,2.093771999999999855e-01,1.439223544276566069e-02
9.000000000000000000e+00,2.094078000000000050e-01,1.728698549313905514e-02
9.199999999999999289e+00,2.305439999999999989e-01,1.292770535710030880e-02
9.400000000000000355e+00,2.146008000000000082e-01,1.336202240081942223e-02
9.599999999999999645e+00,2.279593999999999787e-01,1.814308135516125645e-02
9.800000000000000711e+00,2.233525999999999845e-01,2.164415648298635350e-02
1.000000000000000000e+01,2.167062000000000155e-01,2.162904224740429607e-02
1.019999999999999929e+01,2.212098000000000120e-01,1.671147874187080967e-02
1.040000000000000036e+01,2.098246000000000000e-01,7.553401886567403210e-03
1.059999999999999964e+01,2.050945999999999603e-01,1.229315129899571403e-02
1.080000000000000071e+01,1.863397999999999999e-01,1.549233294052254455e-02
1.100000000000000000e+01,1.793609999999999649e-01,1.664295111751518813e-02
1.119999999999999929e+01,1.890457999999999861e-01,1.351377535480000579e-02
1.140000000000000036e+01,1.847605999999999971e-01,9.398824312646767917e-03
1.159999999999999964e+01,1.840925999999999951e-01,1.464800970302791890e-02
1.180000000000000071e+01,1.793676000000000159e-01,1.778812115879583114e-02
1.200000000000000000e+01,1.701845999999999637e-01,1.472525822727737028e-02
1.219999999999999929e+01,1.636721999999999899e-01,1.702060183836047111e-02
1.240000000000000036e+01,1.497368000000000032e-01,1.902319246971968802e-02
1.259999999999999964e+01,1.451080000000000148e-01,1.924712072233143029e-02
1.280000000000000071e+01,1.383913999999999977e-01,1.840324318320007285e-02
1.300000000000000000e+01,1.290187999999999890e-01,2.209973629571176587e-02
1.319999999999999929e+01,1.426928000000000085e-01,2.361370465513617373e-02
1.340000000000000036e+01,1.383868000000000043e-01,2.723145749569787222e-02
1.359999999999999964e+01,1.360087999999999853e-01,2.808851899513393341e-02
1.380000000000000071e+01,1.314168000000000003e-01,2.290438226715577757e-02
1.400000000000000000e+01,1.359160000000000090e-01,1.666405691000844014e-02
1.419999999999999929e+01,1.520132000000000150e-01,2.416359509137661066e-02
1.440000000000000036e+01,1.453300000000000147e-01,1.711244148565598325e-02
1.459999999999999964e+01,1.316864000000000090e-01,1.365930517120105860e-02
1.480000000000000071e+01,1.385826000000000280e-01,7.907696381374286834e-03
1.500000000000000000e+01,1.339847999999999872e-01,4.533680694535070950e-03
1.519999999999999929e+01,1.383510000000000295e-01,6.826627871797321008e-03
1.540000000000000036e+01,1.315230000000000010e-01,7.981209494807160049e-03
1.559999999999999964e+01,1.293007999999999935e-01,7.367588122309767784e-03
1.580000000000000071e+01,1.224002000000000007e-01,7.738083576700370385e-03
1.600000000000000000e+01,1.363991999999999982e-01,1.279851098136029243e-02
1.619999999999999929e+01,1.363176000000000110e-01,1.118764052246942406e-02
