r_label,A_fit,tauH_fit,betaH_fit,mean_tau_H,A_err,tauH_err,betaH_err,mean_tau_H_err
0.01,1.0935510093180225,4.0298205502431355,0.5685854761631491,6.528120341992368,0.09135709129948993,0.6577659521146951,0.05431332796876177,1.1199688858158463
0.015,1.1442232667738006,2.787815437486849,0.5203038868360286,5.194502304092513,0.032270572258592665,0.17978117784813294,0.016695403278822494,0.33837337898377196
0.02,1.1004651757132742,2.8842458631016106,0.5543450269608182,4.851429892262159,0.03521589514547586,0.18523461112851392,0.01318259424602042,0.3164695022428416
0.05,1.1528082248031148,2.02944238707518,0.5378787596345659,3.578449871707314,0.023932109898798095,0.10543294925300761,0.008441335878468147,0.18719725273666055
0.08,1.1489594441219235,1.8405583434056225,0.560177965571928,3.047539200315604,0.0214222459660203,0.09934080279087573,0.013994306045030717,0.1690217326010569
0.1,1.1457677697381414,1.7710277900397187,0.5607807531126523,2.9277249795296396,0.01593020334521515,0.055192280021565655,0.008174657306265605,0.09383931659846347
0.15,1.1931828173418002,1.463164767468726,0.5448809425177397,2.5274477509891957,0.013907425265563048,0.03510716413346307,0.006326349824932131,0.06194158195511627
0.2,1.1958293910160858,1.3915896436639745,0.5495138036362249,2.3723191205033154,0.004408758492852974,0.01606344205552666,0.003386202978860039,0.02818052436754138
0.3,1.2208225075390053,1.2581062593004646,0.545422327732275,2.169850049452132,0.010797278416087911,0.030017904333771717,0.005790550847908333,0.05272315148468748
0.4,1.2503595765773983,1.1456568908773923,0.536892224132318,2.026086728257956,0.0034354503435638545,0.004992946360151129,0.0016141901195925303,0.009136367201955146
0.8,1.2908735489248384,1.003533914541681,0.5268738145959435,1.8305605658942923,0.004360623671509033,0.009281108172506661,0.0017464863667665505,0.017045398934189857
