timestep,H(t)_mean,H(t)_err
2.000000000000000111e-01,7.802811999999998971e-01,1.040730243627042929e-03
4.000000000000000222e-01,5.991998000000000602e-01,3.552099821232501675e-03
5.999999999999999778e-01,4.734817999999999527e-01,5.040943804487410702e-03
8.000000000000000444e-01,3.968547999999999520e-01,5.653913170539494847e-03
1.000000000000000000e+00,3.380583999999999811e-01,5.840883465709612206e-03
1.199999999999999956e+00,2.977690000000000059e-01,5.208717356509184014e-03
1.399999999999999911e+00,2.644836000000000409e-01,3.178940398937988437e-03
1.600000000000000089e+00,2.389384000000000230e-01,4.759266084177263094e-03
1.800000000000000044e+00,2.159300000000000108e-01,1.825694278897755252e-03
2.000000000000000000e+00,1.969411999999999829e-01,2.483641326761979427e-03
2.200000000000000178e+00,1.787751999999999675e-01,2.935004589434229028e-03
2.399999999999999911e+00,1.642296000000000034e-01,4.048063791493410925e-03
2.600000000000000089e+00,1.490324000000000093e-01,3.083100072978490949e-03
2.799999999999999822e+00,1.361007999999999940e-01,2.532505289234359119e-03
3.000000000000000000e+00,1.277803999999999607e-01,1.949414337692220115e-03
3.200000000000000178e+00,1.173285999999999774e-01,2.854484026930260553e-03
3.399999999999999911e+00,1.088682000000000122e-01,2.830648113065274869e-03
3.600000000000000089e+00,1.011012000000000022e-01,2.172519698414722249e-03
3.799999999999999822e+00,9.227339999999999154e-02,1.816128811510901633e-03
4.000000000000000000e+00,8.727360000000000673e-02,1.663484012547158854e-03
4.200000000000000178e+00,8.153600000000001125e-02,2.145411988406887432e-03
4.400000000000000355e+00,7.715759999999999286e-02,2.571138825501260820e-03
4.599999999999999645e+00,7.095160000000000355e-02,1.933279457295296886e-03
4.799999999999999822e+00,6.901619999999999977e-02,2.111665442251682741e-03
5.000000000000000000e+00,6.513140000000000596e-02,1.891400317225309935e-03
5.200000000000000178e+00,6.315099999999999880e-02,1.734707641073850084e-03
5.400000000000000355e+00,5.912099999999999994e-02,1.921809850115249697e-03
5.599999999999999645e+00,5.673439999999999733e-02,1.874873665077195998e-03
5.799999999999999822e+00,5.414480000000000681e-02,1.467656478880531058e-03
6.000000000000000000e+00,5.195819999999999605e-02,1.965493917568813045e-03
6.200000000000000178e+00,4.875780000000000391e-02,1.148873291533927549e-03
6.400000000000000355e+00,4.643100000000000005e-02,1.229552398232787534e-03
6.599999999999999645e+00,4.492699999999999472e-02,1.103874222907664029e-03
6.799999999999999822e+00,4.568259999999999682e-02,1.547308068873163526e-03
7.000000000000000000e+00,4.288280000000000564e-02,1.588202046340452022e-03
7.200000000000000178e+00,4.129999999999999644e-02,2.020435274885091798e-03
7.400000000000000355e+00,3.939479999999999371e-02,8.110192599439295085e-04
7.599999999999999645e+00,3.716619999999999646e-02,1.163980644168965788e-03
7.799999999999999822e+00,3.634860000000000174e-02,9.098482071202870607e-04
8.000000000000000000e+00,3.421760000000000079e-02,6.560120120851443883e-04
8.199999999999999289e+00,3.231939999999999813e-02,1.480234055816849600e-03
8.400000000000000355e+00,3.004379999999999898e-02,7.499095545464133390e-04
8.599999999999999645e+00,2.934879999999999781e-02,1.510614987347868145e-03
8.800000000000000711e+00,2.826479999999999965e-02,8.267320847771663511e-04
9.000000000000000000e+00,2.711339999999999931e-02,8.805708148695366548e-04
9.199999999999999289e+00,2.663320000000000271e-02,5.559673911300916241e-04
9.400000000000000355e+00,2.568060000000000481e-02,9.082083241195270914e-04
9.599999999999999645e+00,2.409760000000000374e-02,1.418414382329790226e-03
9.800000000000000711e+00,2.340539999999999982e-02,2.023374646475535957e-03
1.000000000000000000e+01,2.375539999999999943e-02,2.021801711345601067e-03
1.019999999999999929e+01,2.252320000000000016e-02,1.833834218243295729e-03
1.040000000000000036e+01,2.225020000000000123e-02,1.773917061195364820e-03
1.059999999999999964e+01,2.149459999999999912e-02,1.432076625044903214e-03
1.080000000000000071e+01,2.042139999999999928e-02,1.122279225504954452e-03
1.100000000000000000e+01,2.061400000000000038e-02,1.246754787438171183e-03
1.119999999999999929e+01,1.945700000000000207e-02,5.701020084160376804e-04
1.140000000000000036e+01,1.945399999999999560e-02,6.938375170023598597e-04
1.159999999999999964e+01,1.870739999999999903e-02,9.647633181252279755e-04
1.180000000000000071e+01,1.679960000000000134e-02,9.789270452898928086e-04
1.200000000000000000e+01,1.673759999999999831e-02,7.689714298984066075e-04
1.219999999999999929e+01,1.611140000000000141e-02,8.247193219514138956e-04
1.240000000000000036e+01,1.529620000000000112e-02,4.245118844037231364e-04
1.259999999999999964e+01,1.611780000000000157e-02,4.018959318032471785e-04
1.280000000000000071e+01,1.665960000000000010e-02,6.524823829039373083e-04
1.300000000000000000e+01,1.699840000000000031e-02,5.789553177923147369e-04
1.319999999999999929e+01,1.555840000000000001e-02,1.052660182585054682e-03
1.340000000000000036e+01,1.535839999999999948e-02,8.831064828207300498e-04
1.359999999999999964e+01,1.515839999999999896e-02,1.027107229066177244e-03
1.380000000000000071e+01,1.460299999999999966e-02,1.352515730037917151e-03
1.400000000000000000e+01,1.392219999999999916e-02,1.502086162641810742e-03
1.419999999999999929e+01,1.344819999999999870e-02,1.710149215711892360e-03
1.440000000000000036e+01,1.249880000000000088e-02,1.292218108525027649e-03
1.459999999999999964e+01,1.277679999999999962e-02,1.167261041926783175e-03
1.480000000000000071e+01,1.276940000000000019e-02,1.198921373568759188e-03
