timestep,H(t)_mean,H(t)_err
2.000000000000000111e-01,7.570379999999999887e-01,8.622859154595904733e-04
4.000000000000000222e-01,5.599217999999999140e-01,1.392461073064520582e-03
5.999999999999999778e-01,4.270947999999999967e-01,1.603635881364595412e-03
8.000000000000000444e-01,3.445409999999999306e-01,1.095319268524019840e-03
1.000000000000000000e+00,2.891703999999999941e-01,9.997956091121827215e-04
1.199999999999999956e+00,2.476225999999999983e-01,7.380916338775288807e-04
1.399999999999999911e+00,2.148260000000000169e-01,5.270809235781544677e-04
1.600000000000000089e+00,1.887225999999999904e-01,5.936496104605818456e-04
1.800000000000000044e+00,1.673656000000000033e-01,4.271079020575487494e-04
2.000000000000000000e+00,1.491076000000000068e-01,4.758040142747866751e-04
2.200000000000000178e+00,1.336887999999999965e-01,9.072498222650704318e-04
2.399999999999999911e+00,1.211225999999999969e-01,5.897991692093167062e-04
2.600000000000000089e+00,1.096203999999999928e-01,4.174960598616471626e-04
2.799999999999999822e+00,9.969859999999999833e-02,6.771518736590776679e-04
3.000000000000000000e+00,9.145799999999999763e-02,6.627941611088616816e-04
3.200000000000000178e+00,8.403720000000000634e-02,7.339170525338681523e-04
3.399999999999999911e+00,7.715579999999999661e-02,5.493114235112922517e-04
3.600000000000000089e+00,7.101080000000001280e-02,5.966001508548264337e-04
3.799999999999999822e+00,6.599440000000000861e-02,2.287071489918925853e-04
4.000000000000000000e+00,6.118759999999999477e-02,3.790309486044645998e-04
4.200000000000000178e+00,5.714059999999999973e-02,4.119131704619308373e-04
4.400000000000000355e+00,5.341020000000000489e-02,4.331001500807869472e-04
4.599999999999999645e+00,4.999239999999999240e-02,3.239040907429233422e-04
4.799999999999999822e+00,4.658879999999999966e-02,4.689500399829392018e-04
5.000000000000000000e+00,4.399680000000000257e-02,6.146501769299350095e-04
5.200000000000000178e+00,4.169080000000000008e-02,1.761835406614359540e-04
5.400000000000000355e+00,3.982619999999999910e-02,4.816365227015075327e-04
5.599999999999999645e+00,3.757760000000000267e-02,4.102234269273266946e-04
5.799999999999999822e+00,3.616079999999999989e-02,4.263087378883998759e-04
6.000000000000000000e+00,3.450639999999999957e-02,5.550679778189331537e-04
6.200000000000000178e+00,3.267599999999999671e-02,5.206245288113112765e-04
6.400000000000000355e+00,3.080359999999999696e-02,3.796641410510085356e-04
6.599999999999999645e+00,2.970719999999999958e-02,4.762664590331760366e-04
6.799999999999999822e+00,2.828720000000000193e-02,3.655005335153427379e-04
7.000000000000000000e+00,2.734139999999999834e-02,3.671677545754802280e-04
7.200000000000000178e+00,2.653900000000000009e-02,3.719569867605660536e-04
7.400000000000000355e+00,2.535580000000000125e-02,4.719747238994903777e-04
7.599999999999999645e+00,2.385799999999999726e-02,6.051150303867849217e-04
7.799999999999999822e+00,2.277979999999999935e-02,5.028917776221836526e-04
8.000000000000000000e+00,2.210279999999999884e-02,2.960184791529071814e-04
8.199999999999999289e+00,2.152120000000000075e-02,2.932429709302506772e-04
8.400000000000000355e+00,2.109259999999999607e-02,2.420149995351528107e-04
8.599999999999999645e+00,2.021979999999999958e-02,1.715224183598171824e-04
8.800000000000000711e+00,1.937300000000000133e-02,7.793394639051679017e-05
9.000000000000000000e+00,1.900339999999999668e-02,1.305735807887641530e-04
9.199999999999999289e+00,1.839700000000000016e-02,1.788340012413746271e-04
9.400000000000000355e+00,1.787539999999999962e-02,1.768059953734598289e-04
9.599999999999999645e+00,1.725660000000000388e-02,1.910718712945475386e-04
9.800000000000000711e+00,1.650560000000000221e-02,2.809415597593209186e-04
1.000000000000000000e+01,1.589439999999999950e-02,3.420761026438414744e-04
1.019999999999999929e+01,1.529939999999999946e-02,3.014240534529387503e-04
1.040000000000000036e+01,1.469939999999999788e-02,2.020026237453364224e-04
1.059999999999999964e+01,1.431120000000000135e-02,2.467777137425500875e-04
1.080000000000000071e+01,1.382680000000000020e-02,2.190774748804631081e-04
1.100000000000000000e+01,1.363259999999999993e-02,2.368403681807642398e-04
1.119999999999999929e+01,1.325659999999999859e-02,2.741858129079621136e-04
1.140000000000000036e+01,1.293479999999999977e-02,3.289254322791107673e-04
1.159999999999999964e+01,1.250300000000000022e-02,4.723199127709947084e-04
1.180000000000000071e+01,1.194120000000000077e-02,3.084171525709944245e-04
1.200000000000000000e+01,1.151000000000000113e-02,3.989081347879484991e-04
1.219999999999999929e+01,1.138219999999999857e-02,4.293047169552181570e-04
1.240000000000000036e+01,1.131640000000000076e-02,3.461084512114664924e-04
1.259999999999999964e+01,1.080940000000000026e-02,2.277232091816730019e-04
1.280000000000000071e+01,1.046659999999999952e-02,1.580875074128248981e-04
