timestep,H(t)_mean,H(t)_err
4.000000000000000222e-01,8.731951999999999492e-01,5.620914872153789585e-04
8.000000000000000444e-01,8.185218000000000771e-01,1.410860921565271469e-03
1.199999999999999956e+00,7.762925999999999993e-01,1.731221724678857089e-03
1.600000000000000089e+00,7.429388000000001213e-01,2.147007484849561797e-03
2.000000000000000000e+00,7.132806000000000424e-01,2.369317551532509891e-03
2.399999999999999911e+00,6.874609999999999888e-01,2.228495344397197434e-03
2.799999999999999822e+00,6.638424000000000547e-01,2.386093346874746529e-03
3.200000000000000178e+00,6.422920000000000851e-01,2.516417056054102725e-03
3.600000000000000089e+00,6.221889999999999921e-01,2.436611397001983790e-03
4.000000000000000000e+00,6.031788000000000149e-01,2.602790702303981255e-03
4.400000000000000355e+00,5.857082000000000122e-01,2.624170390809245964e-03
4.799999999999999822e+00,5.691102000000000105e-01,2.991793415328000260e-03
5.200000000000000178e+00,5.531787999999999705e-01,3.077356583173301591e-03
5.599999999999999645e+00,5.378819999999999713e-01,3.219840492943706976e-03
6.000000000000000000e+00,5.241198000000000246e-01,3.031721019487115289e-03
6.400000000000000355e+00,5.107191999999999288e-01,3.142277206103878499e-03
6.799999999999999822e+00,4.976778000000000590e-01,3.362282281427299725e-03
7.200000000000000178e+00,4.854766000000000359e-01,3.289573264118007476e-03
7.599999999999999645e+00,4.731417999999999457e-01,3.352257081430359397e-03
8.000000000000000000e+00,4.620370000000000310e-01,3.234116339898734146e-03
8.400000000000000355e+00,4.512018000000000417e-01,3.127777444128658317e-03
8.800000000000000711e+00,4.407557999999999754e-01,3.406387373743625761e-03
9.199999999999999289e+00,4.305927999999999978e-01,3.225023091390204037e-03
9.599999999999999645e+00,4.209834000000000076e-01,3.223615184850699839e-03
1.000000000000000000e+01,4.115961999999999676e-01,3.320511803924208402e-03
1.040000000000000036e+01,4.029331999999999914e-01,3.251719812652987141e-03
1.080000000000000071e+01,3.941787999999999959e-01,3.207049771986708944e-03
1.119999999999999929e+01,3.858362000000000736e-01,3.042660618603391150e-03
1.159999999999999964e+01,3.777275999999999967e-01,2.966746207547928636e-03
1.200000000000000000e+01,3.697640000000000371e-01,2.772815897242365997e-03
1.240000000000000036e+01,3.630411999999999528e-01,2.808264382140688003e-03
1.280000000000000071e+01,3.558371999999999646e-01,2.730863863322372832e-03
1.319999999999999929e+01,3.485842000000000107e-01,2.859889323033322755e-03
1.359999999999999964e+01,3.417116000000000042e-01,2.818622404650895918e-03
1.400000000000000000e+01,3.353987999999999969e-01,2.739068096999422268e-03
1.440000000000000036e+01,3.289122000000000434e-01,2.687981145767213715e-03
1.480000000000000071e+01,3.223524000000000389e-01,2.586728099356397619e-03
1.519999999999999929e+01,3.166924000000000405e-01,2.812450294671882574e-03
1.559999999999999964e+01,3.107043999999999917e-01,2.590028428415413250e-03
1.600000000000000000e+01,3.052377999999999481e-01,2.679285303957004965e-03
1.639999999999999858e+01,2.995709999999999762e-01,2.763920621146709160e-03
1.680000000000000071e+01,2.939813999999999483e-01,2.946305323621436698e-03
1.719999999999999929e+01,2.887967999999999646e-01,2.826704607842843529e-03
1.760000000000000142e+01,2.838015999999999872e-01,2.401874801066859570e-03
1.800000000000000000e+01,2.787334000000000200e-01,2.348329589303855408e-03
1.839999999999999858e+01,2.738489999999999536e-01,2.194592741262032642e-03
1.880000000000000071e+01,2.691674000000000011e-01,2.173956085113042374e-03
1.919999999999999929e+01,2.648295999999999983e-01,2.285715415356864583e-03
1.960000000000000142e+01,2.602977999999999681e-01,2.420984374175103818e-03
2.000000000000000000e+01,2.561255999999999533e-01,2.245681379893413408e-03
2.039999999999999858e+01,2.520797999999999650e-01,2.358242383640833922e-03
2.080000000000000071e+01,2.479191999999999785e-01,2.297146717125400205e-03
2.119999999999999929e+01,2.441737999999999964e-01,2.316826566663978022e-03
2.160000000000000142e+01,2.404033999999999893e-01,2.235463611871146665e-03
2.200000000000000000e+01,2.368084000000000022e-01,2.313792354555613013e-03
2.239999999999999858e+01,2.327594000000000052e-01,2.352138954228682327e-03
2.280000000000000071e+01,2.293390000000000151e-01,2.351886965821274166e-03
2.319999999999999929e+01,2.255542000000000102e-01,2.336664040892485594e-03
2.360000000000000142e+01,2.222071999999999936e-01,2.335337414593442306e-03
