r_label,A_fit,tauH_fit,betaH_fit,mean_tau_H,A_err,tauH_err,betaH_err,mean_tau_H_err
0.01,1.0277875820098366,13.113886816938372,0.48140774283085647,28.198318571379485,0.009556492862649714,0.341243758996612,0.007435958423938324,0.7338196856595092
0.015,1.0578795348191048,10.994130538514646,0.4811427704534073,23.66607125850874,0.013692595622532841,0.3751249864895892,0.006169982996374514,0.8075176491228517
0.02,1.070596273590385,9.716190470205547,0.47454967889197697,21.50230823957641,0.009016410307122873,0.18221255838003927,0.005077572230303021,0.40331067533179427
0.05,1.1122064997841679,8.816191384981106,0.49533144557605446,17.943031602051615,0.0028331150358769886,0.1330367794712803,0.0032349948142870455,0.2711388289200168
0.08,1.0897008547223554,9.659678598200468,0.5187196292394901,18.093321448589684,0.003968518496513201,0.1701041551565837,0.0033196996641114943,0.32022596261172265
0.1,1.0749347965152907,10.17810953734099,0.5304846256246228,18.356394590128552,0.003388463456998145,0.12703614452462017,0.0020515458160988327,0.23044013508460326
0.15,1.067035297062289,10.431549207214946,0.5398048704910489,18.288466666894728,0.0031807282462489894,0.1523056966992688,0.002892756506048429,0.2699064296407809
0.2,1.0591694604203674,10.811931989338584,0.5487683910242112,18.4704383651419,0.0032032337021726375,0.1861066991444443,0.003200819181024716,0.32162457520868226
0.3,1.0484402554211867,11.30455550984734,0.5599555078726608,18.728809555458593,0.0025482318738145773,0.1768330784311979,0.0027689607303557303,0.29674745081905946
0.4,1.0435092624014843,11.555470540356316,0.566417987760141,18.82344319808541,0.0017233203527816,0.12091283153695842,0.0019640445271655936,0.2001181370831057
0.8,1.0355659456790576,11.885067186040008,0.576072075818331,18.896742270882893,0.0005711947998411574,0.05335444740592884,0.000514017646249707,0.08541104628038522
