timestep,H(t)_mean,H(t)_err
4.000000000000000222e-01,7.927845999999999504e-01,2.113665597960090979e-03
8.000000000000000444e-01,6.905992000000000797e-01,3.574245142683975078e-03
1.199999999999999956e+00,6.189326000000000549e-01,4.554266401957624694e-03
1.600000000000000089e+00,5.657490000000000574e-01,5.048697485490682806e-03
2.000000000000000000e+00,5.231542000000000137e-01,4.737819914264367223e-03
2.399999999999999911e+00,4.860018000000000393e-01,4.484440292834773051e-03
2.799999999999999822e+00,4.550497999999999488e-01,4.746406444880169051e-03
3.200000000000000178e+00,4.276168000000000191e-01,4.652442986217029605e-03
3.600000000000000089e+00,4.020955999999999975e-01,4.360248761252043768e-03
4.000000000000000000e+00,3.808198000000000416e-01,4.689808710384677469e-03
4.400000000000000355e+00,3.608752000000000071e-01,4.907136175000654903e-03
4.799999999999999822e+00,3.440996000000000055e-01,4.312335847310595424e-03
5.200000000000000178e+00,3.285861999999999949e-01,3.885314188067676405e-03
5.599999999999999645e+00,3.125138000000000083e-01,4.122535401909854444e-03
6.000000000000000000e+00,3.000459999999999239e-01,3.942722498477416529e-03
6.400000000000000355e+00,2.865313999999999917e-01,3.425738425507702644e-03
6.799999999999999822e+00,2.760892000000000346e-01,3.758190327804061034e-03
7.200000000000000178e+00,2.644938000000000011e-01,3.852056157430729447e-03
7.599999999999999645e+00,2.541273999999999478e-01,4.189799453434494940e-03
8.000000000000000000e+00,2.439441999999999722e-01,3.598556563401496614e-03
8.400000000000000355e+00,2.357304000000000066e-01,4.093702878812771964e-03
8.800000000000000711e+00,2.280036000000000007e-01,4.203052754843792163e-03
9.199999999999999289e+00,2.195098000000000327e-01,4.289636784157837071e-03
9.599999999999999645e+00,2.112109999999999821e-01,4.330033198487049338e-03
1.000000000000000000e+01,2.047168000000000043e-01,4.098293881604878758e-03
1.040000000000000036e+01,1.968306000000000222e-01,4.030671043387190969e-03
1.080000000000000071e+01,1.898446000000000022e-01,3.651399411184703091e-03
1.119999999999999929e+01,1.841969999999999996e-01,3.763986012195049205e-03
1.159999999999999964e+01,1.790296000000000110e-01,3.708726770739521547e-03
1.200000000000000000e+01,1.743056000000000050e-01,3.775873377114226034e-03
1.240000000000000036e+01,1.686411999999999911e-01,3.423682190274093297e-03
1.280000000000000071e+01,1.639468000000000036e-01,3.535022735429009435e-03
1.319999999999999929e+01,1.591277999999999859e-01,3.405626247843412165e-03
1.359999999999999964e+01,1.549948000000000159e-01,3.687783933475493551e-03
1.400000000000000000e+01,1.506833999999999674e-01,3.057343153785648839e-03
1.440000000000000036e+01,1.468299999999999883e-01,3.052427427474728276e-03
