r_label,A_fit,tauH_fit,betaH_fit,mean_tau_H,A_err,tauH_err,betaH_err,mean_tau_H_err
0.01,1.4406006430026,1.5087393363104518,0.3931689767935346,5.261807212927462,0.05270546716192011,0.17056331190474808,0.010774757393188433,0.6071146050752854
0.015,1.4999999999622982,1.2962137487245624,0.37836813140264425,5.06025455273532,3.371645838504245e-11,0.019482644554977044,0.003601987326422366,0.09100992145986668
0.02,1.391093523129722,1.6152791550909913,0.3989275458159759,5.408128018487277,0.03329369059809687,0.09038031391157421,0.005071107955127389,0.30720845346206876
0.05,1.4081270449888788,1.6255992176043788,0.39714399631578,5.51094637093129,0.026753386048880057,0.08724570205075406,0.005945072096585388,0.3029137751970076
0.08,1.3757084531614645,1.8906348199151932,0.403336158722101,6.141969137751226,0.011024296447773084,0.05826251647879783,0.002792130102088434,0.19171997596053372
0.1,1.3158469859935422,2.31710418878199,0.4197883685711993,6.777524309442463,0.010496713665180997,0.08847458418310865,0.0027421938416560994,0.25986283316898545
0.15,1.266729328635717,2.8664794766789354,0.43766385650363543,7.572740795632408,0.009108372479329664,0.09233676611273749,0.0030479185595875076,0.24464364883444423
0.2,1.2188191233424128,3.477209748678363,0.45473527459929086,8.420909829733235,0.003077251779822687,0.02787255976682705,0.0011636477832097142,0.06763191045366711
0.3,1.1854024836650356,3.9520757483826285,0.4695940561022282,8.936506291457484,0.002151214087226884,0.03866038618470888,0.0010740477216729233,0.08743172696848503
0.4,1.1714604682436893,4.23964907817299,0.47795343326729467,9.248108551325084,0.0013586434984613834,0.01192811721613507,0.0004935062108040342,0.026019312639868678
0.8,1.1491349977837193,4.637749968293525,0.4911525171606771,9.591498914318858,0.0009632519075964774,0.023273120189280933,0.0004571363524313411,0.04813905443442933
