timestep,H(t)_mean,H(t)_err
4.000000000000000222e-01,7.511651999999999774e-01,8.165001159828464555e-03
8.000000000000000444e-01,6.179023999999999628e-01,2.797107713335336612e-03
1.199999999999999956e+00,5.332817999999999170e-01,1.318366602428929120e-02
1.600000000000000089e+00,4.647435999999999789e-01,1.040558422002340125e-02
2.000000000000000000e+00,4.117629999999999901e-01,1.225491420206604662e-02
2.399999999999999911e+00,3.603736000000000161e-01,1.025067671229562896e-02
2.799999999999999822e+00,3.416200000000000347e-01,6.894336799141741537e-03
3.200000000000000178e+00,3.100709999999999855e-01,1.020688095845150370e-02
3.600000000000000089e+00,2.882369999999999655e-01,1.075685662728661195e-02
4.000000000000000000e+00,2.731662000000000257e-01,1.064252201031316326e-02
4.400000000000000355e+00,2.437555999999999889e-01,5.926844696801159863e-03
4.799999999999999822e+00,2.344280000000000252e-01,3.578808740349225231e-03
5.200000000000000178e+00,2.239774000000000209e-01,1.120657032548317070e-02
5.599999999999999645e+00,2.075528000000000373e-01,8.580204492901085528e-03
6.000000000000000000e+00,1.955134000000000039e-01,9.881213622829940202e-03
6.400000000000000355e+00,1.842794000000000099e-01,1.114582417589654942e-02
6.799999999999999822e+00,1.769157999999999564e-01,8.777296140611868039e-03
7.200000000000000178e+00,1.694272000000000000e-01,1.048364725846878329e-02
7.599999999999999645e+00,1.711458000000000146e-01,4.815381619352715470e-03
8.000000000000000000e+00,1.613296000000000174e-01,5.821719690950432659e-03
8.400000000000000355e+00,1.562068000000000068e-01,3.802545350156919576e-03
8.800000000000000711e+00,1.495137999999999745e-01,3.588679999665614611e-03
9.199999999999999289e+00,1.422408000000000006e-01,8.700013944816410369e-03
9.599999999999999645e+00,1.388004000000000182e-01,8.060426884477025350e-03
1.000000000000000000e+01,1.356280000000000263e-01,5.495231505587365103e-03
1.040000000000000036e+01,1.342909999999999937e-01,8.633126183486489538e-03
1.080000000000000071e+01,1.227468000000000031e-01,7.759388335429542524e-03
1.119999999999999929e+01,1.219486000000000042e-01,8.574083219796737806e-03
1.159999999999999964e+01,1.174612000000000156e-01,6.050773119197249902e-03
1.200000000000000000e+01,1.061964000000000102e-01,5.960538520972746314e-03
1.240000000000000036e+01,9.927600000000000313e-02,4.372130064396529889e-03
1.280000000000000071e+01,9.505159999999998610e-02,2.229221155471121634e-03
