r_label,A_fit,tauH_fit,betaH_fit,mean_tau_H,A_err,tauH_err,betaH_err,mean_tau_H_err
0.01,1.4986812206304283,1.01273158027146,0.40026949576793636,3.359420323307571,0.0011795521270745748,0.022935029160605913,0.003059787160441868,0.07850926516306438
0.015,1.4803776320317703,1.0548098224889442,0.38991994700334465,3.767136292812772,0.017550779462519567,0.0675127767911137,0.006592780323285496,0.24759250396668245
0.02,1.4792226329821043,1.039187838915771,0.38587039240502863,3.8258121817729673,0.011764821234463882,0.032226295496386004,0.002889641065786585,0.12163593599179143
0.05,1.4999999999998908,1.1025611036212768,0.38940719979869887,3.9526603576241004,9.763312135857132e-14,0.013784342730975278,0.0014238426517092413,0.05106313621940004
0.08,1.498112258846318,1.163081599350271,0.38599166097198156,4.277984508708573,0.0016884470174224526,0.006779807524203038,0.001392127735348978,0.028805443527900723
0.1,1.4668119695872819,1.3594797067549567,0.3932689220376357,4.737833519561271,0.013770232723763648,0.05239719658285395,0.0025755267568079057,0.18446017249440697
0.15,1.3629580653723468,1.9008201189809188,0.4147006227791728,5.7362473486196786,0.010570628941633332,0.04962828870693606,0.00230142280736898,0.15093412630710162
0.2,1.3283822145267519,2.13479367474798,0.4243150761408413,6.0784451839700315,0.010061447110652747,0.06298966053373535,0.0028097425120161704,0.18041379901553356
0.3,1.264029004087503,2.714610486198211,0.4447731080196501,6.908551726312221,0.0030821485623772796,0.013672754732353291,0.0009514212003191838,0.03505081090818535
0.4,1.2419308176900128,2.955878649763375,0.4534934929275697,7.201597841718714,0.004462898842277216,0.05286590929014672,0.0015230255191618941,0.12889757296110316
0.8,1.2064907408709427,3.3950573383820695,0.4683489749402505,7.719402172101948,0.002226674178351544,0.03327094851145474,0.0008128658621199136,0.0756565996379879
