timestep,H(t)_mean,H(t)_err
4.000000000000000222e-01,6.689898000000000788e-01,3.199330242410133320e-04
8.000000000000000444e-01,4.939073999999999964e-01,2.959946958984207557e-04
1.199999999999999956e+00,3.982481999999999966e-01,5.951923554616601365e-04
1.600000000000000089e+00,3.338959999999999706e-01,6.214169292833920596e-04
2.000000000000000000e+00,2.847544000000000186e-01,5.510115788257142610e-04
2.399999999999999911e+00,2.465942000000000134e-01,5.771850136654649429e-04
2.799999999999999822e+00,2.165873999999999577e-01,3.901919527617114499e-04
3.200000000000000178e+00,1.922553999999999930e-01,2.952608338401844969e-04
3.600000000000000089e+00,1.715611999999999693e-01,3.231331614056350303e-04
4.000000000000000000e+00,1.549119999999999941e-01,2.559099450978787201e-04
4.400000000000000355e+00,1.404074000000000155e-01,4.662785219158194650e-04
4.799999999999999822e+00,1.276448000000000027e-01,1.664903600812970685e-04
5.200000000000000178e+00,1.167341999999999824e-01,2.109882461181181613e-04
5.599999999999999645e+00,1.068767999999999940e-01,3.013525178258849384e-04
6.000000000000000000e+00,9.892279999999999129e-02,2.626972401834465321e-04
6.400000000000000355e+00,9.144400000000001139e-02,2.710553449021069553e-04
6.799999999999999822e+00,8.480240000000001388e-02,1.415742208172091597e-04
7.200000000000000178e+00,7.900339999999998752e-02,3.471872117460556885e-04
7.599999999999999645e+00,7.388980000000000548e-02,4.267771549649749716e-04
8.000000000000000000e+00,6.875459999999999905e-02,4.427392686446508948e-04
8.400000000000000355e+00,6.439219999999998278e-02,4.901506299088057407e-04
8.800000000000000711e+00,6.089340000000000724e-02,3.238806261572309058e-04
9.199999999999999289e+00,5.737219999999999820e-02,2.329314062122149844e-04
9.599999999999999645e+00,5.410600000000000132e-02,2.958780154049971177e-04
1.000000000000000000e+01,5.152220000000000411e-02,9.518161587197376252e-05
1.040000000000000036e+01,4.868059999999999748e-02,2.985117418126131831e-04
1.080000000000000071e+01,4.627260000000000401e-02,1.998683566750874326e-04
1.119999999999999929e+01,4.399179999999999757e-02,1.463814879006217391e-04
1.159999999999999964e+01,4.192659999999999443e-02,2.356322558564515545e-04
1.200000000000000000e+01,4.026100000000000512e-02,1.734900573519991746e-04
1.240000000000000036e+01,3.817319999999999741e-02,2.273929198545982335e-04
1.280000000000000071e+01,3.632839999999999681e-02,2.599989615363875665e-04
1.319999999999999929e+01,3.455420000000000019e-02,2.447354490056552955e-04
1.359999999999999964e+01,3.331880000000000258e-02,1.791760028575253535e-04
1.400000000000000000e+01,3.195719999999999811e-02,1.442821541286380465e-04
1.440000000000000036e+01,3.065499999999999822e-02,8.665737129638778082e-05
1.480000000000000071e+01,2.961420000000000025e-02,6.741691182485268989e-05
1.519999999999999929e+01,2.820399999999999990e-02,6.239310859381792210e-05
1.559999999999999964e+01,2.754320000000000032e-02,1.094309828156544360e-04
1.600000000000000000e+01,2.661440000000000333e-02,1.951001281393735954e-04
1.639999999999999858e+01,2.558520000000000238e-02,3.036292805379613266e-04
1.680000000000000071e+01,2.448059999999999820e-02,3.340458950503660623e-04
1.719999999999999929e+01,2.378399999999999959e-02,2.728472099912329510e-04
1.760000000000000142e+01,2.284399999999999972e-02,1.412416369205628523e-04
1.800000000000000000e+01,2.209880000000000178e-02,9.704967800049607671e-05
1.839999999999999858e+01,2.143940000000000082e-02,1.206128517198729641e-04
1.880000000000000071e+01,2.100540000000000046e-02,1.236723898046771615e-04
1.919999999999999929e+01,2.040619999999999934e-02,1.335040823345862800e-04
1.960000000000000142e+01,1.961940000000000212e-02,1.403351702175900000e-04
2.000000000000000000e+01,1.905000000000000096e-02,1.034098641329732110e-04
2.039999999999999858e+01,1.849560000000000093e-02,1.260565746004543625e-04
2.080000000000000071e+01,1.790920000000000012e-02,7.706192315274771243e-05
2.119999999999999929e+01,1.754539999999999919e-02,9.908410568804716960e-05
2.160000000000000142e+01,1.690919999999999923e-02,9.342986674506163064e-05
2.200000000000000000e+01,1.623959999999999987e-02,4.921341280586009019e-05
2.239999999999999858e+01,1.605460000000000220e-02,5.565033692620378523e-05
2.280000000000000071e+01,1.551299999999999901e-02,9.692935571848218317e-05
2.319999999999999929e+01,1.514320000000000076e-02,1.022758035900966250e-04
2.360000000000000142e+01,1.485380000000000034e-02,6.503414487790250905e-05
2.400000000000000000e+01,1.459879999999999858e-02,1.198262909381743235e-04
2.439999999999999858e+01,1.431179999999999952e-02,1.812565585020302686e-04
2.480000000000000071e+01,1.372119999999999937e-02,1.291779392930541030e-04
2.519999999999999929e+01,1.346080000000000020e-02,1.405526235970001880e-04
2.560000000000000142e+01,1.333200000000000010e-02,1.056442142287025878e-04
2.600000000000000000e+01,1.298780000000000247e-02,6.142833222544792594e-05
2.639999999999999858e+01,1.238719999999999752e-02,9.720308637075276471e-05
2.680000000000000071e+01,1.228719999999999986e-02,1.495457789441081411e-04
2.719999999999999929e+01,1.191579999999999896e-02,8.113038888110912219e-05
2.760000000000000142e+01,1.164040000000000040e-02,6.846721843334943169e-05
2.800000000000000000e+01,1.135399999999999951e-02,8.773995669021030939e-05
2.839999999999999858e+01,1.109019999999999971e-02,1.486059891121485003e-04
2.880000000000000071e+01,1.095279999999999865e-02,1.239638657028732031e-04
2.919999999999999929e+01,1.077639999999999848e-02,9.269012892428183574e-05
2.960000000000000142e+01,1.061739999999999906e-02,8.769526783128020475e-05
3.000000000000000000e+01,1.039780000000000044e-02,4.951100887681447255e-05
3.039999999999999858e+01,1.029640000000000069e-02,1.603342134417978597e-04
3.080000000000000071e+01,1.007260000000000100e-02,1.644003041359718982e-04
3.119999999999999929e+01,9.883599999999999330e-03,1.151145516431351118e-04
3.160000000000000142e+01,9.722800000000000192e-03,1.527378145712451028e-04
3.200000000000000000e+01,9.417800000000000477e-03,9.373547887539702842e-05
3.239999999999999858e+01,9.171199999999999145e-03,1.517759532995923853e-04
3.279999999999999716e+01,8.993400000000002087e-03,9.225323842554247842e-05
3.320000000000000284e+01,8.947399999999999451e-03,7.588715306295250394e-05
