timestep,H(t)_mean,H(t)_err
4.000000000000000222e-01,5.536187999999999665e-01,8.825878653142715151e-04
8.000000000000000444e-01,3.368791999999999898e-01,6.719294159359300500e-04
1.199999999999999956e+00,2.435947999999999725e-01,4.422092717255027695e-04
1.600000000000000089e+00,1.905219999999999969e-01,6.025855955795826049e-04
2.000000000000000000e+00,1.547556000000000209e-01,2.092067398531882922e-04
2.399999999999999911e+00,1.297012000000000165e-01,4.874379345106439059e-04
2.799999999999999822e+00,1.115304000000000018e-01,2.780121580075227091e-04
3.200000000000000178e+00,9.684620000000000728e-02,3.083221367336428341e-04
3.600000000000000089e+00,8.508599999999999497e-02,3.798558937281342656e-04
4.000000000000000000e+00,7.592400000000000537e-02,3.826487945884563652e-04
4.400000000000000355e+00,6.805700000000000638e-02,2.638861496933859563e-04
4.799999999999999822e+00,6.147519999999999374e-02,4.337039773854970445e-04
5.200000000000000178e+00,5.535579999999999667e-02,1.567282361286570676e-04
5.599999999999999645e+00,5.015519999999999701e-02,3.033838163119460503e-04
6.000000000000000000e+00,4.671319999999999639e-02,2.402532830160710332e-04
6.400000000000000355e+00,4.293940000000000257e-02,2.973221485190772283e-04
6.799999999999999822e+00,3.909259999999999818e-02,2.634463133163949351e-04
7.200000000000000178e+00,3.680440000000000100e-02,2.781033261217848271e-04
7.599999999999999645e+00,3.427299999999999791e-02,4.851076169263892355e-04
8.000000000000000000e+00,3.187919999999999643e-02,4.574235892474284534e-04
8.400000000000000355e+00,3.028279999999999861e-02,3.120697678404617281e-04
8.800000000000000711e+00,2.824120000000000102e-02,8.313687509162268497e-05
9.199999999999999289e+00,2.674400000000000041e-02,3.748491696669476077e-04
9.599999999999999645e+00,2.512939999999999618e-02,2.080854632116331104e-04
1.000000000000000000e+01,2.379180000000000184e-02,2.941138215045322412e-04
1.040000000000000036e+01,2.267659999999999815e-02,1.951418970902965458e-04
1.080000000000000071e+01,2.159599999999999714e-02,1.576854463798102771e-04
1.119999999999999929e+01,2.053600000000000217e-02,1.531051925964624382e-04
1.159999999999999964e+01,1.926900000000000140e-02,1.802193108409860789e-04
1.200000000000000000e+01,1.876300000000000190e-02,2.134694357513502170e-04
1.240000000000000036e+01,1.792580000000000215e-02,1.425427655126698873e-04
1.280000000000000071e+01,1.689999999999999836e-02,1.231499086479565148e-04
1.319999999999999929e+01,1.654599999999999821e-02,6.897100840208158937e-05
1.359999999999999964e+01,1.578099999999999989e-02,7.393172526054046074e-05
1.400000000000000000e+01,1.502039999999999972e-02,1.052153030694680691e-04
1.440000000000000036e+01,1.443960000000000209e-02,6.808127495868459222e-05
1.480000000000000071e+01,1.373940000000000231e-02,3.127985933472206769e-04
1.519999999999999929e+01,1.307159999999999919e-02,1.878040468147584971e-04
1.559999999999999964e+01,1.258980000000000168e-02,1.420022535032454273e-04
1.600000000000000000e+01,1.219940000000000087e-02,1.978142057588383126e-04
1.639999999999999858e+01,1.166339999999999912e-02,1.300079228354949958e-04
