timestep,H(t)_mean,H(t)_err
4.000000000000000222e-01,4.934709999999998820e-01,2.437561331125844347e-02
8.000000000000000444e-01,2.305320000000000147e-01,2.353828657103146024e-02
1.199999999999999956e+00,1.695495999999999948e-01,1.974083220282265433e-02
1.600000000000000089e+00,1.091450000000000059e-01,9.952494255210598412e-03
2.000000000000000000e+00,7.997419999999999529e-02,1.308607932270013444e-02
2.399999999999999911e+00,7.096700000000000230e-02,1.309355541096458679e-02
2.799999999999999822e+00,6.835199999999999609e-02,1.671261303925870162e-02
3.200000000000000178e+00,4.992320000000000091e-02,9.335394862564733512e-03
3.600000000000000089e+00,5.101239999999999941e-02,9.886714927618778237e-03
4.000000000000000000e+00,4.086680000000000174e-02,8.244048595198843685e-03
4.400000000000000355e+00,3.556100000000000233e-02,6.214522660671534075e-03
4.799999999999999822e+00,3.064500000000000557e-02,3.241695420609406846e-03
5.200000000000000178e+00,3.196480000000000155e-02,7.369507442156498014e-03
5.599999999999999645e+00,2.505399999999999988e-02,8.694853431772153404e-03
6.000000000000000000e+00,1.899580000000000019e-02,7.139047523304492548e-03
6.400000000000000355e+00,1.428699999999999935e-02,2.569281358668217170e-03
6.799999999999999822e+00,4.166800000000000018e-03,2.594657538096309043e-03
7.200000000000000178e+00,8.644000000000000641e-03,3.697855581279506625e-03
7.599999999999999645e+00,1.115440000000000008e-02,6.839498502083322246e-03
8.000000000000000000e+00,1.382099999999999995e-02,6.246385658923086365e-03
8.400000000000000355e+00,1.798759999999999942e-02,6.392992793676526529e-03
8.800000000000000711e+00,9.136599999999999930e-03,3.803295210735027892e-03
9.199999999999999289e+00,8.023800000000001070e-03,5.354212606910562292e-03
9.599999999999999645e+00,3.571400000000000182e-03,3.571399999999999748e-03
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.040000000000000036e+01,4.684400000000000022e-03,3.000467240281086412e-03
1.080000000000000071e+01,1.785799999999999931e-03,1.785799999999999714e-03
1.119999999999999929e+01,6.340799999999998868e-03,2.632339670331319565e-03
1.159999999999999964e+01,8.514600000000000640e-03,4.071536081136946719e-03
1.200000000000000000e+01,1.785799999999999931e-03,1.785799999999999714e-03
1.240000000000000036e+01,6.133600000000000337e-03,4.267352324334141439e-03
1.280000000000000071e+01,8.307600000000000054e-03,6.316616314135282614e-03
1.319999999999999929e+01,7.531200000000000047e-03,5.253816844923317637e-03
1.359999999999999964e+01,5.279600000000000612e-03,3.258873986517428750e-03
1.400000000000000000e+01,5.047600000000000177e-03,3.099246563279533205e-03
1.440000000000000036e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.480000000000000071e+01,4.684400000000000022e-03,3.000467240281086412e-03
1.519999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.559999999999999964e+01,8.851000000000001228e-03,3.734618574901592356e-03
1.600000000000000000e+01,8.644000000000000641e-03,3.697855581279506625e-03
1.639999999999999858e+01,1.459640000000000069e-02,5.831587713479065814e-03
1.680000000000000071e+01,1.387160000000000129e-02,6.810640605699289953e-03
1.719999999999999929e+01,9.316800000000000082e-03,6.926878390732726584e-03
1.760000000000000142e+01,7.531200000000000047e-03,5.253816844923317637e-03
1.800000000000000000e+01,3.571400000000000182e-03,3.571399999999999748e-03
1.839999999999999858e+01,4.166800000000000018e-03,2.594657538096309043e-03
1.880000000000000071e+01,7.142800000000000364e-03,7.142799999999999497e-03
1.919999999999999929e+01,4.166800000000000018e-03,2.594657538096309043e-03
1.960000000000000142e+01,6.547800000000001189e-03,4.649057521691896122e-03
2.000000000000000000e+01,1.785799999999999931e-03,1.785799999999999714e-03
2.039999999999999858e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.080000000000000071e+01,2.173999999999999717e-03,2.173999999999999284e-03
2.119999999999999929e+01,7.507400000000000011e-03,5.232019281310037843e-03
2.160000000000000142e+01,7.221599999999999894e-03,2.974031617182305506e-03
2.200000000000000000e+01,7.221599999999999894e-03,2.974031617182305506e-03
2.239999999999999858e+01,2.381000000000000304e-03,2.380999999999999870e-03
2.280000000000000071e+01,1.785799999999999931e-03,1.785799999999999714e-03
2.319999999999999929e+01,1.785799999999999931e-03,1.785799999999999714e-03
2.360000000000000142e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,2.173999999999999717e-03,2.173999999999999284e-03
2.439999999999999858e+01,2.173999999999999717e-03,2.173999999999999284e-03
2.480000000000000071e+01,5.072600000000000026e-03,3.158699061322556463e-03
2.519999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
