r_label,A_fit,tauH_fit,betaH_fit,mean_tau_H,A_err,tauH_err,betaH_err,mean_tau_H_err
0.01,1.05685073898931,15.173196971268956,0.5599225808984967,25.14038008065572,0.008892587563454403,0.41195387469073347,0.015722182816409237,0.7715557656692553
0.015,1.0756584759912813,11.939451421720548,0.5440942055173402,20.670927939118428,0.0475302728275336,1.3419200343739603,0.03122052982288756,2.3774771183429104
0.02,1.077592744351581,10.77209745785644,0.5600573722714707,17.84182402617891,0.031174276313785155,0.7521119801849655,0.01299935452171966,1.2635191398489178
0.05,1.076850620325817,8.133254145599615,0.5826760420047694,12.727484521108943,0.01474825843504618,0.3075590315287545,0.011393590352030487,0.505429946590441
0.08,1.0821517313747453,7.2115371710661265,0.5865897415044923,11.182025392572237,0.005050064392589957,0.09171815252264866,0.00346035833427351,0.14831283041977011
0.1,1.0856853501871133,6.851793483526997,0.5866136051030617,10.623627409338619,0.003969095973038586,0.054854035112580385,0.004070307741385267,0.09719237440933663
0.15,1.0975824352453343,6.166332256974583,0.5870746343134632,9.550611947559197,0.005266851469582743,0.10173780202622294,0.0035959743422531625,0.16196470134394617
0.2,1.0952200540497015,5.953258848130707,0.5908168345768925,9.141761876476824,0.0010013123870735816,0.018625848349369655,0.0016575311268441834,0.03319637312606306
0.3,1.0925810686957365,5.708653632674547,0.5949387666351228,8.685229722566769,0.0024595373967436873,0.045803677538409165,0.00270718667132114,0.07462062173358773
0.4,1.1069981803867202,5.409720593224135,0.5870602730369109,8.379026405150057,0.0015475181765636772,0.021846832209459998,0.0009226472476941863,0.034872517572870174
0.8,1.1091865062545165,5.2276402921038265,0.5830794299754578,8.172773840990034,0.0008177959914451697,0.016222087989726772,0.0008223485600444189,0.026355154292256853
