r_value,Fmax_mean,Fmax_err,Fmin_mean,Fmin_err,ΔF_mean,ΔF_err,ΔF_masked_mean,ΔF_masked_err
0.01,0.0415796197807842,0.027341305602995556,-0.5571533294578785,0.025586832674869164,0.5987329492386626,0.03776787117565265,0.6174890619747877,0.03386412419047332
0.015,0.026453076279482613,0.010713312613997598,-0.5066366653483587,0.013599761110049883,0.5330897416278414,0.01896575304972398,0.5373046305024061,0.01738866080325324
0.02,0.03373658589128338,0.01441155612334319,-0.5223945235728039,0.019999162174895523,0.5561311094640874,0.02416248408571682,0.561615763397113,0.02380714238370532
0.05,0.011863244531384588,0.00480321634248206,-0.5100402671218777,0.004293737832552176,0.5219035116532622,0.0043300272058908115,0.524597898235749,0.004418071011073184
0.08,0.014125826828880422,0.0024629619488251756,-0.5101343582749429,0.0027033489539845614,0.5242601851038232,0.0038434900135030114,0.5242601851038232,0.0038434900135030114
0.1,0.015169845843381519,0.0024245035391004745,-0.5102006009777262,0.00408301174337541,0.5253704468211077,0.0034582705352511965,0.5253704468211077,0.0034582705352511965
0.15,0.01883361243295032,0.0016865637571345912,-0.5011838905680353,0.0027627385847217604,0.5200175030009855,0.00400007158755463,0.5200175030009855,0.00400007158755463
0.2,0.02090875037851927,0.0015754201592550873,-0.49869738987797474,0.0016656249777542527,0.519606140256494,0.0025835648005113955,0.519606140256494,0.0025835648005113955
0.3,0.024010351782212853,0.0010383918967814792,-0.4925739960994668,0.0010229970907360728,0.5165843478816796,0.0009873019854722462,0.5165843478816796,0.0009873019854722462
0.4,0.02739810672942135,0.000806846249047794,-0.48790642533096235,0.0010977730018116125,0.5153045320603837,0.0012890448750487854,0.5153045320603837,0.0012890448750487854
0.8,0.0324129584519436,0.00037753191890709746,-0.48086677888064217,0.00042050245379126,0.5132797373325858,0.0005730372040370227,0.5132797373325858,0.0005730372040370227
