r_salt,Dpp,Dpp_err,Dmm,Dmm_err
1.000000000000000021e-02,2.782289631904558691e-01,4.230555056943891869e-03,2.867644864398736226e-01,4.023154483270104630e-03
1.499999999999999944e-02,2.850767175380607421e-01,4.943809642225077336e-03,2.890218466821466992e-01,5.315885677119142234e-03
2.000000000000000042e-02,2.856050844190626270e-01,4.441003046257274711e-03,2.889370145165600645e-01,3.595754777962416326e-03
5.000000000000000278e-02,2.663940078150929813e-01,1.508109058992326747e-03,2.718833332129854119e-01,1.986046669187359597e-03
8.000000000000000167e-02,2.585699984104709026e-01,1.518848287631750825e-03,2.548448124436747397e-01,1.481224684074904097e-03
1.000000000000000056e-01,2.507977517482957164e-01,9.484638427383192084e-04,2.552668208177503728e-01,1.719557532045703097e-03
1.499999999999999944e-01,2.394553533696717196e-01,1.409105966555608894e-03,2.391087894320043927e-01,1.095230805147180903e-03
2.000000000000000111e-01,2.283885259855266414e-01,1.220480648137286595e-03,2.283241632505365326e-01,9.385656482683506045e-04
2.999999999999999889e-01,2.109151275579688178e-01,5.914878670619753021e-04,2.114537225874820459e-01,5.987993585894813616e-04
4.000000000000000222e-01,1.996584114077677441e-01,6.014280773497823838e-04,1.985915742557649577e-01,5.789748577477272324e-04
8.000000000000000444e-01,1.702580912462153262e-01,4.173043295302511914e-04,1.704216619059553683e-01,4.341210976645633259e-04
