r_value,Fmax_mean,Fmax_err,Fmin_mean,Fmin_err,ΔF_mean,ΔF_err,ΔF_masked_mean,ΔF_masked_err
0.01,-0.13571681578136885,0.0075688334361758884,-0.9406267301802513,0.009086119271323906,0.8049099143988826,0.003206658587989721,0.9406267301802513,0.009086119271323906
0.015,-0.146297997896035,0.005331644893194002,-0.9534384246173456,0.007782184701855786,0.8071404267213106,0.005026571885766315,0.9534384246173456,0.007782184701855786
0.02,-0.14066710253532314,0.0038086176716250935,-0.9458897290466407,0.0046303467767276184,0.8052226265113175,0.0037144857587846107,0.9458897290466407,0.0046303467767276184
0.05,-0.15258819553388708,0.0029901055313874304,-0.9454532477180798,0.0030711178587834484,0.7928650521841929,0.0009937932988742836,0.9454532477180798,0.0030711178587834484
0.08,-0.18285987395062425,0.003399247159469556,-0.9561681122051535,0.003264285122228912,0.7733082382545293,0.00046782151590703995,0.9561681122051535,0.003264285122228912
0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
