t,sigma_avg,sigma_err
0.000000000000000000e+00,nan,nan
4.000000000000000000e+00,2.021262338541666637e+01,3.149744469509762723e+00
8.000000000000000000e+00,1.415045640625000267e+01,1.540430663395202737e+00
1.200000000000000000e+01,1.205205928819444416e+01,1.042825741526553829e+00
1.600000000000000000e+01,1.094997695312499886e+01,7.838904413639053992e-01
2.000000000000000000e+01,1.027320781249999904e+01,6.298595496988792508e-01
2.400000000000000000e+01,9.841358159722222609e+00,5.311980660590701619e-01
2.800000000000000000e+01,9.501139583333333860e+00,4.588937291804186525e-01
3.200000000000000000e+01,9.248056510416667209e+00,4.051567649476693345e-01
3.600000000000000000e+01,9.051259780092594909e+00,3.657074970602342545e-01
4.000000000000000000e+01,8.908882083333331536e+00,3.410172030838022894e-01
4.400000000000000000e+01,8.780761695075758766e+00,3.152136715368941133e-01
4.800000000000000000e+01,8.684311241319441876e+00,3.000145130058749499e-01
5.200000000000000000e+01,8.594991506410256221e+00,2.832327744207033815e-01
5.600000000000000000e+01,8.529885081845240080e+00,2.694389335951922759e-01
6.000000000000000000e+01,8.479289444444443546e+00,2.562121278727935714e-01
6.400000000000000000e+01,8.432112630208333570e+00,2.452014720599209052e-01
6.800000000000000000e+01,8.391285079656860546e+00,2.335227457066752776e-01
7.200000000000000000e+01,8.349270109953703667e+00,2.245647376313770760e-01
7.600000000000000000e+01,8.308793174342106624e+00,2.144546920915665345e-01
8.000000000000000000e+01,8.275815364583332112e+00,2.067479582200663912e-01
8.400000000000000000e+01,8.245240947420635180e+00,1.978001600679909489e-01
8.800000000000000000e+01,8.224973248106060453e+00,1.940019225676508918e-01
9.200000000000000000e+01,8.198410212862318858e+00,1.869501890063653693e-01
9.600000000000000000e+01,8.177352105034721319e+00,1.815556310085029157e-01
1.000000000000000000e+02,8.152559687500000152e+00,1.774203755314227304e-01
1.040000000000000000e+02,8.126762620192307551e+00,1.728856287238724476e-01
1.080000000000000000e+02,8.106692418981481296e+00,1.696128270255870818e-01
1.120000000000000000e+02,8.085143787202380139e+00,1.649824196412520427e-01
1.160000000000000000e+02,8.065206986350574425e+00,1.631279403186694510e-01
1.200000000000000000e+02,8.044863454861111762e+00,1.597966828843861153e-01
1.240000000000000000e+02,8.022800235215052922e+00,1.566671444879397523e-01
1.280000000000000000e+02,8.006297200520833712e+00,1.540010265848460180e-01
1.320000000000000000e+02,7.988173768939393682e+00,1.503592252450159927e-01
1.360000000000000000e+02,7.975611672794117979e+00,1.497085651307654142e-01
1.400000000000000000e+02,7.955980877976189802e+00,1.461859281148975565e-01
1.440000000000000000e+02,7.943021629050925903e+00,1.450649646801552561e-01
1.480000000000000000e+02,7.925644425675677063e+00,1.419584313242333584e-01
1.520000000000000000e+02,7.911881236293859310e+00,1.394341535828499679e-01
1.560000000000000000e+02,7.897863514957265352e+00,1.380564036259694094e-01
1.600000000000000000e+02,7.882104687500000040e+00,1.362410255853059304e-01
1.640000000000000000e+02,7.868173716971544884e+00,1.349439166278470215e-01
1.680000000000000000e+02,7.854892919146824859e+00,1.332052712926518889e-01
1.720000000000000000e+02,7.841778100775194993e+00,1.326082058936093044e-01
1.760000000000000000e+02,7.830930279356061341e+00,1.310106675159606604e-01
1.800000000000000000e+02,7.823167245370370892e+00,1.304346777287533898e-01
1.840000000000000000e+02,7.812519474637680261e+00,1.297410308520817734e-01
1.880000000000000000e+02,7.806028036347517407e+00,1.302315185081261428e-01
1.920000000000000000e+02,7.796332031249999517e+00,1.299803593470732210e-01
1.960000000000000000e+02,7.787390199829930637e+00,1.295482143970871081e-01
2.000000000000000000e+02,7.779281562499999580e+00,1.292197147504985655e-01
2.040000000000000000e+02,7.771030943627449616e+00,1.292126775052876986e-01
2.080000000000000000e+02,7.764024639423076302e+00,1.293133957987143146e-01
2.120000000000000000e+02,7.759645636792451562e+00,1.300117824105267161e-01
2.160000000000000000e+02,7.753909915123456287e+00,1.301438285810867235e-01
2.200000000000000000e+02,7.747008522727274027e+00,1.298327231623868372e-01
2.240000000000000000e+02,7.738830171130953062e+00,1.297454517621631775e-01
2.280000000000000000e+02,7.732173976608186727e+00,1.296313853712875719e-01
2.320000000000000000e+02,7.727418013649424822e+00,1.295325447273700525e-01
2.360000000000000000e+02,7.721923640536721756e+00,1.301000888388804955e-01
2.400000000000000000e+02,7.717490451388887784e+00,1.306036325807795884e-01
2.440000000000000000e+02,7.712982752732240321e+00,1.312954442447520631e-01
2.480000000000000000e+02,7.706975050403225502e+00,1.323672762364498101e-01
2.520000000000000000e+02,7.703032903439153145e+00,1.328243250668761644e-01
2.560000000000000000e+02,7.698260498046876066e+00,1.337306192406975403e-01
2.600000000000000000e+02,7.693168749999999889e+00,1.341002146262172956e-01
2.640000000000000000e+02,7.688063999368686119e+00,1.350873531996203691e-01
2.680000000000000000e+02,7.681930115049750540e+00,1.353901768374980163e-01
2.720000000000000000e+02,7.676500919117647648e+00,1.351647779512430148e-01
2.760000000000000000e+02,7.672956219806764011e+00,1.355478227905197730e-01
2.800000000000000000e+02,7.667254389880952203e+00,1.354371935583964792e-01
2.840000000000000000e+02,7.663754328051642695e+00,1.352602235367614536e-01
2.880000000000000000e+02,7.660038773148149183e+00,1.351579464550144716e-01
2.920000000000000000e+02,7.655891481164382562e+00,1.353296596188961476e-01
2.960000000000000000e+02,7.652592131193695302e+00,1.347359834975647985e-01
3.000000000000000000e+02,7.651455763888888484e+00,1.350271695305186592e-01
3.040000000000000000e+02,7.647245202850878165e+00,1.349722325244962773e-01
3.080000000000000000e+02,7.642282196969696351e+00,1.347436890561581058e-01
3.120000000000000000e+02,7.638730969551283501e+00,1.349528495350025559e-01
3.160000000000000000e+02,7.633775777953585973e+00,1.351816009603328261e-01
3.200000000000000000e+02,7.630026041666667425e+00,1.354194375442205611e-01
3.240000000000000000e+02,7.627157214506173233e+00,1.353685783629818007e-01
3.280000000000000000e+02,7.624241107723577215e+00,1.351864389303139291e-01
3.320000000000000000e+02,7.621420557228914205e+00,1.348025071504120320e-01
3.360000000000000000e+02,7.619502108134920348e+00,1.345570500813020876e-01
3.400000000000000000e+02,7.618222732843136669e+00,1.346093459585269714e-01
3.440000000000000000e+02,7.617389050387596505e+00,1.352162270958389700e-01
3.480000000000000000e+02,7.615618235153257309e+00,1.358877565876594751e-01
3.520000000000000000e+02,7.613620797821970321e+00,1.368319808792080872e-01
3.560000000000000000e+02,7.610888050093631563e+00,1.375707153134742566e-01
3.600000000000000000e+02,7.609095486111111306e+00,1.383929343234692466e-01
3.640000000000000000e+02,7.608271348443222948e+00,1.394800387790031959e-01
3.680000000000000000e+02,7.606091655344203062e+00,1.400901179450742551e-01
3.720000000000000000e+02,7.604117215501791982e+00,1.405183518784042518e-01
3.760000000000000000e+02,7.601528645833332654e+00,1.410492389941964408e-01
3.800000000000000000e+02,7.598605537280700872e+00,1.412914807839694975e-01
3.840000000000000000e+02,7.597565049913193924e+00,1.423424111891934407e-01
3.880000000000000000e+02,7.597922895189004322e+00,1.431159566000036742e-01
3.920000000000000000e+02,7.596364583333333975e+00,1.439282339357120521e-01
3.960000000000000000e+02,7.595110058922559304e+00,1.446634261459957271e-01
4.000000000000000000e+02,7.594033958333331391e+00,1.455812032271383838e-01
4.040000000000000000e+02,7.593983240511551713e+00,1.464917628665466653e-01
4.080000000000000000e+02,7.593276296977125028e+00,1.475658280480934559e-01
4.120000000000000000e+02,7.593128893608413144e+00,1.485483091072115069e-01
4.160000000000000000e+02,7.592139923878207242e+00,1.497279746944390755e-01
4.200000000000000000e+02,7.590755605158729935e+00,1.504565526277133192e-01
