t,sigma_avg,sigma_err
0.000000000000000000e+00,nan,nan
4.000000000000000000e+00,1.752055247685184725e+01,2.841413618493229709e+00
8.000000000000000000e+00,1.286184023148148370e+01,1.415568986504540661e+00
1.200000000000000000e+01,1.130301927700617171e+01,9.464302951902251460e-01
1.600000000000000000e+01,1.051992928917824344e+01,7.219630484162857798e-01
2.000000000000000000e+01,1.005279891203703713e+01,5.892303667435702108e-01
2.400000000000000000e+01,9.738137391975307366e+00,5.020735251511013741e-01
2.800000000000000000e+01,9.521109140211642341e+00,4.471158344881866475e-01
3.200000000000000000e+01,9.370107604166667770e+00,4.052049812197579537e-01
3.600000000000000000e+01,9.247397407407408565e+00,3.736159823109861389e-01
4.000000000000000000e+01,9.135531402777779419e+00,3.500069132578375597e-01
4.400000000000000000e+01,9.049097367424241867e+00,3.327343245237563418e-01
4.800000000000000000e+01,8.968832312885803404e+00,3.113352458067472073e-01
5.200000000000000000e+01,8.899105263532764098e+00,2.937825875157881184e-01
5.600000000000000000e+01,8.839543842592592071e+00,2.789771464584173688e-01
6.000000000000000000e+01,8.798011274691358352e+00,2.688408926104200458e-01
6.400000000000000000e+01,8.756265102719908100e+00,2.591854747937465953e-01
6.800000000000000000e+01,8.719228892973855949e+00,2.451972797840348550e-01
7.200000000000000000e+01,8.684374935699587184e+00,2.334538408040403301e-01
7.600000000000000000e+01,8.647706786062377304e+00,2.205069287048718740e-01
8.000000000000000000e+01,8.615818831018518864e+00,2.101878409514594537e-01
8.400000000000000000e+01,8.585132010582011475e+00,2.015285248281676045e-01
8.800000000000000000e+01,8.557944560185184457e+00,1.938763485672949649e-01
9.200000000000000000e+01,8.529050100644122168e+00,1.862950223514882875e-01
9.600000000000000000e+01,8.506111892361111870e+00,1.798704630014980876e-01
1.000000000000000000e+02,8.489170046296298011e+00,1.733568819932719274e-01
1.040000000000000000e+02,8.469674296652421219e+00,1.682535505471338955e-01
1.080000000000000000e+02,8.445376415466393283e+00,1.618915041169194380e-01
1.120000000000000000e+02,8.425845304232804978e+00,1.558127132669120674e-01
1.160000000000000000e+02,8.402302195083015235e+00,1.501898669385597629e-01
1.200000000000000000e+02,8.378840618055555467e+00,1.451277231298517822e-01
1.240000000000000000e+02,8.355612139336919597e+00,1.408312043143422898e-01
1.280000000000000000e+02,8.336308463541666214e+00,1.381829895903449457e-01
1.320000000000000000e+02,8.311976171436587180e+00,1.338289375703866912e-01
1.360000000000000000e+02,8.296119240196079048e+00,1.315831073117827155e-01
1.400000000000000000e+02,8.276700509259258709e+00,1.287565219278663520e-01
1.440000000000000000e+02,8.264273842592592345e+00,1.279485898146142941e-01
1.480000000000000000e+02,8.250945370370368792e+00,1.274940998962853234e-01
1.520000000000000000e+02,8.239091678849902678e+00,1.272639416454987293e-01
1.560000000000000000e+02,8.227949483618232307e+00,1.265733815010670893e-01
1.600000000000000000e+02,8.217839895833334296e+00,1.263801217124743415e-01
1.640000000000000000e+02,8.208478754516711717e+00,1.253717802596403530e-01
1.680000000000000000e+02,8.194961348104055077e+00,1.242515249025234331e-01
1.720000000000000000e+02,8.181658747846684676e+00,1.251617916273409237e-01
1.760000000000000000e+02,8.168367866161615254e+00,1.256594295312592757e-01
1.800000000000000000e+02,8.157949063786007926e+00,1.253679206948559444e-01
1.840000000000000000e+02,8.148753492351046290e+00,1.260165353326905546e-01
1.880000000000000000e+02,8.139199798069345348e+00,1.277930423102137669e-01
1.920000000000000000e+02,8.131072598379629923e+00,1.292446531922950836e-01
1.960000000000000000e+02,8.124577706916099373e+00,1.302577659213923489e-01
2.000000000000000000e+02,8.119238583333334702e+00,1.315633812813578885e-01
2.040000000000000000e+02,8.115140191539577330e+00,1.335533012620419846e-01
2.080000000000000000e+02,8.110591217058404467e+00,1.349194124982457665e-01
2.120000000000000000e+02,8.106603210167714124e+00,1.371725996478695975e-01
2.160000000000000000e+02,8.103958106138547279e+00,1.399267612782374715e-01
2.200000000000000000e+02,8.099180256734006988e+00,1.429600630796304117e-01
2.240000000000000000e+02,8.097443349041006044e+00,1.452032498802118821e-01
2.280000000000000000e+02,8.095181660168941917e+00,1.478279938321859499e-01
2.320000000000000000e+02,8.093371180555557487e+00,1.517092461028289319e-01
2.360000000000000000e+02,8.091361625078468123e+00,1.554482736388986541e-01
2.400000000000000000e+02,8.089254656635802121e+00,1.593105479550295800e-01
2.440000000000000000e+02,8.085796546751669922e+00,1.637687098995952717e-01
2.480000000000000000e+02,8.082306257467145372e+00,1.670844688208481255e-01
2.520000000000000000e+02,8.078111485890651977e+00,1.702252286434718931e-01
2.560000000000000000e+02,8.075465498408565423e+00,1.734620384533535342e-01
2.600000000000000000e+02,8.072562873931625305e+00,1.761970060897801726e-01
2.640000000000000000e+02,8.069165817901234661e+00,1.790675220883003738e-01
2.680000000000000000e+02,8.065975352404644028e+00,1.823012419078634816e-01
2.720000000000000000e+02,8.062705633850763220e+00,1.856565099506147509e-01
2.760000000000000000e+02,8.059957504696726005e+00,1.887140953773185359e-01
2.800000000000000000e+02,8.056260489417988779e+00,1.916777102580758119e-01
2.840000000000000000e+02,8.052625873761083852e+00,1.944245560598181211e-01
2.880000000000000000e+02,8.048008053626542591e+00,1.976450699782209275e-01
2.920000000000000000e+02,8.044279499619483076e+00,2.004315430156013711e-01
2.960000000000000000e+02,8.040367314189190040e+00,2.038045417176889418e-01
3.000000000000000000e+02,8.038115419753086854e+00,2.065872547041486262e-01
3.040000000000000000e+02,8.036557297758285756e+00,2.099804947664342947e-01
3.080000000000000000e+02,8.036162605218855504e+00,2.130779515817493308e-01
3.120000000000000000e+02,8.035749857549856046e+00,2.164246943780446797e-01
3.160000000000000000e+02,8.035196654067041422e+00,2.191720217134495441e-01
3.200000000000000000e+02,8.031888208333334944e+00,2.217556242478990469e-01
3.240000000000000000e+02,8.029423964048923779e+00,2.244559180899869666e-01
3.280000000000000000e+02,8.027130250310525739e+00,2.275408348766295996e-01
3.320000000000000000e+02,8.024698277554664472e+00,2.307831143337459867e-01
3.360000000000000000e+02,8.021535630511463566e+00,2.336874521726216847e-01
3.400000000000000000e+02,8.018700506535948236e+00,2.366845875243607233e-01
3.440000000000000000e+02,8.017859552648580745e+00,2.392025200344932989e-01
3.480000000000000000e+02,8.015567499467858070e+00,2.419290117191296996e-01
3.520000000000000000e+02,8.011869604903200326e+00,2.448946428575252965e-01
3.560000000000000000e+02,8.008265389617143626e+00,2.476331584533373320e-01
3.600000000000000000e+02,8.004819254115226101e+00,2.502137824837689650e-01
3.640000000000000000e+02,8.001658020451770881e+00,2.530208838910899538e-01
3.680000000000000000e+02,7.998380321557970518e+00,2.562489696737065836e-01
3.720000000000000000e+02,7.995111668657904680e+00,2.592534320613956722e-01
3.760000000000000000e+02,7.991854994089834463e+00,2.624087782343745290e-01
3.800000000000000000e+02,7.988341734892788537e+00,2.652374279981956628e-01
3.840000000000000000e+02,7.985795322145061270e+00,2.679453284397641522e-01
3.880000000000000000e+02,7.982863941389843454e+00,2.709051551090164711e-01
3.920000000000000000e+02,7.980759502551019402e+00,2.737667414879399463e-01
3.960000000000000000e+02,7.979203621866817642e+00,2.763871520155558037e-01
4.000000000000000000e+02,7.977108122685184100e+00,2.790131389722503852e-01
4.040000000000000000e+02,7.974342434451778594e+00,2.822258866667888833e-01
4.080000000000000000e+02,7.971935214687726479e+00,2.848716216483087593e-01
4.120000000000000000e+02,7.968531611830276695e+00,2.874659843204651066e-01
4.160000000000000000e+02,7.964497765313391930e+00,2.900113328745887453e-01
4.200000000000000000e+02,7.961424455467372319e+00,2.928588116853423906e-01
4.240000000000000000e+02,7.959221988556952176e+00,2.955602603029931497e-01
4.280000000000000000e+02,7.956789695829006526e+00,2.979543688793302447e-01
4.320000000000000000e+02,7.954567005315500872e+00,3.004767705755247986e-01
4.360000000000000000e+02,7.952373963642539678e+00,3.030321349098544781e-01
4.400000000000000000e+02,7.950859099326600621e+00,3.056748415645119121e-01
4.440000000000000000e+02,7.949056106106104913e+00,3.083253483146884411e-01
4.480000000000000000e+02,7.948375037202382032e+00,3.107338330934042991e-01
4.520000000000000000e+02,7.947790961979679381e+00,3.130025313800450237e-01
4.560000000000000000e+02,7.947228610298894935e+00,3.153756719560307231e-01
4.600000000000000000e+02,7.947263737922706461e+00,3.174110946905447928e-01
