t,sigma_avg,sigma_err
0.000000000000000000e+00,nan,nan
4.000000000000000000e+00,3.198375591666666651e+01,3.727306602255373136e+00
8.000000000000000000e+00,2.451629883333333382e+01,1.868215776190544242e+00
1.200000000000000000e+01,2.207679919444444394e+01,1.284839682223759327e+00
1.600000000000000000e+01,2.084343495833333648e+01,9.572167312490050817e-01
2.000000000000000000e+01,2.014492243333333121e+01,7.560119838823280425e-01
2.400000000000000000e+01,1.965153954166666495e+01,6.260564174686956695e-01
2.800000000000000000e+01,1.928577183333333522e+01,5.314445840874526539e-01
3.200000000000000000e+01,1.899927184375000166e+01,4.538023124723332136e-01
3.600000000000000000e+01,1.878306342592592415e+01,4.084572860868698196e-01
4.000000000000000000e+01,1.860036314999999973e+01,3.605512089237547513e-01
4.400000000000000000e+01,1.843934281060605684e+01,3.308099655689051843e-01
4.800000000000000000e+01,1.829190900680556098e+01,2.991441424878641397e-01
5.200000000000000000e+01,1.819357163910256503e+01,2.778080923284065862e-01
5.600000000000000000e+01,1.810258365892856958e+01,2.610005203840304877e-01
6.000000000000000000e+01,1.802075352666667030e+01,2.479994799642707137e-01
6.400000000000000000e+01,1.795142714062500033e+01,2.372540418656278738e-01
6.800000000000000000e+01,1.789655162352941176e+01,2.299218493995553170e-01
7.200000000000000000e+01,1.784655376805555704e+01,2.196497012420277617e-01
7.600000000000000000e+01,1.781064090350877294e+01,2.132444219576622446e-01
8.000000000000000000e+01,1.777668560666666409e+01,2.118197783278013002e-01
8.400000000000000000e+01,1.775031142857142896e+01,2.123956779179098642e-01
8.800000000000000000e+01,1.771804944810606131e+01,2.114037521693810096e-01
9.200000000000000000e+01,1.768535445818840302e+01,2.076241089051784339e-01
9.600000000000000000e+01,1.764839839791666520e+01,2.051330056583605677e-01
1.000000000000000000e+02,1.761355285000000137e+01,2.029407262235214116e-01
1.040000000000000000e+02,1.758131310256410273e+01,1.993351795916619429e-01
1.080000000000000000e+02,1.753976341666666627e+01,1.991669631679599817e-01
1.120000000000000000e+02,1.750722578184523925e+01,2.003456208970763874e-01
1.160000000000000000e+02,1.747178186408045875e+01,1.999459867326464912e-01
1.200000000000000000e+02,1.743714431666666798e+01,1.995161147710151350e-01
1.240000000000000000e+02,1.740569569892473112e+01,1.997376808906877188e-01
1.280000000000000000e+02,1.737557854687500125e+01,1.985558541969980606e-01
1.320000000000000000e+02,1.735577261868686705e+01,2.013677510907329049e-01
1.360000000000000000e+02,1.732876586029411925e+01,2.036578662831771691e-01
1.400000000000000000e+02,1.729814152142857253e+01,2.061840233812663181e-01
1.440000000000000000e+02,1.727296349305555268e+01,2.114907029661677040e-01
1.480000000000000000e+02,1.723966296621621552e+01,2.157177896099032044e-01
1.520000000000000000e+02,1.721374859210526509e+01,2.213963210599262377e-01
1.560000000000000000e+02,1.718434952350427380e+01,2.265826307607306522e-01
1.600000000000000000e+02,1.715348194999999976e+01,2.315554020067934482e-01
1.640000000000000000e+02,1.712509827032520349e+01,2.379389566988475146e-01
1.680000000000000000e+02,1.709888683630952499e+01,2.442031599861937685e-01
1.720000000000000000e+02,1.707038056899224898e+01,2.504988816427254350e-01
1.760000000000000000e+02,1.704659304545455001e+01,2.579036684511404887e-01
1.800000000000000000e+02,1.702112467777777738e+01,2.635115528639681015e-01
1.840000000000000000e+02,1.699320609782608216e+01,2.696308166212188495e-01
1.880000000000000000e+02,1.697340604432624289e+01,2.762498066519263884e-01
1.920000000000000000e+02,1.695003943402777935e+01,2.844106131972181095e-01
1.960000000000000000e+02,1.693316406122449536e+01,2.929365182772915577e-01
2.000000000000000000e+02,1.690998465166666875e+01,3.003743392142810831e-01
2.040000000000000000e+02,1.688623106535947471e+01,3.088878315601708002e-01
2.080000000000000000e+02,1.686012587820512465e+01,3.180070109289335756e-01
2.120000000000000000e+02,1.683508033647798996e+01,3.280769417797905763e-01
2.160000000000000000e+02,1.681329599027778343e+01,3.366647745327153718e-01
2.200000000000000000e+02,1.678896474772727032e+01,3.458629859592528555e-01
2.240000000000000000e+02,1.676467943407738304e+01,3.530488836775032002e-01
2.280000000000000000e+02,1.674306476842104985e+01,3.609187517180477700e-01
2.320000000000000000e+02,1.672315950718390809e+01,3.680377120962236570e-01
2.360000000000000000e+02,1.670473100423728852e+01,3.756464091735611244e-01
2.400000000000000000e+02,1.668406410277777496e+01,3.829819065774632270e-01
2.440000000000000000e+02,1.666562226775956290e+01,3.906558570891499604e-01
2.480000000000000000e+02,1.664435330510752920e+01,3.969312014162892921e-01
2.520000000000000000e+02,1.662466783068783371e+01,4.035212900705171801e-01
2.560000000000000000e+02,1.660518465364583562e+01,4.109066388262174740e-01
2.600000000000000000e+02,1.658507338333333081e+01,4.177581361570777418e-01
2.640000000000000000e+02,1.656784824242424392e+01,4.248414462865442998e-01
2.680000000000000000e+02,1.655274120771144197e+01,4.296732997590176906e-01
2.720000000000000000e+02,1.653471709803921641e+01,4.342741297056751937e-01
2.760000000000000000e+02,1.652256823792270524e+01,4.398774216551142313e-01
2.800000000000000000e+02,1.651058337261904896e+01,4.447084896411073185e-01
2.840000000000000000e+02,1.650153789788732439e+01,4.498705882538624468e-01
2.880000000000000000e+02,1.649513437615740941e+01,4.545621386220056737e-01
2.920000000000000000e+02,1.648840547374429377e+01,4.587019922518479342e-01
2.960000000000000000e+02,1.648167994369369183e+01,4.620440507474378178e-01
3.000000000000000000e+02,1.647430370000000011e+01,4.661706392704461077e-01
3.040000000000000000e+02,1.646841456140350957e+01,4.695743914577012457e-01
3.080000000000000000e+02,1.646105031385281592e+01,4.733574182686914322e-01
3.120000000000000000e+02,1.645614293803419059e+01,4.756055617027611926e-01
3.160000000000000000e+02,1.644999344936708852e+01,4.783955619527236469e-01
3.200000000000000000e+02,1.644209310416666625e+01,4.823777869400802110e-01
3.240000000000000000e+02,1.643337482510288083e+01,4.855600116244895292e-01
