t,sigma_avg,sigma_err
0.000000000000000000e+00,nan,nan
4.000000000000000000e+00,1.443153151666666645e+03,1.809570720694470936e+02
8.000000000000000000e+00,1.101764091666666445e+03,9.163172630913318528e+01
1.200000000000000000e+01,9.903590911111111836e+02,6.217854062183408104e+01
1.600000000000000000e+01,9.336843558333332567e+02,4.774065530966200299e+01
2.000000000000000000e+01,8.968913484666667273e+02,3.895591797361185371e+01
2.400000000000000000e+01,8.722014950000000226e+02,3.298182536605331450e+01
2.800000000000000000e+01,8.559184380952381161e+02,2.911082737520079888e+01
3.200000000000000000e+01,8.429658668750000743e+02,2.587822843310921428e+01
3.600000000000000000e+01,8.335726937037037487e+02,2.367124563545283777e+01
4.000000000000000000e+01,8.251828676666667661e+02,2.193448025025168846e+01
4.400000000000000000e+01,8.180881060606060373e+02,2.072210190264713603e+01
4.800000000000000000e+01,8.122826583333333019e+02,1.954246674477434453e+01
5.200000000000000000e+01,8.070443897435898180e+02,1.843660804413637777e+01
5.600000000000000000e+01,8.033768642857143050e+02,1.767198377875432769e+01
6.000000000000000000e+01,7.995173666666665895e+02,1.688754640138082408e+01
6.400000000000000000e+01,7.958767062499999838e+02,1.641074285148870260e+01
6.800000000000000000e+01,7.929842745098037540e+02,1.619908824921134993e+01
7.200000000000000000e+01,7.892679888888886808e+02,1.578158296914922865e+01
7.600000000000000000e+01,7.861103333333331875e+02,1.550003352436110937e+01
8.000000000000000000e+01,7.837145916666665926e+02,1.546482370648604743e+01
8.400000000000000000e+01,7.808916999999999007e+02,1.535976457278137097e+01
8.800000000000000000e+01,7.780638424242425799e+02,1.521970695244055882e+01
9.200000000000000000e+01,7.752868985507245725e+02,1.513232106212749883e+01
9.600000000000000000e+01,7.727912375000000793e+02,1.494043098927650881e+01
1.000000000000000000e+02,7.704526959999999463e+02,1.478187324372455791e+01
1.040000000000000000e+02,7.682779423076923422e+02,1.473655645588465823e+01
1.080000000000000000e+02,7.662961308641976075e+02,1.470648873799071055e+01
1.120000000000000000e+02,7.644957619047619346e+02,1.482462796322228904e+01
1.160000000000000000e+02,7.628773149425287556e+02,1.502613075939504839e+01
1.200000000000000000e+02,7.616693555555555122e+02,1.521409756791235246e+01
1.240000000000000000e+02,7.603759139784946228e+02,1.533066671813361381e+01
1.280000000000000000e+02,7.590478458333333265e+02,1.545633244780884219e+01
1.320000000000000000e+02,7.579496969696970154e+02,1.566781815805256528e+01
1.360000000000000000e+02,7.570144264705882051e+02,1.585899753015761604e+01
1.400000000000000000e+02,7.560470657142857362e+02,1.599797187080754313e+01
1.440000000000000000e+02,7.548558379629628234e+02,1.605269060716968710e+01
1.480000000000000000e+02,7.540825351351350037e+02,1.623394255698669397e+01
1.520000000000000000e+02,7.532163236842105789e+02,1.640420791682552704e+01
1.560000000000000000e+02,7.524365333333332728e+02,1.666345837507723360e+01
1.600000000000000000e+02,7.517425408333333507e+02,1.682596034349400327e+01
1.640000000000000000e+02,7.507731991869919739e+02,1.707746189575198414e+01
1.680000000000000000e+02,7.499747968253968793e+02,1.725422940535107585e+01
1.720000000000000000e+02,7.493395240310077270e+02,1.748848168349152843e+01
1.760000000000000000e+02,7.484078469696967204e+02,1.767040321857781748e+01
1.800000000000000000e+02,7.476914874074074078e+02,1.785647916569413240e+01
1.840000000000000000e+02,7.470267079710145026e+02,1.811863459809671895e+01
1.880000000000000000e+02,7.464432900709219894e+02,1.839317122287284789e+01
1.920000000000000000e+02,7.458567222222222881e+02,1.865086161962627642e+01
1.960000000000000000e+02,7.452788931972788760e+02,1.890455675696727411e+01
2.000000000000000000e+02,7.448143486666665467e+02,1.921937714736573355e+01
2.040000000000000000e+02,7.440940261437907566e+02,1.942390904438057575e+01
2.080000000000000000e+02,7.433936871794873014e+02,1.966832931239338933e+01
2.120000000000000000e+02,7.427394427672955999e+02,1.998802128042849802e+01
2.160000000000000000e+02,7.421836450617284981e+02,2.032192306892616429e+01
2.200000000000000000e+02,7.417326660606061068e+02,2.058368067672286728e+01
2.240000000000000000e+02,7.414450797619048217e+02,2.086287615999444611e+01
2.280000000000000000e+02,7.410965730994151954e+02,2.116995758204636502e+01
2.320000000000000000e+02,7.406726557471263277e+02,2.146764271861985307e+01
2.360000000000000000e+02,7.402172644067796909e+02,2.178066713142723287e+01
2.400000000000000000e+02,7.398759383333333517e+02,2.210187449048777353e+01
2.440000000000000000e+02,7.394590180327870712e+02,2.235719479977057844e+01
2.480000000000000000e+02,7.391883182795697849e+02,2.258169506525278081e+01
2.520000000000000000e+02,7.388083037037037002e+02,2.286099056932702211e+01
2.560000000000000000e+02,7.382719598958333336e+02,2.313129266786154759e+01
2.600000000000000000e+02,7.378181533333333846e+02,2.339585466078531439e+01
2.640000000000000000e+02,7.374337792929293300e+02,2.364188621034747584e+01
2.680000000000000000e+02,7.370074691542288292e+02,2.389217282493226691e+01
2.720000000000000000e+02,7.365982823529411689e+02,2.409879240283018476e+01
2.760000000000000000e+02,7.361656719806762794e+02,2.428770695425258452e+01
2.800000000000000000e+02,7.356419333333333270e+02,2.446751618346388923e+01
2.840000000000000000e+02,7.351279896713615472e+02,2.463078283391171297e+01
2.880000000000000000e+02,7.345819643518518660e+02,2.479336226826181999e+01
2.920000000000000000e+02,7.340847378995433701e+02,2.494199585189648971e+01
2.960000000000000000e+02,7.335385711711711565e+02,2.504347847182474496e+01
3.000000000000000000e+02,7.330295577777778817e+02,2.522350042448259444e+01
3.040000000000000000e+02,7.325742026315788280e+02,2.538291046801854733e+01
3.080000000000000000e+02,7.321608129870129460e+02,2.554993142549185237e+01
3.120000000000000000e+02,7.317517166666666526e+02,2.568738476830297657e+01
3.160000000000000000e+02,7.313011270042194383e+02,2.583222812942194935e+01
3.200000000000000000e+02,7.308684641666666266e+02,2.601529210670869574e+01
3.240000000000000000e+02,7.304372333333333245e+02,2.620679809579776887e+01
3.280000000000000000e+02,7.299364418699185535e+02,2.635650934307982141e+01
