r_salt,sigma_fit,sigma_fit_err
1.000000000000000021e-02,2.622781017318139263e+01,1.399379281797438201e+00
1.499999999999999944e-02,4.028730978085874170e+01,2.452618140674413194e+00
2.000000000000000042e-02,4.833890303609528161e+01,2.579053177587700585e+00
5.000000000000000278e-02,1.064773719383008768e+02,8.106173945895774224e+00
8.000000000000000167e-02,1.618974069007074377e+02,6.394494062260992706e+00
1.000000000000000056e-01,2.053499252276896243e+02,9.388378390082866787e+00
1.499999999999999944e-01,3.059026635222905952e+02,1.956162809509686795e+01
2.000000000000000111e-01,3.736875142478530165e+02,2.231143514275926876e+01
2.999999999999999889e-01,5.727381203138829733e+02,3.831900740652157822e+01
4.000000000000000222e-01,7.278561405141929299e+02,5.071532450676676262e+01
8.000000000000000444e-01,1.524898700137499645e+03,8.577639077487043551e+01
