t,sigma_avg,sigma_err
0.000000000000000000e+00,nan,nan
4.000000000000000000e+00,9.126026203124998801e+02,9.588467500590627424e+01
8.000000000000000000e+00,7.037546262421874417e+02,4.800273693088052340e+01
1.200000000000000000e+01,6.322019032812498835e+02,3.230625088253412969e+01
1.600000000000000000e+01,5.978950493437499745e+02,2.512949808937080576e+01
2.000000000000000000e+01,5.762243752790625422e+02,2.069223510305700486e+01
2.400000000000000000e+01,5.612704202343750239e+02,1.792235349053926541e+01
2.800000000000000000e+01,5.498825033035715251e+02,1.581128943163322553e+01
3.200000000000000000e+01,5.414610027539062003e+02,1.437613258211285228e+01
3.600000000000000000e+01,5.349741520833333652e+02,1.319456484076868641e+01
4.000000000000000000e+01,5.299226316225000346e+02,1.233536996251863194e+01
4.400000000000000000e+01,5.248803366051137118e+02,1.165026059020389226e+01
4.800000000000000000e+01,5.209505135156250617e+02,1.128803395902890117e+01
5.200000000000000000e+01,5.173590707141826215e+02,1.083962131201773182e+01
5.600000000000000000e+01,5.145952860602677674e+02,1.058104185444533663e+01
6.000000000000000000e+01,5.122778095312500000e+02,1.031766406482202214e+01
6.400000000000000000e+01,5.101919273964843455e+02,1.017779086136412481e+01
6.800000000000000000e+01,5.084581181250000554e+02,1.017879704818061803e+01
7.200000000000000000e+01,5.070833721093749773e+02,1.010085309821347899e+01
7.600000000000000000e+01,5.056665083980263375e+02,1.010526356331872755e+01
8.000000000000000000e+01,5.041497809156248877e+02,1.011932104224144879e+01
8.400000000000000000e+01,5.032398678125000515e+02,1.023419815754134810e+01
8.800000000000000000e+01,5.021515430667612918e+02,1.028503608065081920e+01
9.200000000000000000e+01,5.011216156182065902e+02,1.046311278593892702e+01
9.600000000000000000e+01,5.000034430468749633e+02,1.060796800258507133e+01
1.000000000000000000e+02,4.988922479249999924e+02,1.071835498385798680e+01
1.040000000000000000e+02,4.979537093149037901e+02,1.085239110939466478e+01
1.080000000000000000e+02,4.971489373263889320e+02,1.094810964812267073e+01
1.120000000000000000e+02,4.961615107700892509e+02,1.103672842965675116e+01
1.160000000000000000e+02,4.951470612607757857e+02,1.114290625453029371e+01
1.200000000000000000e+02,4.944699576562499601e+02,1.126605472032688482e+01
1.240000000000000000e+02,4.936423755544354890e+02,1.132544404233880897e+01
1.280000000000000000e+02,4.929807260742187509e+02,1.141572154413833751e+01
1.320000000000000000e+02,4.923134203124999431e+02,1.140174800850890158e+01
1.360000000000000000e+02,4.917021248161763651e+02,1.142431149165592252e+01
1.400000000000000000e+02,4.911544925892857236e+02,1.150721670542048258e+01
1.440000000000000000e+02,4.903881546875001050e+02,1.155302250480125714e+01
1.480000000000000000e+02,4.897984977618242510e+02,1.160122663192642101e+01
1.520000000000000000e+02,4.890207388569079967e+02,1.167492999640723994e+01
1.560000000000000000e+02,4.883593241586537488e+02,1.181061182158080136e+01
1.600000000000000000e+02,4.876588697226562772e+02,1.194487047569982785e+01
1.640000000000000000e+02,4.871476012282774946e+02,1.212569261553513478e+01
1.680000000000000000e+02,4.866544173102678315e+02,1.229052019002216412e+01
1.720000000000000000e+02,4.862089745515988284e+02,1.245736127593281495e+01
1.760000000000000000e+02,4.857662074751419823e+02,1.256327880951602616e+01
1.800000000000000000e+02,4.853055025000000455e+02,1.270668145317265285e+01
1.840000000000000000e+02,4.849539933423912998e+02,1.282669193248951878e+01
1.880000000000000000e+02,4.846662384973404869e+02,1.297687799789019358e+01
1.920000000000000000e+02,4.844071396484375214e+02,1.313118873039080903e+01
1.960000000000000000e+02,4.841573275829081240e+02,1.328340432320572440e+01
2.000000000000000000e+02,4.840578894375000232e+02,1.344347651764203633e+01
2.040000000000000000e+02,4.839538256433823449e+02,1.357994722556141021e+01
2.080000000000000000e+02,4.838494017728365861e+02,1.370654638161397187e+01
2.120000000000000000e+02,4.838395380601415354e+02,1.381941242636077405e+01
2.160000000000000000e+02,4.838241178819444031e+02,1.396478458767479580e+01
2.200000000000000000e+02,4.837359046875000672e+02,1.406176977158340513e+01
2.240000000000000000e+02,4.836853666824777065e+02,1.418582632743638783e+01
2.280000000000000000e+02,4.836690217763158444e+02,1.434159403520346743e+01
2.320000000000000000e+02,4.836721417160559895e+02,1.447130664236401643e+01
2.360000000000000000e+02,4.836579345444914679e+02,1.457760891471461306e+01
2.400000000000000000e+02,4.836233773359375050e+02,1.470289030936305252e+01
2.440000000000000000e+02,4.835159394159835529e+02,1.478522622040175882e+01
2.480000000000000000e+02,4.835030156930444605e+02,1.487750823887625806e+01
2.520000000000000000e+02,4.834317014583333503e+02,1.497305869299284531e+01
2.560000000000000000e+02,4.833973185058594026e+02,1.507812114833775752e+01
2.600000000000000000e+02,4.832728005576923351e+02,1.516628736045385928e+01
2.640000000000000000e+02,4.831575662642046041e+02,1.527130244358474620e+01
2.680000000000000000e+02,4.830765693330224053e+02,1.538427521820408828e+01
2.720000000000000000e+02,4.828860197840073170e+02,1.546893550258478456e+01
2.760000000000000000e+02,4.828346533967390997e+02,1.557883534316594165e+01
2.800000000000000000e+02,4.826897353124999199e+02,1.567866985460952556e+01
2.840000000000000000e+02,4.825519398987676141e+02,1.574775529969143939e+01
2.880000000000000000e+02,4.823251328776042328e+02,1.584270824542059408e+01
2.920000000000000000e+02,4.821358636130136688e+02,1.592878216265103752e+01
2.960000000000000000e+02,4.818900870988176166e+02,1.599607694141743153e+01
3.000000000000000000e+02,4.816489240624999866e+02,1.607992145002120665e+01
3.040000000000000000e+02,4.813503231291118141e+02,1.614076394245125812e+01
3.080000000000000000e+02,4.811462300527599041e+02,1.619843217516708478e+01
3.120000000000000000e+02,4.809610939903845974e+02,1.623611763989102030e+01
3.160000000000000000e+02,4.808035963409810165e+02,1.627644367222472965e+01
3.200000000000000000e+02,4.806316071093750111e+02,1.632586524839078379e+01
3.240000000000000000e+02,4.804287026041666877e+02,1.636537740356280324e+01
3.280000000000000000e+02,4.802606800495426569e+02,1.639275817089167120e+01
3.320000000000000000e+02,4.800713398531626694e+02,1.642824131154248946e+01
3.360000000000000000e+02,4.800039498883928104e+02,1.647769891571671508e+01
3.400000000000000000e+02,4.799289866911764761e+02,1.652722208899662348e+01
3.440000000000000000e+02,4.798464910792151272e+02,1.657132917570854858e+01
3.480000000000000000e+02,4.798548007004310421e+02,1.662708236272053952e+01
3.520000000000000000e+02,4.797806530184658982e+02,1.665740267574033595e+01
3.560000000000000000e+02,4.797030074789325909e+02,1.669950903600960146e+01
3.600000000000000000e+02,4.796167385937500285e+02,1.671627315857049823e+01
3.640000000000000000e+02,4.795385417410713558e+02,1.674349182612202469e+01
3.680000000000000000e+02,4.795056708220107566e+02,1.675943696233633773e+01
3.720000000000000000e+02,4.794160723286289567e+02,1.676643830442480620e+01
3.760000000000000000e+02,4.793400849235372334e+02,1.679979548184494575e+01
3.800000000000000000e+02,4.792979299835525921e+02,1.683496581102945910e+01
3.840000000000000000e+02,4.793219180175780707e+02,1.687090069041323659e+01
3.880000000000000000e+02,4.792728806539947755e+02,1.691435491223454335e+01
3.920000000000000000e+02,4.792115069196428294e+02,1.696449456620322493e+01
3.960000000000000000e+02,4.791595312973485079e+02,1.700610246075487808e+01
4.000000000000000000e+02,4.790782740937500535e+02,1.704652256987779779e+01
4.040000000000000000e+02,4.789782514232672952e+02,1.710515489465451466e+01
4.080000000000000000e+02,4.789974220128676166e+02,1.717046412547117740e+01
4.120000000000000000e+02,4.789747067202670223e+02,1.722542626351643946e+01
4.160000000000000000e+02,4.789975655949519933e+02,1.727951188685261386e+01
4.200000000000000000e+02,4.790190979017858126e+02,1.734138257669127725e+01
4.240000000000000000e+02,4.789714448260612585e+02,1.740992534736789210e+01
4.280000000000000000e+02,4.789585229702103675e+02,1.748783152557556875e+01
4.320000000000000000e+02,4.788733678385416965e+02,1.758259618381790190e+01
4.360000000000000000e+02,4.788143062069954112e+02,1.765788616816313805e+01
4.400000000000000000e+02,4.787773828977272501e+02,1.773502988924679968e+01
4.440000000000000000e+02,4.787765386402027730e+02,1.780138616805258067e+01
4.480000000000000000e+02,4.786885702985490525e+02,1.785211144639882619e+01
4.520000000000000000e+02,4.786559093196901813e+02,1.792295565635427579e+01
4.560000000000000000e+02,4.786552507812499471e+02,1.799451872967946642e+01
4.600000000000000000e+02,4.786378396875000476e+02,1.806728977236974742e+01
4.640000000000000000e+02,4.786364188577585992e+02,1.813689971891017549e+01
4.680000000000000000e+02,4.785884272435897628e+02,1.818225722018036095e+01
4.720000000000000000e+02,4.785945896583686476e+02,1.823975721140617168e+01
4.760000000000000000e+02,4.785716587184874697e+02,1.829802961148132923e+01
4.800000000000000000e+02,4.785661304296874619e+02,1.837249390150948258e+01
4.840000000000000000e+02,4.786046587035124276e+02,1.842705212616980859e+01
4.880000000000000000e+02,4.785880012423155563e+02,1.849308481180575114e+01
4.920000000000000000e+02,4.785477176448169985e+02,1.856821401493142787e+01
4.960000000000000000e+02,4.785410214843750509e+02,1.863546539866639762e+01
5.000000000000000000e+02,4.785020320499999684e+02,1.870374166487999545e+01
5.040000000000000000e+02,4.784099039806548035e+02,1.874850485136654044e+01
5.080000000000000000e+02,4.783340713951771477e+02,1.879114000339142976e+01
5.120000000000000000e+02,4.782309259643554356e+02,1.883871966456976210e+01
5.160000000000000000e+02,4.781426098837208656e+02,1.887380120704965591e+01
5.200000000000000000e+02,4.781284256610576335e+02,1.891521415702758446e+01
5.240000000000000000e+02,4.780782432609732382e+02,1.896785076527461911e+01
5.280000000000000000e+02,4.780448508877840936e+02,1.902613899505207229e+01
5.320000000000000000e+02,4.779952672697368143e+02,1.906180878331114315e+01
5.360000000000000000e+02,4.779179046758396225e+02,1.910239112612305590e+01
5.400000000000000000e+02,4.778498422222222075e+02,1.915304016084101946e+01
5.440000000000000000e+02,4.777969678883271740e+02,1.919582839344957037e+01
5.480000000000000000e+02,4.777808303718067009e+02,1.923891284473418040e+01
5.520000000000000000e+02,4.777413020040761467e+02,1.928877151618645058e+01
5.560000000000000000e+02,4.777048254496403388e+02,1.935296159930732074e+01
5.600000000000000000e+02,4.776867778125000541e+02,1.942937405160873610e+01
5.640000000000000000e+02,4.776780419547872043e+02,1.950070250232180058e+01
5.680000000000000000e+02,4.776570815360915958e+02,1.955470130240156124e+01
5.720000000000000000e+02,4.775832278004807563e+02,1.959519425840106877e+01
5.760000000000000000e+02,4.775756251725259744e+02,1.964647414322442387e+01
5.800000000000000000e+02,4.775710080840516412e+02,1.970416594706054525e+01
5.840000000000000000e+02,4.775970309824487003e+02,1.976533359477598140e+01
5.880000000000000000e+02,4.775908839604591662e+02,1.982790216158089436e+01
5.920000000000000000e+02,4.775852271537161755e+02,1.989915165437974665e+01
5.960000000000000000e+02,4.776091438653523937e+02,1.996269612305209051e+01
6.000000000000000000e+02,4.775682566875000816e+02,2.002582713813421478e+01
6.040000000000000000e+02,4.775150454884106921e+02,2.010367399083221684e+01
6.080000000000000000e+02,4.774614345394737143e+02,2.017287836203072970e+01
6.120000000000000000e+02,4.773838450061274443e+02,2.023936173629241253e+01
6.160000000000000000e+02,4.773008895900973698e+02,2.031308573684919949e+01
6.200000000000000000e+02,4.771721438709677159e+02,2.039057150965226484e+01
6.240000000000000000e+02,4.770435612680287818e+02,2.047750598655451171e+01
6.280000000000000000e+02,4.768661553343948185e+02,2.056494207283069287e+01
6.320000000000000000e+02,4.766910329311708665e+02,2.065628442127013287e+01
6.360000000000000000e+02,4.765558574882076073e+02,2.075478980669590356e+01
6.400000000000000000e+02,4.764395030566406604e+02,2.085970711864929328e+01
6.440000000000000000e+02,4.763094835888974785e+02,2.096657948618540246e+01
6.480000000000000000e+02,4.761994438078703524e+02,2.106269374369748704e+01
6.520000000000000000e+02,4.760765346913343024e+02,2.114942365287729942e+01
6.560000000000000000e+02,4.759155759432164814e+02,2.124157374033523737e+01
6.600000000000000000e+02,4.757820739772727165e+02,2.133357447108427962e+01
6.640000000000000000e+02,4.756252978915663334e+02,2.142146569333766948e+01
6.680000000000000000e+02,4.754626764970060435e+02,2.151313692095641983e+01
6.720000000000000000e+02,4.752801233816964555e+02,2.159778364804008888e+01
6.760000000000000000e+02,4.751076338664941545e+02,2.167037503434042023e+01
6.800000000000000000e+02,4.748965892922793728e+02,2.174885184139383298e+01
6.840000000000000000e+02,4.747261157072368292e+02,2.182567517442438998e+01
6.880000000000000000e+02,4.745381737554504866e+02,2.190005075219978892e+01
6.920000000000000000e+02,4.743792706918352451e+02,2.196451452477910848e+01
6.960000000000000000e+02,4.742108561961206874e+02,2.202952395246717998e+01
7.000000000000000000e+02,4.740905799107143253e+02,2.210327366700703067e+01
7.040000000000000000e+02,4.739926077059658382e+02,2.217447657800503080e+01
7.080000000000000000e+02,4.738714231991525594e+02,2.224382038041895271e+01
7.120000000000000000e+02,4.737205931091993989e+02,2.231524592667314977e+01
7.160000000000000000e+02,4.735644144029329254e+02,2.239835510977512456e+01
7.200000000000000000e+02,4.734236627083333815e+02,2.248363935873776143e+01
7.240000000000000000e+02,4.733202194233425075e+02,2.255875680819568885e+01
7.280000000000000000e+02,4.732182644660027222e+02,2.264035128954228071e+01
7.320000000000000000e+02,4.731322852202869171e+02,2.271646066263550523e+01
7.360000000000000000e+02,4.730309881283967002e+02,2.280215810471474924e+01
7.400000000000000000e+02,4.729267630996621961e+02,2.287238286538326548e+01
7.440000000000000000e+02,4.728271201360886948e+02,2.295571468601581699e+01
7.480000000000000000e+02,4.727402619986631294e+02,2.302861006372015495e+01
7.520000000000000000e+02,4.726793547955451800e+02,2.310345336702414087e+01
7.560000000000000000e+02,4.725642749255952140e+02,2.317983522609256752e+01
7.600000000000000000e+02,4.724171958059210965e+02,2.325682376628528303e+01
7.640000000000000000e+02,4.722554063236256070e+02,2.333962106264758773e+01
7.680000000000000000e+02,4.721186395996093665e+02,2.342143468573041787e+01
7.720000000000000000e+02,4.720110757772021088e+02,2.349272936022764213e+01
7.760000000000000000e+02,4.718709287773839378e+02,2.356371216109193867e+01
7.800000000000000000e+02,4.717311442067308462e+02,2.363930717722670849e+01
7.840000000000000000e+02,4.716287491549745141e+02,2.371101337766245010e+01
7.880000000000000000e+02,4.714999489768400736e+02,2.377321245344263545e+01
7.920000000000000000e+02,4.713501901041666429e+02,2.383551252318552471e+01
7.960000000000000000e+02,4.711924136542085648e+02,2.390649075504702736e+01
8.000000000000000000e+02,4.710322362890625527e+02,2.397147968608299351e+01
8.040000000000000000e+02,4.708498874766790436e+02,2.403676670241483393e+01
8.080000000000000000e+02,4.706868088644802128e+02,2.409787149558055219e+01
8.120000000000000000e+02,4.705130066656403756e+02,2.415450378297455458e+01
8.160000000000000000e+02,4.703464832490809613e+02,2.422161049192113325e+01
8.200000000000000000e+02,4.701975184756097406e+02,2.430046697504615949e+01
