t,sigma_avg,sigma_err
0.000000000000000000e+00,nan,nan
4.000000000000000000e+00,1.256554629843750035e+03,1.696710674672818016e+02
8.000000000000000000e+00,9.074712616406250163e+02,8.400140402191706812e+01
1.200000000000000000e+01,7.898246904218749478e+02,5.563647548576381752e+01
1.600000000000000000e+01,7.339612196484374635e+02,4.227950611909481182e+01
2.000000000000000000e+01,6.987104880937500866e+02,3.349296853048099365e+01
2.400000000000000000e+01,6.759588992968749608e+02,2.765272973272155355e+01
2.800000000000000000e+01,6.603678549107142999e+02,2.326577291690826499e+01
3.200000000000000000e+01,6.481634970703123599e+02,2.027356443830571209e+01
3.600000000000000000e+01,6.394698098958332366e+02,1.826257836304484172e+01
4.000000000000000000e+01,6.329541168749999542e+02,1.674747526962788058e+01
4.400000000000000000e+01,6.274101494318181267e+02,1.512377119164303352e+01
4.800000000000000000e+01,6.231668070312499594e+02,1.393999955307715766e+01
5.200000000000000000e+01,6.197530608173076416e+02,1.291094135950877764e+01
5.600000000000000000e+01,6.165274630580357780e+02,1.218806764889956362e+01
6.000000000000000000e+01,6.142025056250000716e+02,1.147444684924171376e+01
6.400000000000000000e+01,6.120093389648437778e+02,1.096535758451754106e+01
6.800000000000000000e+01,6.098083417279411833e+02,1.049932611990488063e+01
7.200000000000000000e+01,6.080547083333333376e+02,1.029197948482820912e+01
7.600000000000000000e+01,6.063889983552631975e+02,1.012002630068858977e+01
8.000000000000000000e+01,6.050352351562498825e+02,9.967951423482592332e+00
8.400000000000000000e+01,6.040880156249999118e+02,1.002889502277667333e+01
8.800000000000000000e+01,6.032813373579544987e+02,1.003965656377410376e+01
9.200000000000000000e+01,6.023993783967391664e+02,1.003946267795789105e+01
9.600000000000000000e+01,6.016462757812499831e+02,1.011925495933825303e+01
1.000000000000000000e+02,6.007109911874999852e+02,1.016736013556572082e+01
1.040000000000000000e+02,6.000662397836539412e+02,1.035026598224382077e+01
1.080000000000000000e+02,5.993860326388887643e+02,1.035478000121720221e+01
1.120000000000000000e+02,5.991295337611607010e+02,1.045224920174764449e+01
1.160000000000000000e+02,5.985608191810343897e+02,1.057805450541099823e+01
1.200000000000000000e+02,5.980434703124999487e+02,1.080232398828465179e+01
1.240000000000000000e+02,5.973163663306452236e+02,1.098308801518390254e+01
1.280000000000000000e+02,5.967578236816407298e+02,1.111759420278056609e+01
1.320000000000000000e+02,5.962335045454544797e+02,1.125315663969876390e+01
1.360000000000000000e+02,5.959110140624999303e+02,1.133309273795812366e+01
1.400000000000000000e+02,5.956487748214285602e+02,1.146138201419621794e+01
1.440000000000000000e+02,5.951953696614583578e+02,1.160598504240049422e+01
1.480000000000000000e+02,5.947408454391892292e+02,1.171369429163484810e+01
1.520000000000000000e+02,5.942894731085527837e+02,1.189683147322275580e+01
1.560000000000000000e+02,5.939653743990385237e+02,1.202972892911857095e+01
1.600000000000000000e+02,5.933288332031249865e+02,1.213894436312528669e+01
1.640000000000000000e+02,5.930598792301829008e+02,1.229726605927749361e+01
1.680000000000000000e+02,5.928316993303571962e+02,1.235704560299878096e+01
1.720000000000000000e+02,5.926212344476745102e+02,1.243102122297092649e+01
1.760000000000000000e+02,5.924806356178976330e+02,1.252348618796669655e+01
1.800000000000000000e+02,5.922047820833333844e+02,1.257222728846955029e+01
1.840000000000000000e+02,5.919620619904891328e+02,1.266551891403615393e+01
1.880000000000000000e+02,5.918843718750000562e+02,1.275823431474888636e+01
1.920000000000000000e+02,5.916535994140625689e+02,1.278752552272086085e+01
1.960000000000000000e+02,5.915859104272959712e+02,1.277853849757625149e+01
2.000000000000000000e+02,5.913926744999999983e+02,1.279079945678756225e+01
2.040000000000000000e+02,5.911625459558823650e+02,1.276052825619068010e+01
2.080000000000000000e+02,5.911396732572113706e+02,1.276691843574784713e+01
2.120000000000000000e+02,5.910246197228773326e+02,1.281992857802079655e+01
2.160000000000000000e+02,5.908674927083333159e+02,1.279225133005712500e+01
2.200000000000000000e+02,5.907728393181816955e+02,1.280944542421243071e+01
2.240000000000000000e+02,5.906561667689730939e+02,1.279175989937858482e+01
2.280000000000000000e+02,5.903062181743421206e+02,1.284408542303882861e+01
2.320000000000000000e+02,5.900748218211206222e+02,1.287845759010923175e+01
2.360000000000000000e+02,5.896722074682203356e+02,1.290142941998996839e+01
2.400000000000000000e+02,5.893375385156249422e+02,1.288389383109934805e+01
2.440000000000000000e+02,5.889391687500000216e+02,1.297059732733123560e+01
2.480000000000000000e+02,5.885480736895160589e+02,1.303377110967655028e+01
2.520000000000000000e+02,5.881316243303569991e+02,1.309521525074102755e+01
2.560000000000000000e+02,5.876796204345703245e+02,1.322130824907086755e+01
2.600000000000000000e+02,5.872207067307692796e+02,1.329967901841356159e+01
2.640000000000000000e+02,5.866483083806817831e+02,1.338108859514816906e+01
2.680000000000000000e+02,5.860930951958955575e+02,1.343837499324453333e+01
2.720000000000000000e+02,5.856714095128675126e+02,1.351016786135244274e+01
2.760000000000000000e+02,5.851617468070651285e+02,1.357655033287318957e+01
2.800000000000000000e+02,5.846173479910714832e+02,1.370167877533619105e+01
2.840000000000000000e+02,5.841859404929577977e+02,1.381816991545932893e+01
2.880000000000000000e+02,5.837294990885416155e+02,1.393441837051926235e+01
2.920000000000000000e+02,5.832372130351027408e+02,1.403189271451864428e+01
2.960000000000000000e+02,5.828522323479728584e+02,1.417861961446497254e+01
3.000000000000000000e+02,5.826263737499999706e+02,1.431878627720013597e+01
3.040000000000000000e+02,5.823392734786184519e+02,1.448356333722909639e+01
3.080000000000000000e+02,5.820847984456169115e+02,1.466169025263765135e+01
3.120000000000000000e+02,5.817768332752403921e+02,1.483944978084141475e+01
3.160000000000000000e+02,5.815744101621835398e+02,1.501661783407214301e+01
3.200000000000000000e+02,5.812933440703125143e+02,1.520712453092132499e+01
3.240000000000000000e+02,5.811117525347223136e+02,1.536870727625098532e+01
3.280000000000000000e+02,5.809558695102897445e+02,1.553919823396363320e+01
3.320000000000000000e+02,5.807585793298192129e+02,1.571619170298944645e+01
3.360000000000000000e+02,5.805770938058035426e+02,1.589750712840356961e+01
3.400000000000000000e+02,5.804415327022059046e+02,1.609493993430950098e+01
3.440000000000000000e+02,5.803143593023255562e+02,1.629073746552565893e+01
3.480000000000000000e+02,5.801691952586207890e+02,1.647032376387020136e+01
3.520000000000000000e+02,5.800259634588068138e+02,1.662637197981705484e+01
3.560000000000000000e+02,5.798749278265448766e+02,1.679373308551121013e+01
3.600000000000000000e+02,5.796776259895833618e+02,1.694840997644754665e+01
3.640000000000000000e+02,5.795078563186813199e+02,1.710814574733510440e+01
3.680000000000000000e+02,5.793872744735054994e+02,1.725535005541411948e+01
3.720000000000000000e+02,5.791459447076613287e+02,1.740786897316282378e+01
3.760000000000000000e+02,5.788935582446808894e+02,1.753000031628334199e+01
3.800000000000000000e+02,5.786793473684210767e+02,1.767435132124719743e+01
