t,sigma_avg,sigma_err
0.000000000000000000e+00,nan,nan
4.000000000000000222e-01,1.635221399999999790e+02,2.246180644508597624e+01
8.000000000000000444e-01,1.200597374999999545e+02,1.100547244003026037e+01
1.199999999999999956e+00,1.029931325000000299e+02,7.169736576526017480e+00
1.600000000000000089e+00,9.398500781249998681e+01,5.279245514974966191e+00
2.000000000000000000e+00,8.809549499999999966e+01,4.259887585961041445e+00
2.399999999999999911e+00,8.382954999999999757e+01,3.551415674725713512e+00
2.799999999999999822e+00,8.048771785714288285e+01,2.955796835086289764e+00
3.200000000000000178e+00,7.794980156249998515e+01,2.522212221146057587e+00
3.600000000000000089e+00,7.583724999999999739e+01,2.159951304740526545e+00
4.000000000000000000e+00,7.406372249999999724e+01,1.937182872765889297e+00
4.400000000000000355e+00,7.259060795454544746e+01,1.760142550284068408e+00
4.799999999999999822e+00,7.130427187500001196e+01,1.656679002734098960e+00
5.200000000000000178e+00,7.014813749999999004e+01,1.555258441295400917e+00
5.599999999999999645e+00,6.911619642857144186e+01,1.509945243846038565e+00
6.000000000000000000e+00,6.820551749999999913e+01,1.445690943348975965e+00
6.400000000000000355e+00,6.743580468749999568e+01,1.413965674149602059e+00
6.799999999999999822e+00,6.674974191176472971e+01,1.396409233883781464e+00
7.200000000000000178e+00,6.612862291666667147e+01,1.370676172265828496e+00
7.599999999999999645e+00,6.558747631578947335e+01,1.370715968101253068e+00
8.000000000000000000e+00,6.504025125000001140e+01,1.353564234871563965e+00
8.400000000000000355e+00,6.458866964285712697e+01,1.355159415477253271e+00
8.800000000000000711e+00,6.407347329545453363e+01,1.329930507568566123e+00
9.199999999999999289e+00,6.371473695652174740e+01,1.337801338302228915e+00
9.599999999999999645e+00,6.334734062500001528e+01,1.347209497596202121e+00
1.000000000000000000e+01,6.299564999999999770e+01,1.333752462509443903e+00
1.040000000000000036e+01,6.267618317307692166e+01,1.322460548407532244e+00
1.080000000000000071e+01,6.237399583333333197e+01,1.301489235210324003e+00
1.119999999999999929e+01,6.214062455357144188e+01,1.286674736281556486e+00
1.159999999999999964e+01,6.189010991379310411e+01,1.266147129586973064e+00
1.200000000000000000e+01,6.164593624999999122e+01,1.257008170328417274e+00
1.240000000000000036e+01,6.143618467741934808e+01,1.262249900279030834e+00
1.280000000000000071e+01,6.116855976562499109e+01,1.247461901969019404e+00
1.319999999999999929e+01,6.096874886363637103e+01,1.239026053860636800e+00
1.359999999999999964e+01,6.077548786764706534e+01,1.242198865939438734e+00
1.400000000000000000e+01,6.060282964285713803e+01,1.240854336864292362e+00
1.440000000000000036e+01,6.041018854166666330e+01,1.245144074346123730e+00
1.480000000000000071e+01,6.023686520270268829e+01,1.237401295566169512e+00
1.519999999999999929e+01,6.009938388157895872e+01,1.236066018994166349e+00
1.559999999999999964e+01,5.998610288461539142e+01,1.235584474057416671e+00
1.600000000000000000e+01,5.988546468749999718e+01,1.238925549976932272e+00
1.639999999999999858e+01,5.975185426829268920e+01,1.242052781731251665e+00
1.680000000000000071e+01,5.965314285714284637e+01,1.241401807527453105e+00
1.719999999999999929e+01,5.953176976744185822e+01,1.247117090045462451e+00
1.760000000000000142e+01,5.945293039772727894e+01,1.260617750246157298e+00
1.800000000000000000e+01,5.939269583333333458e+01,1.273122305857407710e+00
1.839999999999999858e+01,5.928598206521739655e+01,1.276229106771860744e+00
1.880000000000000071e+01,5.920329335106381308e+01,1.284648246683351536e+00
1.919999999999999929e+01,5.910631874999999980e+01,1.296931478141231109e+00
1.960000000000000142e+01,5.898237474489796028e+01,1.311619670194452469e+00
2.000000000000000000e+01,5.886294225000001745e+01,1.324841215366510783e+00
2.039999999999999858e+01,5.873744779411764227e+01,1.335875153955830896e+00
2.080000000000000071e+01,5.864135048076921919e+01,1.346869122688957754e+00
2.119999999999999929e+01,5.854993584905660242e+01,1.358715463025771175e+00
2.160000000000000142e+01,5.844583958333332419e+01,1.362791887841211302e+00
2.200000000000000000e+01,5.835392590909091126e+01,1.379797956916126056e+00
2.239999999999999858e+01,5.826940245535714524e+01,1.397352682936650270e+00
2.280000000000000071e+01,5.819822434210526296e+01,1.411012327119454790e+00
2.319999999999999929e+01,5.811325086206896628e+01,1.426552668824390802e+00
2.360000000000000142e+01,5.803165233050846439e+01,1.441364742090023743e+00
2.400000000000000000e+01,5.793201437499999429e+01,1.453919247400572434e+00
2.439999999999999858e+01,5.784954405737705940e+01,1.470629965734128630e+00
2.480000000000000071e+01,5.776496370967741711e+01,1.492381821902889927e+00
2.519999999999999929e+01,5.768284999999999485e+01,1.511386842748358772e+00
2.560000000000000142e+01,5.760732421874998010e+01,1.527928611491524924e+00
2.600000000000000000e+01,5.754058269230769440e+01,1.549264400668109110e+00
2.639999999999999858e+01,5.747244772727272988e+01,1.568286403737764623e+00
2.680000000000000071e+01,5.741381473880596786e+01,1.588214108292390403e+00
2.719999999999999929e+01,5.736071911764706499e+01,1.607024114875037490e+00
2.760000000000000142e+01,5.731724836956520619e+01,1.625773474086664505e+00
2.800000000000000000e+01,5.725390607142857391e+01,1.643855807181615170e+00
2.839999999999999858e+01,5.720894102112676194e+01,1.667256273703286995e+00
2.880000000000000071e+01,5.716669843750000979e+01,1.685552981452439925e+00
2.919999999999999929e+01,5.713806729452055322e+01,1.704775052577597760e+00
2.960000000000000142e+01,5.710244543918918225e+01,1.715219025408967424e+00
3.000000000000000000e+01,5.706185649999999754e+01,1.725769743659662403e+00
3.039999999999999858e+01,5.700926694078948742e+01,1.739145232411550834e+00
3.080000000000000071e+01,5.695777694805194358e+01,1.751959053040158532e+00
