t,sigma_avg,sigma_err
0.000000000000000000e+00,nan,nan
4.000000000000000222e-01,2.503449281249999387e+02,4.399472076199892712e+01
8.000000000000000444e-01,1.682156109374999744e+02,2.201261858539075789e+01
1.199999999999999956e+00,1.398808218750000094e+02,1.449818017224359146e+01
1.600000000000000089e+00,1.252634226562499578e+02,1.078713786681522180e+01
2.000000000000000000e+00,1.168176449999999988e+02,8.690192351749633559e+00
2.399999999999999911e+00,1.108227500000000134e+02,7.255631953880627982e+00
2.799999999999999822e+00,1.063962870535714558e+02,6.253877866175582945e+00
3.200000000000000178e+00,1.031417167968749879e+02,5.463548304931788557e+00
3.600000000000000089e+00,1.005959760416666597e+02,4.906173075134161010e+00
4.000000000000000000e+00,9.845362499999998818e+01,4.410006857228760069e+00
4.400000000000000355e+00,9.681855937499999243e+01,4.016953036043906522e+00
4.799999999999999822e+00,9.537717187500000193e+01,3.685889269277704994e+00
5.200000000000000178e+00,9.419134615384614051e+01,3.379437667128351475e+00
5.599999999999999645e+00,9.315312053571429374e+01,3.119786799744651340e+00
6.000000000000000000e+00,9.214697499999999764e+01,2.898895180354753798e+00
6.400000000000000355e+00,9.135714843749998693e+01,2.692796794206747002e+00
6.799999999999999822e+00,9.063929779411765253e+01,2.513419640658757004e+00
7.200000000000000178e+00,8.998974479166665219e+01,2.425592966757214253e+00
7.599999999999999645e+00,8.942043750000001978e+01,2.323870226889895640e+00
8.000000000000000000e+00,8.891833593750000375e+01,2.235300559165840362e+00
8.400000000000000355e+00,8.835540178571427816e+01,2.164730507793085401e+00
8.800000000000000711e+00,8.796199431818180869e+01,2.119956939814824803e+00
9.199999999999999289e+00,8.761577038043478183e+01,2.081122163235633593e+00
9.599999999999999645e+00,8.720656250000000398e+01,2.039715847878125210e+00
1.000000000000000000e+01,8.685050624999999513e+01,2.008721460541272652e+00
1.040000000000000036e+01,8.651876682692305565e+01,1.978888639398300064e+00
1.080000000000000071e+01,8.624265277777774941e+01,1.965704151771325625e+00
1.119999999999999929e+01,8.600356138392859862e+01,1.951579125634402390e+00
1.159999999999999964e+01,8.575479310344827866e+01,1.917242564098813329e+00
1.200000000000000000e+01,8.553570625000000405e+01,1.870707909157531379e+00
1.240000000000000036e+01,8.537306854838709569e+01,1.849732797322046984e+00
1.280000000000000071e+01,8.519196093749999932e+01,1.844441961647772965e+00
1.319999999999999929e+01,8.501438636363636192e+01,1.832576123455802897e+00
1.359999999999999964e+01,8.487094852941177692e+01,1.830851640945091230e+00
1.400000000000000000e+01,8.467716696428571765e+01,1.815799324359185674e+00
1.440000000000000036e+01,8.448521093749998556e+01,1.806974396647680337e+00
1.480000000000000071e+01,8.430847804054053540e+01,1.801806881986168563e+00
1.519999999999999929e+01,8.411747368421052329e+01,1.797506425784740403e+00
1.559999999999999964e+01,8.393642067307692400e+01,1.812313200721775708e+00
1.600000000000000000e+01,8.379653671874999077e+01,1.830676025411174468e+00
1.639999999999999858e+01,8.365375609756098640e+01,1.838501712077915462e+00
1.680000000000000071e+01,8.348666071428570490e+01,1.849658795719204774e+00
1.719999999999999929e+01,8.331134520348838635e+01,1.859398925258997970e+00
1.760000000000000142e+01,8.316632173295454322e+01,1.872215000030196252e+00
1.800000000000000000e+01,8.301885208333332855e+01,1.887731854549843602e+00
1.839999999999999858e+01,8.286851086956519907e+01,1.907071175707230504e+00
1.880000000000000071e+01,8.275951196808509280e+01,1.932540840993771214e+00
1.919999999999999929e+01,8.265331445312500591e+01,1.952140091249689124e+00
1.960000000000000142e+01,8.253038456632653208e+01,1.962138037694799664e+00
2.000000000000000000e+01,8.244687749999999937e+01,1.978004895895340010e+00
2.039999999999999858e+01,8.236528860294119170e+01,1.997576980816819336e+00
2.080000000000000071e+01,8.228698737980769806e+01,2.025085233274393381e+00
2.119999999999999929e+01,8.221442511792453445e+01,2.038450860915632656e+00
2.160000000000000142e+01,8.215407638888886765e+01,2.052013286676788617e+00
2.200000000000000000e+01,8.210078181818181520e+01,2.070122541654581205e+00
2.239999999999999858e+01,8.205956584821429090e+01,2.089167412681831593e+00
2.280000000000000071e+01,8.202305263157894899e+01,2.115290888107256073e+00
2.319999999999999929e+01,8.198820258620689572e+01,2.130018617421990168e+00
2.360000000000000142e+01,8.194762341101693437e+01,2.156049870162275894e+00
2.400000000000000000e+01,8.187852343749999307e+01,2.172808064150744123e+00
2.439999999999999858e+01,8.182098411885246492e+01,2.195714216818117404e+00
2.480000000000000071e+01,8.175307560483869906e+01,2.219344756352271464e+00
2.519999999999999929e+01,8.167752529761905578e+01,2.240261538059812985e+00
2.560000000000000142e+01,8.160291650390624341e+01,2.256895515011077880e+00
2.600000000000000000e+01,8.155827692307693155e+01,2.276373800012736925e+00
2.639999999999999858e+01,8.152067897727275181e+01,2.292263946960149124e+00
2.680000000000000071e+01,8.149923414179104952e+01,2.314360921745954869e+00
2.719999999999999929e+01,8.147007490808823604e+01,2.325111035810803362e+00
2.760000000000000142e+01,8.144091847826085484e+01,2.341246840974844368e+00
2.800000000000000000e+01,8.141636383928570808e+01,2.348706104070535705e+00
2.839999999999999858e+01,8.139416461267606451e+01,2.353658348110277743e+00
2.880000000000000071e+01,8.137726171875000603e+01,2.351498294869968753e+00
2.919999999999999929e+01,8.136308347602741264e+01,2.349003247917769155e+00
2.960000000000000142e+01,8.137559543918918337e+01,2.359693403616990093e+00
3.000000000000000000e+01,8.138437874999999622e+01,2.362373827034978557e+00
3.039999999999999858e+01,8.138099259868423019e+01,2.359173169497201350e+00
3.080000000000000071e+01,8.138170860389610084e+01,2.363128721135919541e+00
3.119999999999999929e+01,8.135701442307693299e+01,2.362071636958975596e+00
3.160000000000000142e+01,8.135874802215190016e+01,2.356516838903259359e+00
3.200000000000000000e+01,8.135146874999999511e+01,2.358875411485783946e+00
3.239999999999999858e+01,8.132948958333332712e+01,2.355166308992314050e+00
3.279999999999999716e+01,8.130836204268294409e+01,2.349546202622260882e+00
3.320000000000000284e+01,8.129188780120480828e+01,2.348895693040258692e+00
3.360000000000000142e+01,8.127224665178570717e+01,2.344157511077515910e+00
3.400000000000000000e+01,8.127137205882353044e+01,2.345421395837940626e+00
3.439999999999999858e+01,8.125163917151164128e+01,2.348096368022150493e+00
3.479999999999999716e+01,8.124271767241380360e+01,2.354119822012151531e+00
3.520000000000000284e+01,8.122959907670454527e+01,2.354709086823522313e+00
3.560000000000000142e+01,8.122167134831458668e+01,2.363917927363905935e+00
3.600000000000000000e+01,8.121068645833332766e+01,2.367706970640998332e+00
3.639999999999999858e+01,8.122429532967034049e+01,2.377119817241583721e+00
3.679999999999999716e+01,8.124542527173915119e+01,2.390607937989695397e+00
3.720000000000000284e+01,8.124714112903225782e+01,2.400340264125316647e+00
3.760000000000000142e+01,8.125640425531915412e+01,2.406513035630251984e+00
3.800000000000000000e+01,8.128314078947369126e+01,2.412961573531442472e+00
3.839999999999999858e+01,8.128102441406250023e+01,2.418252564071242450e+00
3.879999999999999716e+01,8.130520554123711463e+01,2.422660677886712133e+00
3.920000000000000284e+01,8.131747959183671526e+01,2.423521742933485434e+00
3.960000000000000142e+01,8.130713825757575819e+01,2.428500800054847808e+00
4.000000000000000000e+01,8.130062156249999816e+01,2.439575836833568712e+00
4.039999999999999858e+01,8.130619863861386420e+01,2.445549004056357223e+00
4.079999999999999716e+01,8.132200459558823979e+01,2.450442725096047436e+00
4.120000000000000284e+01,8.131290473300970234e+01,2.455942031437274409e+00
4.160000000000000142e+01,8.131959825721152413e+01,2.467217840205681689e+00
4.200000000000000000e+01,8.130248124999999959e+01,2.474444699900582911e+00
4.239999999999999858e+01,8.128840772405661141e+01,2.482881791833608798e+00
4.279999999999999716e+01,8.128800700934580448e+01,2.489740316354018823e+00
4.320000000000000284e+01,8.128176649305552814e+01,2.492061931924691276e+00
4.360000000000000142e+01,8.128818491972477034e+01,2.493827162855916324e+00
4.400000000000000000e+01,8.129856392045454072e+01,2.497909304584450929e+00
