r_salt,sigma_fit,sigma_fit_err
1.000000000000000021e-02,7.222916517605886710e+00,4.621208166282094187e-01
1.499999999999999944e-02,1.160761570134352993e+01,5.172317571364390965e-01
2.000000000000000042e-02,1.670994325976241512e+01,1.142825843346164882e+00
5.000000000000000278e-02,3.261745169528071386e+01,2.371406472491885964e+00
8.000000000000000167e-02,4.713500037232860507e+01,3.937697202032898414e+00
1.000000000000000056e-01,5.582346652177458424e+01,3.640260155902979911e+00
1.499999999999999944e-01,8.060819246457148779e+01,4.326735514421296003e+00
2.000000000000000111e-01,8.844436436564387805e+01,4.218797396338744399e+00
2.999999999999999889e-01,1.392283775675238928e+02,7.125693632286163037e+00
4.000000000000000222e-01,1.690412024538969149e+02,1.269450071380535583e+01
8.000000000000000444e-01,3.006395443564508696e+02,1.857938393522325526e+01
