t,sigma_avg,sigma_err
0.000000000000000000e+00,nan,nan
4.000000000000000222e-01,3.194261343749999469e+02,4.899382925721410231e+01
8.000000000000000444e-01,2.083927406249999876e+02,2.428213373757448323e+01
1.199999999999999956e+00,1.707538562500000126e+02,1.616838395691267394e+01
1.600000000000000089e+00,1.516956749999999943e+02,1.208766851265367848e+01
2.000000000000000000e+00,1.401807150000000206e+02,9.649177622886524475e+00
2.399999999999999911e+00,1.324957859375000169e+02,8.030957271943135467e+00
2.799999999999999822e+00,1.268518071428571545e+02,6.812108842440115275e+00
3.200000000000000178e+00,1.228404445312499718e+02,5.920062273207345349e+00
3.600000000000000089e+00,1.198194927083333141e+02,5.293866488982180485e+00
4.000000000000000000e+00,1.172061750000000018e+02,4.765094303110805285e+00
4.400000000000000355e+00,1.150753380681818214e+02,4.357878326846413408e+00
4.799999999999999822e+00,1.132508828125000093e+02,4.028282746967941641e+00
5.200000000000000178e+00,1.116474447115384692e+02,3.692371547932439491e+00
5.599999999999999645e+00,1.102166116071428803e+02,3.381165786281175478e+00
6.000000000000000000e+00,1.089600250000000017e+02,3.127972654204539182e+00
6.400000000000000355e+00,1.078527421875000130e+02,2.901641775187990824e+00
6.799999999999999822e+00,1.069484062500000192e+02,2.718973680735203846e+00
7.200000000000000178e+00,1.061080989583333292e+02,2.565741435612241883e+00
7.599999999999999645e+00,1.053535016447368662e+02,2.436365172017571634e+00
8.000000000000000000e+00,1.045682390624999982e+02,2.321923335008025724e+00
8.400000000000000355e+00,1.038481785714285479e+02,2.232378019068894215e+00
8.800000000000000711e+00,1.032635028409090836e+02,2.181277358857835580e+00
9.199999999999999289e+00,1.027026032608695942e+02,2.150339988549382575e+00
9.599999999999999645e+00,1.021533632812500230e+02,2.110799388794389220e+00
1.000000000000000000e+01,1.016700749999999971e+02,2.088565154126451162e+00
1.040000000000000036e+01,1.012898437500000028e+02,2.086541694169000039e+00
1.080000000000000071e+01,1.008643576388888761e+02,2.063819561105908029e+00
1.119999999999999929e+01,1.004762745535714430e+02,2.063670058007994079e+00
1.159999999999999964e+01,1.001086357758620835e+02,2.053712596163143278e+00
1.200000000000000000e+01,9.976810937499999454e+01,2.038098075364817241e+00
1.240000000000000036e+01,9.946230544354838798e+01,2.040238923054877862e+00
1.280000000000000071e+01,9.917913574218748352e+01,2.070492731031623901e+00
1.319999999999999929e+01,9.888733238636365286e+01,2.079934139960551320e+00
1.359999999999999964e+01,9.859036488970589573e+01,2.108377663799803070e+00
1.400000000000000000e+01,9.831046339285714453e+01,2.152760370083505848e+00
1.440000000000000036e+01,9.802467187499999568e+01,2.191303337722390943e+00
1.480000000000000071e+01,9.771188513513513385e+01,2.216674223052843562e+00
1.519999999999999929e+01,9.739968996710527449e+01,2.262221743078083769e+00
1.559999999999999964e+01,9.711310096153846416e+01,2.302609470979598338e+00
1.600000000000000000e+01,9.685513359374998288e+01,2.327025660787814143e+00
1.639999999999999858e+01,9.659716006097561092e+01,2.362936458774283821e+00
1.680000000000000071e+01,9.636005580357142719e+01,2.398811148930481973e+00
1.719999999999999929e+01,9.615360174418604799e+01,2.459756874263060222e+00
1.760000000000000142e+01,9.595729900568180426e+01,2.502252732917177092e+00
1.800000000000000000e+01,9.575186041666665915e+01,2.541759470562195311e+00
1.839999999999999858e+01,9.556892323369565645e+01,2.583212197146595557e+00
1.880000000000000071e+01,9.538303922872339058e+01,2.620574209288859535e+00
1.919999999999999929e+01,9.524586718750001069e+01,2.653496402445487234e+00
1.960000000000000142e+01,9.507657397959182788e+01,2.682213759237578543e+00
2.000000000000000000e+01,9.491798999999998898e+01,2.707710766148340387e+00
2.039999999999999858e+01,9.481481066176471018e+01,2.733171394809046806e+00
2.080000000000000071e+01,9.470365925480767544e+01,2.760165458380094972e+00
2.119999999999999929e+01,9.460272346698114632e+01,2.790084458924046551e+00
2.160000000000000142e+01,9.450221006944443047e+01,2.818754500437159471e+00
2.200000000000000000e+01,9.437200909090908851e+01,2.839306963147439689e+00
2.239999999999999858e+01,9.422945758928572957e+01,2.858954570176203802e+00
2.280000000000000071e+01,9.406602302631577572e+01,2.869591676670631308e+00
2.319999999999999929e+01,9.393262176724138612e+01,2.886415331896392100e+00
2.360000000000000142e+01,9.379009004237288138e+01,2.895374742604253093e+00
2.400000000000000000e+01,9.364800000000001035e+01,2.901581343237256583e+00
2.439999999999999858e+01,9.350230635245902988e+01,2.905335296937552325e+00
2.480000000000000071e+01,9.336969254032257481e+01,2.914695148974128625e+00
2.519999999999999929e+01,9.326707440476191380e+01,2.925719888967029725e+00
2.560000000000000142e+01,9.313605908203120975e+01,2.934434338815725685e+00
2.600000000000000000e+01,9.301774326923076330e+01,2.946487351958197110e+00
2.639999999999999858e+01,9.289983238636366991e+01,2.968358775936766669e+00
2.680000000000000071e+01,9.277470615671640530e+01,2.981297653418403470e+00
2.719999999999999929e+01,9.269409237132353496e+01,2.992372433008160026e+00
2.760000000000000142e+01,9.262132880434782578e+01,2.998933273040593317e+00
2.800000000000000000e+01,9.254594062500000007e+01,3.003231051918177741e+00
2.839999999999999858e+01,9.249564084507042594e+01,3.009959782221241387e+00
2.880000000000000071e+01,9.243844661458334144e+01,3.014554870910125750e+00
2.919999999999999929e+01,9.237743835616439014e+01,3.013898216368256833e+00
2.960000000000000142e+01,9.231730996621620022e+01,3.012801397781146751e+00
3.000000000000000000e+01,9.223892499999999472e+01,3.006826185345349955e+00
