t,sigma_avg,sigma_err
0.000000000000000000e+00,nan,nan
4.000000000000000222e-01,7.312206583333333754e+01,5.681981536919239240e+00
8.000000000000000444e-01,6.207834874999999641e+01,2.878673779643213582e+00
1.199999999999999956e+00,6.004876555555556195e+01,1.897966187617189826e+00
1.600000000000000089e+00,5.904759166666665493e+01,1.420517600385988288e+00
2.000000000000000000e+00,5.822653666666666084e+01,1.154858960073629870e+00
2.399999999999999911e+00,5.758636736111111531e+01,1.006175979704969858e+00
2.799999999999999822e+00,5.703770178571428318e+01,9.142230090196648007e-01
3.200000000000000178e+00,5.652495937499998035e+01,8.595684425661003214e-01
3.600000000000000089e+00,5.600697870370370168e+01,8.053436263768872783e-01
4.000000000000000000e+00,5.553271708333333123e+01,7.670130428503587616e-01
4.400000000000000355e+00,5.505270113636362339e+01,7.424642388842126461e-01
4.799999999999999822e+00,5.462144895833333891e+01,7.231216191324131293e-01
5.200000000000000178e+00,5.424811346153846614e+01,7.009083470737792476e-01
5.599999999999999645e+00,5.392030446428573498e+01,6.866753408737383824e-01
6.000000000000000000e+00,5.362568138888887859e+01,6.811260074430200984e-01
6.400000000000000355e+00,5.336761666666666315e+01,6.855031572605299051e-01
6.799999999999999822e+00,5.312977058823529575e+01,6.968275448520340198e-01
7.200000000000000178e+00,5.292179050925925310e+01,7.162510190746621541e-01
7.599999999999999645e+00,5.273982149122806362e+01,7.385691379741470275e-01
8.000000000000000000e+00,5.256896416666667449e+01,7.663470386847514026e-01
8.400000000000000355e+00,5.240879424603173220e+01,7.864346317495177763e-01
8.800000000000000711e+00,5.224519337121212459e+01,7.955280770376108590e-01
9.199999999999999289e+00,5.209155416666666127e+01,8.033393720330340715e-01
9.599999999999999645e+00,5.195795052083334298e+01,8.114110962632674617e-01
1.000000000000000000e+01,5.182500933333334103e+01,8.275484833511207450e-01
1.040000000000000036e+01,5.170081538461538173e+01,8.390535433710504254e-01
1.080000000000000071e+01,5.160479290123456764e+01,8.536412243007321932e-01
1.119999999999999929e+01,5.151179761904762699e+01,8.706042006622628504e-01
1.159999999999999964e+01,5.141812083333333305e+01,8.866358047935835041e-01
1.200000000000000000e+01,5.134233333333332894e+01,9.034561076415859038e-01
1.240000000000000036e+01,5.127261370967742238e+01,9.180678961261737880e-01
1.280000000000000071e+01,5.119817864583332323e+01,9.310755050845928027e-01
1.319999999999999929e+01,5.113058030303030677e+01,9.397422727578151891e-01
1.359999999999999964e+01,5.110129571078431354e+01,9.486059387446713620e-01
1.400000000000000000e+01,5.106895357142856540e+01,9.563036146614664057e-01
1.440000000000000036e+01,5.105387476851852568e+01,9.602369370894097145e-01
1.480000000000000071e+01,5.104310810810810040e+01,9.676600801410015773e-01
1.519999999999999929e+01,5.103595723684210128e+01,9.725099850674910895e-01
1.559999999999999964e+01,5.103704594017094820e+01,9.752063947511629971e-01
1.600000000000000000e+01,5.104103124999999608e+01,9.770988372489158857e-01
1.639999999999999858e+01,5.104229674796748384e+01,9.811215838641994536e-01
1.680000000000000071e+01,5.104985912698411710e+01,9.888024607982583980e-01
1.719999999999999929e+01,5.106357945736435511e+01,9.979306659670027502e-01
1.760000000000000142e+01,5.108754640151514792e+01,1.008004213020246453e+00
1.800000000000000000e+01,5.111759629629629131e+01,1.021043735396798935e+00
1.839999999999999858e+01,5.114510960144929186e+01,1.034811543037973625e+00
1.880000000000000071e+01,5.116101773049645374e+01,1.049144083319033083e+00
1.919999999999999929e+01,5.117336371527778027e+01,1.060404413416800473e+00
1.960000000000000142e+01,5.118134608843537592e+01,1.070385672142672995e+00
2.000000000000000000e+01,5.119478999999999758e+01,1.082361901803894133e+00
2.039999999999999858e+01,5.119890522875817140e+01,1.095304882083113274e+00
2.080000000000000071e+01,5.120153685897435025e+01,1.109300051117775965e+00
2.119999999999999929e+01,5.120590959119497398e+01,1.122336573068722698e+00
2.160000000000000142e+01,5.121160416666665327e+01,1.134672033918776357e+00
2.200000000000000000e+01,5.121268560606059594e+01,1.146193416522533148e+00
2.239999999999999858e+01,5.121283035714287735e+01,1.157637051720957322e+00
2.280000000000000071e+01,5.120565716374268561e+01,1.170064655123133290e+00
2.319999999999999929e+01,5.120237499999999642e+01,1.183701430627816409e+00
2.360000000000000142e+01,5.119765466101694074e+01,1.198146702319742518e+00
2.400000000000000000e+01,5.119240624999999767e+01,1.211377641454951970e+00
2.439999999999999858e+01,5.118527595628415838e+01,1.223488319634833399e+00
2.480000000000000071e+01,5.117566935483870338e+01,1.236222083944722216e+00
2.519999999999999929e+01,5.117447420634921684e+01,1.249846394887937251e+00
