t,sigma_avg,sigma_err
0.000000000000000000e+00,nan,nan
4.000000000000000222e-01,8.829852458333331242e+02,1.378768030333800709e+02
8.000000000000000444e-01,5.812039791666666133e+02,6.883053703444063842e+01
1.199999999999999956e+00,4.942276666666667779e+02,4.582111183192527903e+01
1.600000000000000089e+00,4.531433645833332662e+02,3.393905663978785725e+01
2.000000000000000000e+00,4.288182500000000914e+02,2.678483116267420172e+01
2.399999999999999911e+00,4.130685902777779006e+02,2.216105028421746326e+01
2.799999999999999822e+00,4.014752261904762349e+02,1.879379420952390589e+01
3.200000000000000178e+00,3.929863541666665583e+02,1.623247370954283397e+01
3.600000000000000089e+00,3.866749074074073746e+02,1.414163846215323872e+01
4.000000000000000000e+00,3.816084250000000111e+02,1.245093453460359889e+01
4.400000000000000355e+00,3.773072234848485209e+02,1.105921260025069408e+01
4.799999999999999822e+00,3.742189618055555798e+02,9.880483437135463731e+00
5.200000000000000178e+00,3.716022115384614608e+02,8.816623371521247421e+00
5.599999999999999645e+00,3.694961607142857360e+02,7.871142761261161525e+00
6.000000000000000000e+00,3.676855277777777928e+02,7.049615912866971534e+00
6.400000000000000355e+00,3.662547395833332189e+02,6.383385769736313442e+00
6.799999999999999822e+00,3.650592401960785196e+02,5.884723977602662082e+00
7.200000000000000178e+00,3.639766203703703695e+02,5.399216472189739768e+00
7.599999999999999645e+00,3.632809868421052784e+02,5.002934744132978118e+00
8.000000000000000000e+00,3.627271250000000009e+02,4.630296168687360492e+00
8.400000000000000355e+00,3.622829761904761767e+02,4.355154641258280890e+00
8.800000000000000711e+00,3.619295833333333121e+02,4.168429526719274136e+00
9.199999999999999289e+00,3.616782427536231808e+02,4.061784795630617673e+00
9.599999999999999645e+00,3.613528819444445048e+02,3.964086803571727824e+00
1.000000000000000000e+01,3.611370499999999879e+02,3.877589171396272683e+00
1.040000000000000036e+01,3.609445032051281714e+02,3.811768366212624048e+00
1.080000000000000071e+01,3.607859722222221990e+02,3.745926278647142560e+00
1.119999999999999929e+01,3.606722470238096321e+02,3.712929404440976189e+00
1.159999999999999964e+01,3.604725000000001387e+02,3.635718719557677225e+00
1.200000000000000000e+01,3.602980555555554929e+02,3.569227433055869980e+00
1.240000000000000036e+01,3.602342741935482877e+02,3.548202767559419435e+00
1.280000000000000071e+01,3.602030338541666197e+02,3.565731692411016063e+00
1.319999999999999929e+01,3.602708712121212784e+02,3.581915764600004159e+00
1.359999999999999964e+01,3.604095465686274906e+02,3.637955565403390601e+00
1.400000000000000000e+01,3.605112261904761795e+02,3.714599598477941633e+00
1.440000000000000036e+01,3.607238310185185242e+02,3.800484245855900944e+00
1.480000000000000071e+01,3.609051126126125268e+02,3.874263659592508624e+00
1.519999999999999929e+01,3.611068421052631834e+02,3.924069193032992953e+00
1.559999999999999964e+01,3.612745299145299782e+02,3.980307660520727264e+00
1.600000000000000000e+01,3.614627395833333026e+02,4.088194323328065316e+00
1.639999999999999858e+01,3.615701219512195621e+02,4.184990347168573877e+00
1.680000000000000071e+01,3.616462996031745547e+02,4.279557035989048686e+00
1.719999999999999929e+01,3.617483624031008844e+02,4.387363393638874065e+00
1.760000000000000142e+01,3.617624715909091151e+02,4.495136712679878244e+00
1.800000000000000000e+01,3.617432962962963074e+02,4.591934807495823279e+00
1.839999999999999858e+01,3.616912318840580269e+02,4.712235835624552394e+00
1.880000000000000071e+01,3.616471010638297798e+02,4.842926993893972742e+00
1.919999999999999929e+01,3.617186979166666561e+02,4.995506541732902761e+00
1.960000000000000142e+01,3.617621428571428623e+02,5.128860137618576509e+00
2.000000000000000000e+01,3.617631583333333651e+02,5.259689852678171462e+00
2.039999999999999858e+01,3.617700490196078817e+02,5.380511404067422454e+00
2.080000000000000071e+01,3.617245112179487023e+02,5.482398174466823093e+00
2.119999999999999929e+01,3.617417059748428301e+02,5.577230067508207156e+00
2.160000000000000142e+01,3.617919598765431601e+02,5.665459369367447984e+00
2.200000000000000000e+01,3.618809545454545287e+02,5.762141627677116240e+00
2.239999999999999858e+01,3.619641294642857474e+02,5.854988152892101283e+00
2.280000000000000071e+01,3.620473245614034568e+02,5.954305627486411900e+00
2.319999999999999929e+01,3.621170402298850490e+02,6.039325419241199810e+00
2.360000000000000142e+01,3.621932556497174573e+02,6.118682824340861970e+00
