t,sigma_avg,sigma_err
0.000000000000000000e+00,nan,nan
4.000000000000000222e-01,3.352029249999999934e+02,5.361678231700320651e+01
8.000000000000000444e-01,2.413622395833332632e+02,2.656104406530155515e+01
1.199999999999999956e+00,2.190737256944444766e+02,1.763141081572792856e+01
1.600000000000000089e+00,2.103556666666666786e+02,1.324347551729321459e+01
2.000000000000000000e+00,2.057078270833333704e+02,1.061380616535835664e+01
2.399999999999999911e+00,2.027072482638888857e+02,8.901142187103694425e+00
2.799999999999999822e+00,2.004488988095238824e+02,7.669449323760916926e+00
3.200000000000000178e+00,1.987703124999999602e+02,6.761190108436177404e+00
3.600000000000000089e+00,1.973244444444443957e+02,6.021878425666507439e+00
4.000000000000000000e+00,1.961753958333333401e+02,5.448195538831209994e+00
4.400000000000000355e+00,1.953784848484848169e+02,5.012085944453064990e+00
4.799999999999999822e+00,1.946691059027778010e+02,4.683610975425586354e+00
5.200000000000000178e+00,1.940809695512820383e+02,4.457111010457012412e+00
5.599999999999999645e+00,1.935417708333333735e+02,4.249824001105280580e+00
6.000000000000000000e+00,1.932267638888889110e+02,4.094230165836888702e+00
6.400000000000000355e+00,1.930338736979166470e+02,3.970089416214046985e+00
6.799999999999999822e+00,1.928522855392156998e+02,3.868836321636375253e+00
7.200000000000000178e+00,1.927165798611111143e+02,3.779810011669411995e+00
7.599999999999999645e+00,1.926002631578947444e+02,3.703707779221495411e+00
8.000000000000000000e+00,1.924357656249999877e+02,3.642187514399737758e+00
8.400000000000000355e+00,1.922616269841269627e+02,3.607297014155137926e+00
8.800000000000000711e+00,1.920901657196969552e+02,3.589504705472055690e+00
9.199999999999999289e+00,1.919175226449275158e+02,3.585140104754944268e+00
9.599999999999999645e+00,1.917557899305556077e+02,3.579806812411700179e+00
1.000000000000000000e+01,1.916022375000000011e+02,3.582447011612695853e+00
1.040000000000000036e+01,1.915054487179486955e+02,3.590712077463759755e+00
1.080000000000000071e+01,1.913713155864197120e+02,3.606170219900226570e+00
1.119999999999999929e+01,1.912360230654762177e+02,3.632132283759243130e+00
1.159999999999999964e+01,1.911343426724138226e+02,3.651144567019971365e+00
1.200000000000000000e+01,1.910413958333333255e+02,3.658068862899697571e+00
1.240000000000000036e+01,1.909004032258064285e+02,3.671284588412405014e+00
1.280000000000000071e+01,1.907297981770832962e+02,3.692174161424168322e+00
1.319999999999999929e+01,1.905520580808080808e+02,3.732578188264468633e+00
1.359999999999999964e+01,1.903846476715686435e+02,3.771464032194577598e+00
1.400000000000000000e+01,1.902241785714285811e+02,3.801550000063462331e+00
1.440000000000000036e+01,1.900935011574073883e+02,3.827890427908744009e+00
1.480000000000000071e+01,1.899700253378378534e+02,3.855435799268097874e+00
1.519999999999999929e+01,1.898851973684210748e+02,3.882038819934940932e+00
1.559999999999999964e+01,1.898090705128205684e+02,3.902556559181542539e+00
1.600000000000000000e+01,1.897259609374999911e+02,3.918954516169435909e+00
1.639999999999999858e+01,1.896375431910569205e+02,3.935634209146207763e+00
1.680000000000000071e+01,1.895688913690475488e+02,3.965299415459410337e+00
1.719999999999999929e+01,1.895162063953488314e+02,3.993615393729455842e+00
1.760000000000000142e+01,1.895214275568181961e+02,4.035645757792959643e+00
1.800000000000000000e+01,1.895189930555555406e+02,4.087323652203321167e+00
1.839999999999999858e+01,1.895537454710145653e+02,4.145883005829118950e+00
1.880000000000000071e+01,1.895988585992907645e+02,4.204988377713927861e+00
