r_salt,sigma_fit,sigma_fit_err
1.000000000000000021e-02,4.417054851567178986e+01,1.925537316286805245e+00
1.499999999999999944e-02,5.987625890478602741e+01,2.047584405684123698e+00
2.000000000000000042e-02,7.456882836246056456e+01,3.227275668930975616e+00
5.000000000000000278e-02,1.922580631854512774e+02,1.366267006559276709e+01
8.000000000000000167e-02,2.866750419032518948e+02,1.508143587906516103e+01
1.000000000000000056e-01,3.956083519204157142e+02,1.912625868693533704e+01
1.499999999999999944e-01,5.439465930842072794e+02,2.985340536553790969e+01
2.000000000000000111e-01,5.980740374945778512e+02,3.931729058032119895e+01
2.999999999999999889e-01,8.545692012266820257e+02,7.600958588803113969e+01
4.000000000000000222e-01,1.188136017633893744e+03,7.284391922567075994e+01
8.000000000000000444e-01,1.834419977669571836e+03,1.150811595199310489e+02
