r_salt,Dpp,Dpp_err,Dmm,Dmm_err
1.000000000000000021e-02,4.073076072415579008e-01,2.196645863964279567e-03,4.059068672183565596e-01,1.577826961312493639e-03
1.499999999999999944e-02,4.093710942173941492e-01,1.370229809337678408e-03,4.058084237994314947e-01,1.969879720924786783e-03
2.000000000000000042e-02,4.047217932546963715e-01,1.470634519910738337e-03,4.038305789584998307e-01,1.507974681188940791e-03
5.000000000000000278e-02,4.019486609320246373e-01,8.045340149660269854e-04,4.042229300912551504e-01,1.017004984979794297e-03
8.000000000000000167e-02,4.008180697672321102e-01,6.347373909925400123e-04,4.022089845327646573e-01,8.250905403269104960e-04
1.000000000000000056e-01,4.011741076623646651e-01,5.345350552863497619e-04,4.010355817307281745e-01,5.794528248089301885e-04
1.499999999999999944e-01,4.000065071179015885e-01,4.967277709101424474e-04,3.995273927765802813e-01,4.198469854485524359e-04
2.000000000000000111e-01,3.990087421480166263e-01,4.772926489582319707e-04,3.987045385075795312e-01,6.130764384858622537e-04
2.999999999999999889e-01,3.977522745660497794e-01,4.376320314993013502e-04,3.978823060407158940e-01,3.027882994766787684e-04
4.000000000000000222e-01,3.969838987453876977e-01,3.409387361817431102e-04,3.969651182860851613e-01,3.419347782349751704e-04
8.000000000000000444e-01,3.950505631215899260e-01,1.913769517103954335e-04,3.953691452513373727e-01,2.120360850262429102e-04
