r_salt,sigma_fit,sigma_fit_err
1.000000000000000021e-02,3.673547304649872558e+01,1.638572740223793955e+00
1.499999999999999944e-02,5.630453737857705221e+01,4.598493704925229686e+00
2.000000000000000042e-02,7.407103346021926882e+01,3.565712435983942719e+00
5.000000000000000278e-02,1.738279608798337108e+02,9.086198690642799392e+00
8.000000000000000167e-02,2.702387646804683072e+02,1.273950053564170481e+01
1.000000000000000056e-01,3.353932158579515317e+02,1.460015981459282131e+01
1.499999999999999944e-01,4.658305821939488851e+02,3.084123801087480743e+01
2.000000000000000111e-01,6.304062790319617307e+02,3.257804438068571784e+01
2.999999999999999889e-01,9.251954727395586815e+02,4.185105554314066723e+01
4.000000000000000222e-01,1.122025618796251138e+03,4.111471343060293293e+01
8.000000000000000444e-01,2.489380845109528309e+03,1.447812143275764356e+02
