r_salt,sigma_fit,sigma_fit_err
1.000000000000000021e-02,8.107092584247460820e+00,5.237123849299870626e-01
1.499999999999999944e-02,1.096832366887343113e+01,5.891371746052644909e-01
2.000000000000000042e-02,1.664634920838224375e+01,7.856699547435330722e-01
5.000000000000000278e-02,3.425848361954180632e+01,2.490430179519453002e+00
8.000000000000000167e-02,5.430767951937519911e+01,2.848325087854633342e+00
1.000000000000000056e-01,6.910674822160331132e+01,3.152787009277388641e+00
1.499999999999999944e-01,9.097442568120928286e+01,2.820258663482515527e+00
2.000000000000000111e-01,1.488586161998835564e+02,8.330012531732823078e+00
2.999999999999999889e-01,1.904809891781220870e+02,7.353991311462976910e+00
4.000000000000000222e-01,2.649246826977781666e+02,1.529965064038911571e+01
8.000000000000000444e-01,4.863722864033005635e+02,2.582914797975754695e+01
