r_salt,sigma_fit,sigma_fit_err
1.000000000000000021e-02,4.249166334694552916e+01,2.080663740869915568e+00
1.499999999999999944e-02,5.946908340090103451e+01,2.085663144910563371e+00
2.000000000000000042e-02,8.041353515418953180e+01,5.944009972949131360e+00
5.000000000000000278e-02,2.229289664586034689e+02,1.197757006773122690e+01
8.000000000000000167e-02,3.167561104696668508e+02,1.194971056661575304e+01
1.000000000000000056e-01,3.939035829096256975e+02,1.668033390906738589e+01
1.499999999999999944e-01,5.730704107312993756e+02,2.052612549728311109e+01
2.000000000000000111e-01,6.891203965052325202e+02,4.075744104706888749e+01
2.999999999999999889e-01,1.120308752746610935e+03,6.809600385074323015e+01
4.000000000000000222e-01,1.441246134294102603e+03,5.885221678591329919e+01
8.000000000000000444e-01,2.694598203833293610e+03,1.961484354195516175e+02
