r_salt,sigma_fit,sigma_fit_err
1.000000000000000021e-02,4.087775243762201249e+00,3.130623688173083674e-01
1.499999999999999944e-02,6.308163925898655933e+00,3.518103738191858398e-01
2.000000000000000042e-02,7.987826008863028626e+00,6.522829201956827916e-01
5.000000000000000278e-02,NaN,NaN
8.000000000000000167e-02,NaN,NaN
1.000000000000000056e-01,NaN,NaN
1.499999999999999944e-01,NaN,NaN
2.000000000000000111e-01,NaN,NaN
2.999999999999999889e-01,NaN,NaN
4.000000000000000222e-01,NaN,NaN
8.000000000000000444e-01,NaN,NaN
