r_salt,sigma_fit,sigma_fit_err
1.000000000000000021e-02,9.529543971529134794e+00,7.648926752582553279e-01
1.499999999999999944e-02,1.220306060084053179e+01,6.767630915788721557e-01
2.000000000000000042e-02,1.730902491337999649e+01,1.100152005609030148e+00
5.000000000000000278e-02,4.141540790684231155e+01,2.503654396864966714e+00
8.000000000000000167e-02,5.879150151858774365e+01,3.944561215832812273e+00
1.000000000000000056e-01,NaN,NaN
1.499999999999999944e-01,NaN,NaN
2.000000000000000111e-01,NaN,NaN
2.999999999999999889e-01,NaN,NaN
4.000000000000000222e-01,NaN,NaN
8.000000000000000444e-01,NaN,NaN
