r_salt,sigma_fit,sigma_fit_err
1.000000000000000021e-02,2.463707782941960645e+01,1.402363546518351489e+00
1.499999999999999944e-02,3.741432263458485608e+01,1.730140793823686129e+00
2.000000000000000042e-02,4.711065393089027253e+01,2.372189706872511294e+00
5.000000000000000278e-02,1.235167613663087423e+02,5.120213523388945198e+00
8.000000000000000167e-02,2.148222259483158325e+02,9.772201118496596450e+00
1.000000000000000056e-01,2.116752840268533760e+02,9.214781087996829712e+00
1.499999999999999944e-01,3.303294487359181630e+02,2.027232635088008905e+01
2.000000000000000111e-01,4.576281487762556139e+02,2.101119355704185310e+01
2.999999999999999889e-01,5.916616428417254383e+02,2.896282247226043438e+01
4.000000000000000222e-01,8.327769765962368638e+02,4.662390932031181023e+01
8.000000000000000444e-01,1.229009055230915237e+03,5.036057438400076336e+01
