r_salt,sigma_fit,sigma_fit_err
1.000000000000000021e-02,7.222916517605886710e+00,4.621208166282094187e-01
1.499999999999999944e-02,1.160761570134352993e+01,5.172317571364390965e-01
2.000000000000000042e-02,1.670994325976241512e+01,1.142825843346164882e+00
5.000000000000000278e-02,3.261745169528071386e+01,2.371406472491885964e+00
8.000000000000000167e-02,NaN,NaN
1.000000000000000056e-01,NaN,NaN
1.499999999999999944e-01,NaN,NaN
2.000000000000000111e-01,NaN,NaN
2.999999999999999889e-01,NaN,NaN
4.000000000000000222e-01,NaN,NaN
8.000000000000000444e-01,NaN,NaN
