r_salt,sigma_fit,sigma_fit_err
1.000000000000000021e-02,3.619871584232029704e+01,1.686620734575453362e+00
1.499999999999999944e-02,5.199952520383932608e+01,4.642414849485049899e+00
2.000000000000000042e-02,7.719325467374639516e+01,3.539637395889483340e+00
5.000000000000000278e-02,1.622826370119999524e+02,7.232188790204093998e+00
8.000000000000000167e-02,2.742887017704102846e+02,1.713524161049584293e+01
1.000000000000000056e-01,3.679460420092261188e+02,2.062293512292443154e+01
1.499999999999999944e-01,4.419648898929881398e+02,2.486762412660480592e+01
2.000000000000000111e-01,6.067389572660460999e+02,6.343126316410341303e+01
2.999999999999999889e-01,7.883447209552717823e+02,4.568466557698130259e+01
4.000000000000000222e-01,1.124226317594842158e+03,6.685569334500642924e+01
8.000000000000000444e-01,1.862215424511324045e+03,1.423612407698620643e+02
