r_salt,sigma_fit,sigma_fit_err
1.000000000000000021e-02,9.463065212934113291e+00,6.309244266649322030e-01
1.499999999999999944e-02,1.254977451680658795e+01,5.967009242118844758e-01
2.000000000000000042e-02,1.545397819572539788e+01,5.309683454523104196e-01
5.000000000000000278e-02,4.420913568344218447e+01,3.081955412356508273e+00
8.000000000000000167e-02,6.780259983703165005e+01,2.912405298580283297e+00
1.000000000000000056e-01,8.429161867747816927e+01,4.632449888925322057e+00
1.499999999999999944e-01,1.221867959394392074e+02,5.752191538080293043e+00
2.000000000000000111e-01,1.558951195223343689e+02,4.423266728715231189e+00
2.999999999999999889e-01,2.203463335036768456e+02,1.346547786455980145e+01
4.000000000000000222e-01,3.154540606771887497e+02,1.426580513339438205e+01
8.000000000000000444e-01,5.773392759302687409e+02,2.615852487544697880e+01
