r_salt,Dpp,Dpp_err,Dmm,Dmm_err
1.000000000000000021e-02,8.964713207048226329e-02,4.119609513810343977e-04,8.934705956161510809e-02,4.225291081521157280e-04
1.499999999999999944e-02,8.948822295646717551e-02,2.963901492309528444e-04,8.917571872617907625e-02,3.512925730316020516e-04
2.000000000000000042e-02,8.911567551471613613e-02,4.354138991067660358e-04,8.882594731466690596e-02,2.512382364192653861e-04
5.000000000000000278e-02,8.836579437222341626e-02,1.866569873810587470e-04,8.810423375969296533e-02,1.655051727701033540e-04
8.000000000000000167e-02,8.811797025393949823e-02,8.622615873194478127e-05,8.840031923436815486e-02,1.186739143416881855e-04
1.000000000000000056e-01,8.790900411940807957e-02,1.294485393012621474e-04,8.780859862648289493e-02,1.140332096811061884e-04
1.499999999999999944e-01,8.791336163354794564e-02,1.473499146281041989e-04,8.788785221678380166e-02,1.106814637969963388e-04
2.000000000000000111e-01,8.742643726381131575e-02,7.152428853877268325e-05,8.755640159368759112e-02,1.090020466196816234e-04
2.999999999999999889e-01,8.719517369804594131e-02,9.090838346703827876e-05,8.712225637322673633e-02,1.032347982451191690e-04
4.000000000000000222e-01,8.684769174657977486e-02,6.088575378048247371e-05,8.707178990837047272e-02,6.623362397528200776e-05
8.000000000000000444e-01,8.645210587881187181e-02,6.843573328069621855e-05,8.654809045139030821e-02,6.095193374662209593e-05
