r_salt,sigma_fit,sigma_fit_err
1.000000000000000021e-02,5.348945349508631431e+00,2.219234921072410494e-01
1.499999999999999944e-02,7.355527607767685438e+00,2.460590498253643899e-01
2.000000000000000042e-02,8.980443040933081988e+00,4.776883042094272058e-01
5.000000000000000278e-02,2.332672112445886370e+01,8.402567116934881453e-01
8.000000000000000167e-02,3.663548053927000581e+01,2.307238548620849095e+00
1.000000000000000056e-01,4.274662511947663290e+01,2.262926306331364490e+00
1.499999999999999944e-01,6.382680729269272746e+01,3.540489938333079234e+00
2.000000000000000111e-01,8.356058908842342703e+01,3.848618846375325919e+00
2.999999999999999889e-01,1.110764729958910095e+02,6.363592424192787256e+00
4.000000000000000222e-01,1.489456448270704527e+02,7.893872997300742433e+00
8.000000000000000444e-01,3.221423615255870345e+02,2.242001182621088518e+01
