r_salt,Dpp,Dpp_err,Dmm,Dmm_err
1.000000000000000021e-02,8.990602942924688645e-02,1.873844467239757245e-03,8.582406929273046770e-02,1.755605373681997598e-03
1.499999999999999944e-02,8.446382135183258533e-02,1.153080051002380391e-03,8.606132177291375696e-02,1.779066644426684912e-03
2.000000000000000042e-02,8.547963209407269392e-02,1.020833706611018249e-03,8.829506149068139242e-02,1.259703196234069180e-03
5.000000000000000278e-02,7.927432931161888796e-02,7.359545503143405734e-04,8.095882314429241056e-02,7.020376724860277751e-04
8.000000000000000167e-02,7.474885249425446132e-02,3.753765231396251714e-04,7.534594319872900403e-02,5.064899932096558451e-04
1.000000000000000056e-01,NaN,NaN,NaN,NaN
1.499999999999999944e-01,NaN,NaN,NaN,NaN
2.000000000000000111e-01,NaN,NaN,NaN,NaN
2.999999999999999889e-01,NaN,NaN,NaN,NaN
4.000000000000000222e-01,NaN,NaN,NaN,NaN
8.000000000000000444e-01,NaN,NaN,NaN,NaN
